,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
TP10,0.0,0.0,0.054945054945054944,0.024725274725274724,0.0,0.0,0.0,0.0,0.0,0.04120879120879121,0.0,0.06318681318681318,0.0,0.0,0.04945054945054945,0.0,0.0,0.0,0.054945054945054944,0.0,0.06318681318681318,0.06593406593406594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03021978021978022,0.0521978021978022,0.0,0.0,0.04120879120879121,0.0,0.0,0.0,0.038461538461538464,0.0,0.057692307692307696,0.0,0.0,0.0,0.06318681318681318,0.0,0.06043956043956044,0.06043956043956044,0.0,0.0,0.0,0.0,0.03296703296703297,0.0,0.03296703296703297,0.0,0.06318681318681318,0.0,0.04945054945054945,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.0,0.05642023346303502,0.03501945525291829,0.0,0.0,0.0,0.0,0.0,0.042801556420233464,0.0,0.05642023346303502,0.0,0.0,0.05252918287937743,0.0,0.0,0.0,0.05642023346303502,0.0,0.04669260700389105,0.09727626459143969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038910505836575876,0.054474708171206226,0.0,0.0,0.029182879377431907,0.0,0.0,0.0,0.04474708171206226,0.0,0.058365758754863814,0.0,0.0,0.0,0.08754863813229571,0.0,0.06031128404669261,0.04474708171206226,0.0,0.0,0.0,0.0,0.023346303501945526,0.0,0.023346303501945526,0.0,0.05642023346303502,0.0,0.03501945525291829,0.0,0.0,0.0,0.0,0.0
CP2,0.002894356005788712,0.0,0.0,0.0,0.0,0.05499276410998553,0.001447178002894356,0.0361794500723589,0.015918958031837915,0.0,0.008683068017366137,0.0,0.02170767004341534,0.056439942112879886,0.0,0.0,0.0,0.00723589001447178,0.0,0.01447178002894356,0.0,0.0,0.05788712011577424,0.03183791606367583,0.023154848046309694,0.04341534008683068,0.03473227206946455,0.004341534008683068,0.023154848046309694,0.0,0.0,0.0,0.0,0.0,0.060781476121562955,0.011577424023154847,0.0,0.001447178002894356,0.059334298118668596,0.0,0.02604920405209841,0.0,0.04630969609261939,0.0,0.03762662807525326,0.0,0.0,0.008683068017366137,0.005788712011577424,0.008683068017366137,0.017366136034732273,0.0,0.059334298118668596,0.0,0.05209840810419682,0.0,0.005788712011577424,0.0,0.04630969609261939,0.0,0.0,0.059334298118668596,0.05499276410998553
Cz,0.0041753653444676405,0.0,0.0,0.0,0.0,0.04801670146137787,0.0020876826722338203,0.04384133611691023,0.022964509394572025,0.0,0.012526096033402923,0.0,0.027139874739039668,0.04801670146137787,0.0,0.0,0.0,0.006263048016701462,0.0,0.020876826722338204,0.0,0.0,0.04801670146137787,0.04384133611691023,0.029227557411273485,0.04801670146137787,0.03549060542797495,0.006263048016701462,0.029227557411273485,0.0,0.0,0.0,0.0,0.0,0.04801670146137787,0.016701461377870562,0.0,0.0,0.04801670146137787,0.0,0.022964509394572025,0.0,0.04384133611691023,0.0,0.03966597077244259,0.0,0.0,0.012526096033402923,0.008350730688935281,0.012526096033402923,0.025052192066805846,0.0,0.04801670146137787,0.0,0.04801670146137787,0.0,0.008350730688935281,0.0,0.04801670146137787,0.0,0.0,0.04801670146137787,0.04592901878914405
C4,0.005141388174807198,0.0,0.0,0.0,0.0,0.038560411311053984,0.002570694087403599,0.04113110539845758,0.028277634961439587,0.0,0.015424164524421594,0.0,0.043701799485861184,0.04113110539845758,0.002570694087403599,0.0,0.0,0.017994858611825194,0.0,0.02570694087403599,0.0,0.0,0.038560411311053984,0.033419023136246784,0.043701799485861184,0.043701799485861184,0.04627249357326478,0.007712082262210797,0.04627249357326478,0.0,0.0,0.0,0.0,0.0,0.04113110539845758,0.02056555269922879,0.0,0.007712082262210797,0.043701799485861184,0.0,0.017994858611825194,0.0,0.030848329048843187,0.0,0.028277634961439587,0.0,0.0,0.015424164524421594,0.010282776349614395,0.015424164524421594,0.030848329048843187,0.0,0.04627249357326478,0.0,0.043701799485861184,0.0,0.010282776349614395,0.0,0.04113110539845758,0.0,0.0,0.04113110539845758,0.033419023136246784
T8,0.0034071550255536627,0.0,0.0,0.0,0.0,0.049403747870528106,0.0017035775127768314,0.04258943781942078,0.018739352640545145,0.0,0.010221465076660987,0.0,0.028960817717206135,0.05110732538330494,0.0017035775127768314,0.0,0.0,0.01192504258943782,0.0,0.017035775127768313,0.0,0.0,0.049403747870528106,0.034071550255536626,0.028960817717206135,0.05110732538330494,0.044293015332197615,0.005110732538330494,0.030664395229982964,0.0,0.0,0.0,0.0,0.0,0.05110732538330494,0.013628620102214651,0.0,0.005110732538330494,0.05281090289608177,0.0,0.017035775127768313,0.0,0.04088586030664395,0.0,0.030664395229982964,0.0,0.0,0.010221465076660987,0.0068143100511073255,0.010221465076660987,0.020442930153321975,0.0,0.054514480408858604,0.0,0.05281090289608177,0.0,0.0068143100511073255,0.0,0.049403747870528106,0.0,0.0,0.05110732538330494,0.04599659284497445
FT10,0.003875968992248062,0.0,0.003875968992248062,0.0,0.0,0.044573643410852716,0.001937984496124031,0.03875968992248062,0.02131782945736434,0.0,0.011627906976744186,0.0,0.03875968992248062,0.046511627906976744,0.007751937984496124,0.0,0.0,0.015503875968992248,0.005813953488372093,0.01937984496124031,0.0,0.0,0.044573643410852716,0.027131782945736434,0.03294573643410853,0.046511627906976744,0.05232558139534884,0.005813953488372093,0.03875968992248062,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.015503875968992248,0.0,0.011627906976744186,0.04844961240310078,0.003875968992248062,0.013565891472868217,0.0,0.03488372093023256,0.001937984496124031,0.023255813953488372,0.0,0.0,0.011627906976744186,0.007751937984496124,0.011627906976744186,0.023255813953488372,0.0,0.050387596899224806,0.0,0.04844961240310078,0.0,0.007751937984496124,0.0,0.044573643410852716,0.0,0.0,0.046511627906976744,0.040697674418604654
FC6,0.01652892561983471,0.0,0.0,0.0,0.0,0.03305785123966942,0.008264462809917356,0.03305785123966942,0.03305785123966942,0.0,0.03305785123966942,0.0,0.024793388429752067,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.03305785123966942,0.0,0.0,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.024793388429752067,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.03305785123966942,0.03305785123966942,0.0,0.0,0.03305785123966942,0.0,0.03305785123966942,0.0,0.03305785123966942,0.0,0.03305785123966942,0.0,0.0,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.03305785123966942,0.0,0.03305785123966942,0.0,0.03305785123966942,0.0,0.03305785123966942,0.0,0.03305785123966942,0.0,0.0,0.03305785123966942,0.03305785123966942
FC2,0.004866180048661801,0.0,0.004866180048661801,0.0,0.0,0.0364963503649635,0.0024330900243309003,0.038929440389294405,0.0267639902676399,0.0,0.014598540145985401,0.0,0.04866180048661801,0.038929440389294405,0.009732360097323601,0.0,0.0,0.019464720194647202,0.0072992700729927005,0.024330900243309004,0.0,0.0,0.0364963503649635,0.031630170316301706,0.0413625304136253,0.0413625304136253,0.04866180048661801,0.0072992700729927005,0.04866180048661801,0.0,0.0,0.0,0.0,0.0,0.038929440389294405,0.019464720194647202,0.0,0.014598540145985401,0.0413625304136253,0.004866180048661801,0.0170316301703163,0.0,0.029197080291970802,0.0024330900243309003,0.0267639902676399,0.0,0.0,0.014598540145985401,0.009732360097323601,0.014598540145985401,0.029197080291970802,0.0,0.043795620437956206,0.0,0.0413625304136253,0.0,0.009732360097323601,0.0,0.038929440389294405,0.0,0.0,0.038929440389294405,0.031630170316301706
F4,0.0,0.0,0.06086956521739131,0.05217391304347826,0.0,0.0,0.0,0.0,0.0,0.05507246376811594,0.0,0.05217391304347826,0.0,0.0,0.06086956521739131,0.0,0.0,0.0,0.06086956521739131,0.0,0.03768115942028986,0.06086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.06086956521739131,0.0,0.0,0.03188405797101449,0.0,0.0,0.0,0.06086956521739131,0.0,0.06086956521739131,0.0,0.0,0.0,0.06086956521739131,0.0,0.06086956521739131,0.03768115942028986,0.0,0.0,0.0,0.0,0.02318840579710145,0.0,0.02608695652173913,0.0,0.05217391304347826,0.0,0.02608695652173913,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.06277056277056277,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.05627705627705628,0.0,0.0,0.05844155844155844,0.0,0.0,0.0,0.06277056277056277,0.0,0.045454545454545456,0.06277056277056277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04329004329004329,0.06060606060606061,0.0,0.0,0.032467532467532464,0.0,0.0,0.0,0.049783549783549784,0.0,0.06277056277056277,0.0,0.0,0.0,0.06277056277056277,0.0,0.06277056277056277,0.045454545454545456,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.025974025974025976,0.0,0.05627705627705628,0.0,0.0367965367965368,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
