,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.0,0.01506740681998414,0.004758128469468675,0.0007930214115781126,0.0023790642347343376,0.045995241871530534,0.0,0.03251387787470262,0.0007930214115781126,0.022204599524187154,0.045995241871530534,0.047581284694686754,0.046788263283108644,0.016653449643140365,0.01823949246629659,0.007137192704203013,0.007930214115781126,0.0,0.03727200634417129,0.046788263283108644,0.011102299762093577,0.007930214115781126,0.04361617763679619,0.04361617763679619,0.0,0.0015860428231562252,0.006344171292624901,0.035685963521015066,0.0,0.0,0.0317208564631245,0.0,0.0,0.012688342585249802,0.0,0.04520222045995242,0.0023790642347343376,0.0031720856463124504,0.0015860428231562252,0.0,0.0007930214115781126,0.047581284694686754,0.011102299762093577,0.0,0.0023790642347343376,0.04203013481363997,0.0,0.028548770816812053,0.023790642347343377,0.0,0.0,0.030927835051546393,0.011895321173671689,0.046788263283108644,0.04282315622521808,0.0,0.011102299762093577,0.0,0.0,0.00951625693893735,0.04520222045995242
CP1,0.0,0.01506740681998414,0.003965107057890563,0.0,0.0015860428231562252,0.047581284694686754,0.0,0.03409992069785884,0.0,0.02141157811260904,0.04520222045995242,0.046788263283108644,0.04837430610626487,0.01586042823156225,0.0190325138778747,0.006344171292624901,0.007137192704203013,0.0,0.03647898493259318,0.046788263283108644,0.010309278350515464,0.007137192704203013,0.04520222045995242,0.04520222045995242,0.0,0.0023790642347343376,0.0055511498810467885,0.034892942109436956,0.0,0.0,0.03330689928628073,0.0,0.0,0.013481363996827915,0.0,0.046788263283108644,0.0015860428231562252,0.0023790642347343376,0.0007930214115781126,0.0,0.0,0.047581284694686754,0.010309278350515464,0.0,0.0031720856463124504,0.04361617763679619,0.0007930214115781126,0.02775574940523394,0.023790642347343377,0.0,0.0,0.0317208564631245,0.012688342585249802,0.045995241871530534,0.04203013481363997,0.0,0.010309278350515464,0.0,0.0,0.008723235527359239,0.046788263283108644
Pz,0.0,0.014972419227738377,0.0031520882584712374,0.0,0.0007880220646178094,0.04964539007092199,0.0,0.036249014972419225,0.0,0.02048857368006304,0.04412923561859732,0.045705279747832936,0.04806934594168637,0.014972419227738377,0.019700551615445233,0.005516154452324665,0.006304176516942475,0.0,0.03546099290780142,0.045705279747832936,0.009456264775413711,0.006304176516942475,0.04728132387706856,0.04728132387706856,0.0,0.0031520882584712374,0.004728132387706856,0.0338849487785658,0.0,0.0,0.03546099290780142,0.0,0.0,0.014184397163120567,0.0,0.04885736800630418,0.0007880220646178094,0.0015760441292356187,0.0,0.0,0.0,0.04728132387706856,0.009456264775413711,0.0,0.003940110323089046,0.045705279747832936,0.0015760441292356187,0.026792750197005517,0.02364066193853428,0.0,0.0,0.03230890464933018,0.013396375098502758,0.04491725768321513,0.04097714736012608,0.0,0.009456264775413711,0.0,0.0,0.007880220646178092,0.04885736800630418
P3,0.0,0.01167883211678832,0.016058394160583942,0.008759124087591242,0.01167883211678832,0.029197080291970802,0.004379562043795621,0.016058394160583942,0.008759124087591242,0.03941605839416058,0.033576642335766425,0.032116788321167884,0.030656934306569343,0.03795620437956204,0.01167883211678832,0.020437956204379562,0.021897810218978103,0.00291970802919708,0.03941605839416058,0.03795620437956204,0.027737226277372264,0.021897810218978103,0.026277372262773723,0.026277372262773723,0.00145985401459854,0.0,0.01897810218978102,0.03795620437956204,0.00145985401459854,0.0,0.014598540145985401,0.00583941605839416,0.004379562043795621,0.00145985401459854,0.0,0.027737226277372264,0.01167883211678832,0.013138686131386862,0.010218978102189781,0.00291970802919708,0.008759124087591242,0.033576642335766425,0.027737226277372264,0.0,0.0,0.024817518248175182,0.0,0.03941605839416058,0.021897810218978103,0.0072992700729927005,0.00145985401459854,0.017518248175182483,0.0,0.0364963503649635,0.035036496350364967,0.0,0.027737226277372264,0.0,0.0,0.021897810218978103,0.027737226277372264
P7,0.0,0.030664395229982964,0.0,0.0,0.0,0.04258943781942078,0.0,0.04770017035775128,0.0,0.022146507666098807,0.03577512776831346,0.03747870528109029,0.039182282793867124,0.010221465076660987,0.04599659284497445,0.0,0.0,0.0,0.028960817717206135,0.03577512776831346,0.0,0.0,0.04088586030664395,0.04088586030664395,0.0,0.013628620102214651,0.0,0.028960817717206135,0.0017035775127768314,0.0034071550255536627,0.04770017035775128,0.0017035775127768314,0.0,0.03747870528109029,0.0,0.04258943781942078,0.0,0.0,0.0,0.0017035775127768314,0.0,0.03747870528109029,0.0,0.0,0.015332197614991482,0.04088586030664395,0.010221465076660987,0.027257240204429302,0.03747870528109029,0.0,0.0034071550255536627,0.04258943781942078,0.03236797274275979,0.03577512776831346,0.034071550255536626,0.0,0.0,0.0034071550255536627,0.0017035775127768314,0.0,0.04088586030664395
O1,0.0,0.0,0.035437430786267994,0.029900332225913623,0.03211517165005537,0.008859357696566999,0.018826135105204873,0.0,0.029900332225913623,0.017718715393133997,0.012181616832779624,0.01107419712070875,0.009966777408637873,0.017718715393133997,0.0,0.03765227021040975,0.03986710963455149,0.019933554817275746,0.016611295681063124,0.015503875968992248,0.0221483942414175,0.03986710963455149,0.006644518272425249,0.006644518272425249,0.019933554817275746,0.005537098560354375,0.03765227021040975,0.015503875968992248,0.019933554817275746,0.015503875968992248,0.0,0.02768549280177187,0.015503875968992248,0.0,0.009966777408637873,0.007751937984496124,0.03211517165005537,0.03322259136212625,0.031007751937984496,0.023255813953488372,0.026578073089700997,0.012181616832779624,0.021040974529346623,0.0022148394241417496,0.004429678848283499,0.005537098560354375,0.014396456256921373,0.016611295681063124,0.0033222591362126247,0.028792912513842746,0.021040974529346623,0.0,0.0,0.014396456256921373,0.013289036544850499,0.014396456256921373,0.023255813953488372,0.015503875968992248,0.017718715393133997,0.014396456256921373,0.007751937984496124
Oz,0.0,0.0,0.0354295837023915,0.03100088573959256,0.0354295837023915,0.007971656333038087,0.02037201062887511,0.0,0.03188662533215235,0.015057573073516387,0.010628875110717449,0.00974313551815766,0.008857395925597875,0.015057573073516387,0.0,0.03188662533215235,0.042515500442869794,0.021257750221434897,0.0141718334809566,0.0141718334809566,0.018600531443755536,0.043401240035429584,0.006200177147918512,0.006200177147918512,0.021257750221434897,0.005314437555358724,0.03985828166519043,0.013286093888396812,0.021257750221434897,0.01771479185119575,0.0,0.030115146147032774,0.013286093888396812,0.0,0.00974313551815766,0.0070859167404783,0.0354295837023915,0.03454384410983171,0.03454384410983171,0.023914968999114262,0.026572187776793623,0.010628875110717449,0.01771479185119575,0.002657218777679362,0.0044286979627989375,0.005314437555358724,0.01682905225863596,0.0141718334809566,0.00354295837023915,0.03100088573959256,0.022143489813994686,0.0008857395925597874,0.0,0.012400354295837024,0.011514614703277236,0.01682905225863596,0.01948627103631532,0.01771479185119575,0.01948627103631532,0.012400354295837024,0.0070859167404783
O2,0.0,0.0,0.03330068560235064,0.039177277179236046,0.039177277179236046,0.0,0.034280117531831536,0.0,0.039177277179236046,0.0039177277179236044,0.0,0.0,0.0,0.0039177277179236044,0.0,0.021547502448579822,0.02742409402546523,0.03721841332027424,0.002938295788442703,0.0019588638589618022,0.007835455435847209,0.030362389813907934,0.0,0.0,0.03721841332027424,0.01762977473065622,0.03330068560235064,0.0019588638589618022,0.03721841332027424,0.03330068560235064,0.0,0.039177277179236046,0.015670910871694418,0.0009794319294809011,0.024485798237022526,0.0,0.039177277179236046,0.03623898139079334,0.039177277179236046,0.03819784524975514,0.03525954946131244,0.0,0.0068560235063663075,0.0039177277179236044,0.014691478942213516,0.0,0.03232125367286973,0.002938295788442703,0.0,0.039177277179236046,0.03721841332027424,0.0,0.0,0.0009794319294809011,0.0,0.03232125367286973,0.00881488736532811,0.03330068560235064,0.03525954946131244,0.0009794319294809011,0.0
P4,0.0,0.01595298068849706,0.008396305625524769,0.0041981528127623844,0.005877413937867338,0.04030226700251889,0.0016792611251049538,0.02518891687657431,0.0041981528127623844,0.02686817800167926,0.042821158690176324,0.041981528127623846,0.04114189756507137,0.020990764063811923,0.01595298068849706,0.0109151973131822,0.011754827875734676,0.0008396305625524769,0.0436607892527288,0.04534005037783375,0.015113350125944584,0.011754827875734676,0.036943744752308987,0.036943744752308987,0.0,0.0,0.010075566750629723,0.04114189756507137,0.0,0.0,0.02434928631402183,0.0025188916876574307,0.0016792611251049538,0.010075566750629723,0.0,0.03946263643996641,0.005877413937867338,0.006717044500419815,0.005037783375314861,0.0008396305625524769,0.0041981528127623844,0.042821158690176324,0.015113350125944584,0.0,0.0,0.03526448362720403,0.0,0.033585222502099076,0.0218303946263644,0.0033585222502099076,0.0,0.02434928631402183,0.009235936188077247,0.04450041981528128,0.042821158690176324,0.0,0.015113350125944584,0.0,0.0,0.012594458438287154,0.038623005877413935
P8,0.0,0.013494318181818182,0.006392045454545455,0.002840909090909091,0.004261363636363636,0.04971590909090909,0.0007102272727272727,0.030539772727272728,0.002840909090909091,0.022017045454545456,0.04261363636363636,0.04332386363636364,0.04403409090909091,0.017045454545454544,0.016335227272727272,0.008522727272727272,0.009232954545454546,0.0,0.036931818181818184,0.05397727272727273,0.012073863636363636,0.009232954545454546,0.040482954545454544,0.040482954545454544,0.0,0.0014204545454545455,0.0078125,0.03409090909090909,0.0,0.0,0.029829545454545456,0.0014204545454545455,0.0007102272727272727,0.011363636363636364,0.0,0.04971590909090909,0.004261363636363636,0.004971590909090909,0.0035511363636363635,0.0,0.002840909090909091,0.046875,0.012073863636363636,0.0,0.002130681818181818,0.0390625,0.0,0.027698863636363636,0.02130681818181818,0.002130681818181818,0.0,0.027698863636363636,0.01065340909090909,0.046875,0.03977272727272727,0.0,0.012073863636363636,0.0,0.0,0.01065340909090909,0.04190340909090909
TP10,0.0,0.001579778830963665,0.023696682464454975,0.01579778830963665,0.018957345971563982,0.020537124802527645,0.011058451816745656,0.00631911532385466,0.01579778830963665,0.03317535545023697,0.02527646129541864,0.023696682464454975,0.022116903633491312,0.03317535545023697,0.001579778830963665,0.02843601895734597,0.030015797788309637,0.009478672985781991,0.0315955766192733,0.030015797788309637,0.036334913112164295,0.030015797788309637,0.017377567140600316,0.017377567140600316,0.007898894154818325,0.0,0.026856240126382307,0.030015797788309637,0.007898894154818325,0.004739336492890996,0.004739336492890996,0.01263823064770932,0.011058451816745656,0.0,0.00315955766192733,0.018957345971563982,0.018957345971563982,0.020537124802527645,0.017377567140600316,0.009478672985781991,0.01579778830963665,0.02527646129541864,0.036334913112164295,0.0,0.0,0.01579778830963665,0.00315955766192733,0.0315955766192733,0.01263823064770932,0.014218009478672985,0.007898894154818325,0.007898894154818325,0.0,0.02843601895734597,0.026856240126382307,0.00631911532385466,0.036334913112164295,0.004739336492890996,0.00631911532385466,0.023696682464454975,0.018957345971563982
CP6,0.0,0.0,0.03565640194489465,0.031604538087520256,0.03565640194489465,0.007293354943273906,0.02188006482982172,0.0,0.03241491085899514,0.013776337115072933,0.009724473257698542,0.008914100486223663,0.008103727714748784,0.013776337115072933,0.0,0.029173419773095625,0.04051863857374392,0.022690437601296597,0.012965964343598054,0.013776337115072933,0.017017828200972446,0.04294975688816856,0.005672609400324149,0.005672609400324149,0.022690437601296597,0.006482982171799027,0.03970826580226904,0.012155591572123177,0.022690437601296597,0.019448946515397084,0.0,0.03079416531604538,0.012965964343598054,0.0008103727714748784,0.012155591572123177,0.006482982171799027,0.03565640194489465,0.03484602917341977,0.03484602917341977,0.025121555915721232,0.027552674230145867,0.009724473257698542,0.01620745542949757,0.0032414910858995136,0.004862236628849271,0.004862236628849271,0.018638573743922204,0.012965964343598054,0.0032414910858995136,0.031604538087520256,0.023500810372771474,0.0008103727714748784,0.0,0.011345218800648298,0.01053484602917342,0.018638573743922204,0.017828200972447326,0.019448946515397084,0.02106969205834684,0.011345218800648298,0.006482982171799027
CP2,0.0,0.016060862214708368,0.0008453085376162299,0.0,0.0,0.0507185122569738,0.0,0.04057480980557904,0.0,0.01944209636517329,0.04311073541842773,0.044801352493660185,0.047337278106508875,0.013524936601859678,0.02197802197802198,0.0033812341504649195,0.00422654268808115,0.0,0.0338123415046492,0.044801352493660185,0.0076077768385460695,0.00422654268808115,0.04902789518174133,0.04902789518174133,0.0,0.00422654268808115,0.00253592561284869,0.03296703296703297,0.0,0.0,0.039729501267962805,0.0,0.0,0.016060862214708368,0.0,0.0507185122569738,0.0,0.0,0.0,0.0,0.0,0.04649196956889264,0.0076077768385460695,0.0,0.00507185122569738,0.04902789518174133,0.00253592561284869,0.026204564666103127,0.0253592561284869,0.0,0.0,0.03550295857988166,0.015215553677092139,0.04395604395604396,0.039729501267962805,0.0,0.0076077768385460695,0.0,0.0,0.005917159763313609,0.04902789518174133
Cz,0.0,0.016060862214708368,0.0008453085376162299,0.0,0.0,0.0507185122569738,0.0,0.04057480980557904,0.0,0.01944209636517329,0.04311073541842773,0.044801352493660185,0.047337278106508875,0.013524936601859678,0.02197802197802198,0.0033812341504649195,0.00422654268808115,0.0,0.0338123415046492,0.044801352493660185,0.0076077768385460695,0.00422654268808115,0.04902789518174133,0.04902789518174133,0.0,0.00422654268808115,0.00253592561284869,0.03296703296703297,0.0,0.0,0.039729501267962805,0.0,0.0,0.016060862214708368,0.0,0.0507185122569738,0.0,0.0,0.0,0.0,0.0,0.04649196956889264,0.0076077768385460695,0.0,0.00507185122569738,0.04902789518174133,0.00253592561284869,0.026204564666103127,0.0253592561284869,0.0,0.0,0.03550295857988166,0.015215553677092139,0.04395604395604396,0.039729501267962805,0.0,0.0076077768385460695,0.0,0.0,0.005917159763313609,0.04902789518174133
C4,0.0,0.0,0.03244274809160305,0.04007633587786259,0.04007633587786259,0.0,0.03244274809160305,0.0,0.04007633587786259,0.0028625954198473282,0.0,0.0,0.0,0.0028625954198473282,0.0,0.02099236641221374,0.026717557251908396,0.03721374045801527,0.0019083969465648854,0.0009541984732824427,0.006679389312977099,0.029580152671755726,0.0,0.0,0.03816793893129771,0.019083969465648856,0.03244274809160305,0.0009541984732824427,0.03816793893129771,0.03435114503816794,0.0,0.04007633587786259,0.01431297709923664,0.0028625954198473282,0.02385496183206107,0.0,0.039122137404580155,0.035305343511450385,0.04007633587786259,0.04007633587786259,0.03435114503816794,0.0,0.0057251908396946565,0.003816793893129771,0.016221374045801526,0.0,0.033396946564885496,0.0019083969465648854,0.0,0.04007633587786259,0.039122137404580155,0.0,0.0,0.0,0.0,0.033396946564885496,0.007633587786259542,0.03435114503816794,0.03625954198473282,0.0,0.0
T8,0.0,0.0,0.02127659574468085,0.03343465045592705,0.03343465045592705,0.0060790273556231,0.02735562310030395,0.010638297872340425,0.034954407294832825,0.0,0.0,0.001519756838905775,0.00303951367781155,0.0,0.00911854103343465,0.010638297872340425,0.0121580547112462,0.031914893617021274,0.0,0.0,0.0,0.016717325227963525,0.004559270516717325,0.004559270516717325,0.034954407294832825,0.0425531914893617,0.02127659574468085,0.0,0.0364741641337386,0.037993920972644375,0.0121580547112462,0.0364741641337386,0.0121580547112462,0.016717325227963525,0.030395136778115502,0.0060790273556231,0.031914893617021274,0.025835866261398176,0.034954407294832825,0.0364741641337386,0.0243161094224924,0.001519756838905775,0.0,0.0060790273556231,0.037993920972644375,0.004559270516717325,0.044072948328267476,0.0,0.001519756838905775,0.034954407294832825,0.037993920972644375,0.0060790273556231,0.007598784194528876,0.0,0.0,0.034954407294832825,0.001519756838905775,0.037993920972644375,0.0364741641337386,0.0,0.004559270516717325
FT10,0.0,0.0,0.03739061256961018,0.03341288782816229,0.03739061256961018,0.005568814638027049,0.02386634844868735,0.0,0.03420843277645187,0.011933174224343675,0.007955449482895784,0.007159904534606206,0.006364359586316627,0.011933174224343675,0.0,0.028639618138424822,0.03898170246618934,0.024661893396976928,0.011137629276054098,0.010342084327764518,0.015115354017501989,0.04136833731105807,0.003977724741447892,0.003977724741447892,0.024661893396976928,0.008750994431185362,0.04136833731105807,0.010342084327764518,0.024661893396976928,0.021479713603818614,0.0,0.03261734287987271,0.012728719172633254,0.0007955449482895784,0.014319809069212411,0.00477326968973747,0.03739061256961018,0.03659506762132061,0.03659506762132061,0.027048528241845664,0.0294351630867144,0.007955449482895784,0.014319809069212411,0.0031821797931583136,0.006364359586316627,0.0031821797931583136,0.020684168655529037,0.011137629276054098,0.0015910898965791568,0.03341288782816229,0.02545743834526651,0.0,0.0,0.00954653937947494,0.008750994431185362,0.020684168655529037,0.015910898965791568,0.021479713603818614,0.023070803500397773,0.00954653937947494,0.00477326968973747
