,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP1,0.0,0.045584045584045586,0.0,0.0,0.0,0.0,0.04985754985754986,0.0754985754985755,0.0,0.01282051282051282,0.0,0.07264957264957266,0.0,0.0,0.0,0.03276353276353276,0.0,0.0,0.029914529914529916,0.0,0.0,0.0,0.0,0.0,0.0,0.0754985754985755,0.0,0.03561253561253561,0.0,0.0,0.0,0.04131054131054131,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07122507122507123,0.07407407407407407,0.01566951566951567,0.0,0.07407407407407407,0.03133903133903134,0.045584045584045586,0.037037037037037035,0.0,0.0,0.04985754985754986,0.0,0.0,0.0,0.0,0.05555555555555555,0.03561253561253561,0.0
Pz,0.026501766784452298,0.0,0.038869257950530034,0.0,0.0,0.0,0.0,0.0,0.0,0.014134275618374558,0.0,0.0,0.0636042402826855,0.06537102473498234,0.0,0.0,0.054770318021201414,0.06537102473498234,0.0,0.06007067137809187,0.061837455830388695,0.0,0.0,0.0,0.0,0.0,0.054770318021201414,0.0,0.061837455830388695,0.0,0.0,0.0,0.0,0.00530035335689046,0.0,0.02120141342756184,0.0,0.0,0.06537102473498234,0.054770318021201414,0.0,0.06007067137809187,0.054770318021201414,0.061837455830388695,0.0,0.0,0.0,0.05653710247349823,0.0,0.0,0.0,0.0,0.0,0.024734982332155476,0.0,0.0,0.0,0.028268551236749116,0.0,0.0,0.0,0.0
P3,0.02336448598130841,0.0,0.03894080996884735,0.0,0.0,0.0,0.0,0.0,0.0,0.01557632398753894,0.0,0.0,0.05763239875389408,0.09190031152647975,0.0,0.0,0.04984423676012461,0.06542056074766354,0.0,0.059190031152647975,0.06230529595015576,0.0,0.0,0.0,0.0,0.0,0.048286604361370715,0.0,0.05451713395638629,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.018691588785046728,0.0,0.0,0.0778816199376947,0.048286604361370715,0.0,0.06074766355140187,0.056074766355140186,0.06230529595015576,0.0,0.0,0.0,0.05763239875389408,0.0,0.0,0.0,0.0,0.0,0.021806853582554516,0.0,0.0,0.0,0.024922118380062305,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.048484848484848485,0.0,0.0,0.0,0.0,0.06060606060606061,0.0696969696969697,0.0,0.03636363636363636,0.0,0.06363636363636363,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.07575757575757576,0.0,0.021212121212121213,0.0,0.0,0.0,0.030303030303030304,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05757575757575758,0.06363636363636363,0.0,0.0,0.07272727272727272,0.00909090909090909,0.03939393939393939,0.021212121212121213,0.0,0.0,0.05757575757575758,0.0,0.0,0.0,0.0,0.04242424242424243,0.01818181818181818,0.0
Oz,0.02208835341365462,0.0,0.03413654618473896,0.0,0.0,0.0,0.0,0.0,0.0,0.01606425702811245,0.0,0.0,0.0642570281124498,0.0642570281124498,0.0,0.0,0.06224899598393574,0.0642570281124498,0.0,0.05823293172690763,0.060240963855421686,0.0,0.0,0.0,0.0,0.0,0.06224899598393574,0.0,0.060240963855421686,0.0,0.0,0.0,0.0,0.006024096385542169,0.0,0.024096385542168676,0.0,0.0,0.0642570281124498,0.05220883534136546,0.0,0.05823293172690763,0.05220883534136546,0.060240963855421686,0.0,0.0,0.0,0.05421686746987952,0.0,0.0,0.0,0.0,0.0,0.028112449799196786,0.0,0.0,0.0,0.0321285140562249,0.0,0.0,0.0,0.0
O2,0.024549918166939442,0.0,0.04091653027823241,0.0,0.0,0.0,0.0,0.0,0.0,0.01309328968903437,0.0,0.0,0.058919803600654665,0.06710310965630115,0.0,0.0,0.05073649754500818,0.06710310965630115,0.0,0.062193126022913256,0.06546644844517185,0.0,0.0,0.0,0.0,0.0,0.05073649754500818,0.0,0.057283142389525366,0.0,0.0,0.0,0.0,0.004909983633387889,0.0,0.019639934533551555,0.0,0.0,0.06873977086743044,0.05073649754500818,0.0,0.06382978723404255,0.058919803600654665,0.06546644844517185,0.0,0.0,0.0,0.060556464811783964,0.0,0.0,0.0,0.0,0.0,0.022913256955810146,0.0,0.0,0.0,0.02618657937806874,0.0,0.0,0.0,0.0
P4,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.061224489795918366,0.07142857142857142,0.0,0.04421768707482993,0.0,0.06462585034013606,0.0,0.0,0.0,0.07482993197278912,0.0,0.0,0.0782312925170068,0.0,0.0,0.0,0.0,0.0,0.0,0.0782312925170068,0.0,0.017006802721088437,0.0,0.0,0.0,0.027210884353741496,0.06802721088435375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05782312925170068,0.06462585034013606,0.0,0.0,0.07482993197278912,0.003401360544217687,0.03741496598639456,0.017006802721088437,0.0,0.0,0.05782312925170068,0.0,0.0,0.0,0.0,0.04081632653061224,0.013605442176870748,0.0
P8,0.026041666666666668,0.0,0.043402777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.05555555555555555,0.0642361111111111,0.0,0.0,0.046875,0.0642361111111111,0.0,0.0642361111111111,0.06597222222222222,0.0,0.0,0.0,0.0,0.0,0.04861111111111111,0.0,0.057291666666666664,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.020833333333333332,0.0,0.0,0.06597222222222222,0.05381944444444445,0.0,0.06597222222222222,0.0625,0.06597222222222222,0.0,0.0,0.0,0.0642361111111111,0.0,0.0,0.0,0.0,0.0,0.024305555555555556,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
