,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.0,0.0,0.05,0.0,0.0,0.0,0.027777777777777776,0.05,0.0,0.027777777777777776,0.04814814814814815,0.05,0.0,0.05,0.0,0.044444444444444446,0.0,0.0,0.0,0.03888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046296296296296294,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03333333333333333,0.0,0.03333333333333333,0.0,0.044444444444444446,0.0,0.03148148148148148,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.046296296296296294,0.03888888888888889,0.0,0.0,0.05,0.0,0.03148148148148148,0.03888888888888889,0.0,0.03518518518518519,0.040740740740740744,0.04814814814814815
CP1,0.0,0.0,0.051580698835274545,0.0,0.0,0.0,0.024958402662229616,0.051580698835274545,0.0,0.024958402662229616,0.04326123128119801,0.04991680532445923,0.0,0.051580698835274545,0.0,0.04658901830282862,0.0,0.0,0.0,0.036605657237936774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04658901830282862,0.0,0.0,0.0,0.0,0.0,0.0,0.051580698835274545,0.029950083194675542,0.0,0.036605657237936774,0.0,0.04658901830282862,0.0,0.03494176372712146,0.0,0.0,0.0,0.0,0.04492512479201331,0.0,0.048252911813643926,0.03494176372712146,0.0,0.0,0.048252911813643926,0.0,0.029950083194675542,0.036605657237936774,0.0,0.036605657237936774,0.04326123128119801,0.04991680532445923
Pz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.054858934169279,0.0,0.0,0.0,0.023510971786833857,0.054858934169279,0.0,0.023510971786833857,0.04075235109717868,0.047021943573667714,0.0,0.054858934169279,0.0,0.047021943573667714,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0438871473354232,0.0,0.0,0.0,0.0,0.0,0.0,0.050156739811912224,0.02821316614420063,0.0,0.04231974921630094,0.0,0.05172413793103448,0.0,0.04075235109717868,0.0,0.0,0.0,0.0,0.04231974921630094,0.0,0.05172413793103448,0.032915360501567396,0.0,0.0,0.045454545454545456,0.0,0.02821316614420063,0.034482758620689655,0.0,0.034482758620689655,0.0438871473354232,0.048589341692789965
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.05084745762711865,0.0,0.0,0.0,0.025423728813559324,0.05084745762711865,0.0,0.025423728813559324,0.03728813559322034,0.04406779661016949,0.0,0.05084745762711865,0.0,0.04915254237288136,0.0,0.0,0.0,0.03728813559322034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04406779661016949,0.0,0.0,0.0,0.0,0.0,0.0,0.04745762711864407,0.030508474576271188,0.0,0.0423728813559322,0.0,0.05084745762711865,0.0,0.04067796610169491,0.0,0.0,0.0,0.0,0.04406779661016949,0.0,0.05084745762711865,0.03559322033898305,0.0,0.0,0.0423728813559322,0.0,0.030508474576271188,0.03728813559322034,0.0,0.03728813559322034,0.04745762711864407,0.04745762711864407
Oz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.044989775051124746,0.0,0.0,0.0,0.03067484662576687,0.044989775051124746,0.0,0.026584867075664622,0.03885480572597137,0.044989775051124746,0.0,0.044989775051124746,0.0,0.044989775051124746,0.0,0.0,0.0,0.04294478527607362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044989775051124746,0.0,0.0,0.0,0.0,0.0,0.0,0.044989775051124746,0.03680981595092025,0.0,0.0408997955010225,0.0,0.044989775051124746,0.0,0.03885480572597137,0.0,0.0,0.0,0.0,0.044989775051124746,0.0,0.044989775051124746,0.03680981595092025,0.0,0.0,0.044989775051124746,0.0,0.03680981595092025,0.04294478527607362,0.0,0.04294478527607362,0.044989775051124746,0.044989775051124746
