,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.008011479134281956,0.0,0.04871439786162504,0.01577639751552795,0.007413607557096736,0.0033480808322372355,0.0,0.04051295153229657,0.011766082931100685,0.0,0.26521697539368544,0.014408705010163817,0.0013153174698074853,0.0017344811477351808,0.0020008719269957956,0.014382770009573371,0.010821475547052492,0.0,0.0,0.011479134281956236,0.013826088441916962,0.0,0.03659024555811126,0.00203276336242975,0.031081909891469597,0.009984455338993184,0.027366461112724415,0.029229815149991498,0.005850496456218347,0.01159870859739328,0.0,0.023599216602559484,0.0,0.006624387367307787,0.0,0.0,0.0,0.028479824248037234,0.03417551281413324,0.0,0.0,0.0,0.0,0.06118332525030766,0.038938581135629216,0.01823508310414923,0.0,0.008648505729540724,0.0,0.002360248447204969,0.0,0.0044720496894409935,0.0,0.029887473884895238,0.0014946789429630515,0.0,0.0,0.019219499080169008,0.024739821886258832,0.0,0.0500310224792286,0.023447097277790444,0.0
CP1,0.0,0.0,0.004786120251271313,0.0,0.0,0.0,0.0,0.00268893291819983,0.0,0.0,0.017336541183130483,0.30887896089170447,0.0029719784885366544,0.00403828896201017,0.031759249718414956,0.06113979055982485,0.04890295922746763,0.002052080384941976,0.005165581658647042,0.06898810319589183,0.01565435470647717,0.0,0.019451551158306633,0.0,0.010614208887630908,0.0,0.03479405196201889,0.0,0.0,0.0,0.0,0.0,0.0,0.007029614119054741,0.00035380696292103026,0.0,0.0013460963206700569,0.0,0.028642594556736498,0.0,0.0,0.003679592414378715,0.0,0.0017690348146051514,0.05190700577157266,0.0,0.0,0.023928865559619532,0.0,0.0,0.0,0.0,0.0,0.0,0.02856052996832819,0.0008491367110104727,0.02979249364502157,0.031844574029963546,0.032881864500675186,0.002061753719195934,0.0030427398811208603,0.024800502827111312,0.08828704004353974
Pz,0.05841570499906226,0.0,0.0,0.0,0.05323286828816204,0.033451833265261126,0.0,0.0,0.00197865718096932,0.0,0.00044464206313917296,0.0009782125389061805,0.1502361776461344,0.0,0.00015562472209871054,0.0,0.0053877944962698755,0.0,0.0,0.030572053780538528,0.05853108987810339,0.0005335704757670075,0.0,0.0,0.03348525905219233,0.03075184408689627,0.0,0.0030740328156271678,0.0,0.05117015155152191,0.07061770502706843,0.013695775302778747,0.005468441164843853,0.0,0.09216401415519093,0.06530456633747296,0.011663238448431803,0.0014673188083592708,0.0,0.027278611873062162,0.01614600852454241,0.005428845815486961,0.020154445884529814,0.00577872386849024,0.0010226767452200978,0.027361215458872774,0.018309336586893776,0.0,0.010804802134281904,0.004809592831730136,0.004135171187194309,0.0,0.0,0.0,0.0071189748847249774,0.045817250530110716,0.0,0.0,0.0,0.03283144655849445,0.0,0.0,0.00022232103156958648
P3,0.0,0.003421900161030596,0.0,0.0,0.002717391304347826,0.0,0.003421900161030596,0.001610305958132045,0.0,0.03825955053960919,0.002133658972028644,0.0033324446814182885,0.0,0.24655153687411752,0.057206179980203525,0.0,0.0,0.0017780461621041332,0.0020799785292538917,0.0,0.0,0.0,0.03931790134189301,0.003421900161030596,0.0,0.0,0.016937306609094614,0.005770263016639828,0.003421900161030596,0.0,0.0,0.0013083735909822866,0.006608964036500268,0.005099302200751476,0.0024490069779924853,0.007723660521803239,0.00644122383252818,0.044787582499023704,0.016343280009925427,0.0,0.03136206977477325,0.05831996420206714,0.0,0.0,0.0,0.0,0.013479613523708045,0.08824618498584669,0.017981749865807837,0.06613220371508016,0.0,0.01023215244229737,0.05480459281353922,0.042638701248820673,0.0,0.0,0.010165056360708535,0.03335348720033577,0.017444981213097156,0.0,0.00912462885188033,0.016573188284161974,0.007997867235403893
P7,0.0,0.0010611956137247967,0.0,0.0,0.0,0.0,0.0010611956137247967,0.007074637424831978,0.0,0.036969221270855265,0.0029196938306377527,0.03296657505776376,0.00029477655936799903,0.09114954468891001,0.23682821251827313,0.02956892373782393,0.0,0.0030067209055535905,0.0,0.0078094815076223826,0.0,0.0004126871831151987,0.024047106538747927,0.0010611956137247967,0.0,0.0,0.038629442494785976,0.002535078410564792,0.0010611956137247967,0.0,0.0,0.004480603702393586,0.0,0.02394009734678971,0.0,0.0,0.025184473890448582,0.04866343836782196,0.02066736306764539,0.0,0.00915667261198029,0.009609715835396769,0.0,0.0,0.0,0.0,0.0,0.11531983971161587,0.016920174507723144,0.06099422532950673,0.0,0.009138073340407971,0.004067916519278387,0.02726088550601865,0.0,0.0,0.03184010913785208,0.010555812611163489,0.01279330267657116,0.0,0.003950005895531188,0.005659709939865582,0.04134069541823654
O1,0.0,4.340277777777778e-05,0.00021701388888888888,0.006522997181964573,0.0,0.0,0.0038628472222222224,0.0,0.0005208333333333333,0.005786408011272141,0.011161433172302736,0.03901721014492754,0.0,0.0,0.017817783816425122,0.2117439110305958,0.03668037942834138,0.028282885466988726,0.0,0.011371527777777777,0.007246376811594202,0.0,0.047390801127214166,0.009418402777777777,0.00546875,4.340277777777778e-05,0.05207893015297907,0.02105034722222222,0.011823168276972624,0.0,0.0,0.0016927083333333334,0.0,0.03739117854267311,0.0,0.0,0.004912691223832528,0.03008881843800322,0.013534118357487922,0.0,0.0,0.0,0.0,0.00030381944444444445,0.03225266706924315,0.0,0.0,0.0,0.0038628472222222224,0.0,0.0038628472222222224,0.005685763888888889,0.0223599788647343,0.033212560386473425,0.022556863929146537,0.0038628472222222224,0.028488576892109502,0.07301793981481482,0.05991218800322061,0.0021053492351046695,0.038808373590982284,0.0545390499194847,0.0
Oz,0.0,0.0094508912549348,0.0029309726043785143,0.01088646967340591,0.0,0.00849383897595406,0.0,0.0,0.018542887905251826,0.009630338557243689,0.010946285440842207,0.09255815492538301,0.01896475451354509,0.0,0.0,0.10200380275559787,0.41429164131920493,0.0,0.0,0.025365041629228785,0.01591099413805479,0.0,0.0,0.0,0.030326594090202177,0.0,0.000598157674362962,0.005921760976193325,0.0,0.0,0.0,0.0058619452087570285,0.0,0.006101208278502213,0.0093344159563014,0.004306735255413327,0.0028113410695059216,0.0051441559995214735,0.025342489812229398,0.0,0.0,0.0,0.0,0.0632058705994049,0.06111231873913453,0.028173226462495513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00424691948797703,0.0,0.0,0.0,0.004486182557722216,0.0005383419069266658,0.002512262232324441,0.0
O2,0.0,0.0,0.03513421497592849,0.019489297338175265,0.003295603394454981,0.0,0.0,0.015763982907450957,0.008675078864353312,0.007854187423206902,0.0,0.0018806115020626062,0.0,0.003093909245328804,0.003033244358165494,0.040007105436629525,0.0,0.2373691891023456,0.0,0.0037005581169619025,0.0,0.006430478039310847,0.03774786195007697,0.006187818490657608,0.0,0.00454986653724824,0.0473986358351694,0.04047621544817135,0.014645692200494404,0.007653191354455044,0.0,0.0,0.012515099819023514,0.035745920673687745,0.0,0.0,0.001395292404756127,0.017588986348476412,0.029276741739478723,0.0,0.025400114131033297,0.0034578985683086628,0.0,0.0,0.04001303060663593,0.0,0.0034578985683086628,0.0003639893229798593,0.0,0.0009823182711198428,0.0,0.03954461867546843,0.04335239172211525,0.021506579356448896,0.002547925260859015,0.0,0.0,0.0473986358351694,0.04193879599047151,0.0,0.045368277579640244,0.04375874260537081,0.0
P4,0.0,0.0010366275051831375,0.06643080852744279,0.010638297872340425,0.042242570836212856,0.006392536281962681,0.0,0.010798203178991016,0.0,0.0,0.0,0.006306150656530753,0.0,0.0055286800276434,0.0,0.0,0.0,0.0,0.49968859163598095,0.0,0.0,0.03938983215806871,0.0,0.0,0.0055286800276434,0.0,0.0,0.05114029025570145,0.011143745680718728,0.029630269523151346,0.0,0.0,0.0503628196268141,0.0,0.002591568762957844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012957843814789219,0.06258721709801714,0.0,0.016657546725258352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05002926783499943,0.0,0.01891845196959226
P8,0.022061160912963316,0.0006675567423230974,0.0,0.0,0.017928666793820332,0.019104838196961026,6.357683260219975e-05,0.0022887659736791914,0.004068917286540784,0.0,0.006103375929811177,0.07925206701518116,0.061470170530081886,0.0,0.009609673699587885,0.008201411405683768,0.014125401402613647,0.0020026702269692926,0.0,0.360353014499063,0.042787208341280435,0.0,0.0,0.0,0.024572445800750208,0.0017165744802593935,0.0,0.0006039799097208977,0.0,0.013637230593171849,0.01322398118125755,0.002161612308474792,0.0,0.0,0.05377536485184353,0.017483628965604934,0.00028609574670989893,0.00019073049780659929,0.0,0.011412041452094856,0.0,0.0,0.009155063894716766,0.006643779006929875,0.00807425774047937,0.020122067518596222,0.0,0.010120179121226367,0.009059698645813465,0.0,0.0055629728526924785,0.0,0.0,0.0,0.0023205543899802914,0.017483628965604934,0.0,0.0,0.0,0.014018691588785047,0.0,0.0,0.10828694469831848
TP10,0.04179532017032348,0.001005267602235715,0.0,0.0,0.04521728038164589,0.054986405593553424,0.0006031605613414291,0.0002801905295601009,0.022162764998426444,0.0,0.005329301274176827,0.0046430519232631045,0.0567631858013604,0.0,0.0,0.0035670944891044148,0.0053480236438940044,0.0,0.0,0.026981382444006594,0.14390130819537528,0.0005227391531625719,0.0,0.0004825284490731433,0.05222120425459219,0.022589275621572816,0.0,0.0,0.001005267602235715,0.04150944842822847,0.05869690492836428,0.031766799863732015,0.0,0.0,0.0704902994014216,0.05843010200573448,0.0058533248264052975,0.0,0.00010052676022357152,0.03807666940810756,0.0,0.00034179098476014313,0.012114635072763067,0.030245313686924867,0.005695693007712332,0.015829531221042928,0.013834259522137524,0.0,0.004945916602999719,0.0,0.0026136957658128594,0.0,0.0006433712654308577,0.0,0.01261736745714256,0.049846648948193774,0.007208286974319827,0.0009508299251597565,0.0,0.04878383125447899,0.0,0.0,0.0
CP6,0.003995082974800246,0.003995082974800246,0.02489244007375538,0.0,0.026736324523663185,0.003995082974800246,0.0,0.0630064426888121,0.0,0.0,0.0,0.0,0.003380454824830977,0.0,0.0007682851874615857,0.0,0.0,0.016287645974185617,0.07774115814420793,0.0,0.003995082974800246,0.3912185163466708,0.0,0.0,0.003995082974800246,0.003995082974800246,0.015980331899200985,0.02489244007375538,0.008758451137062077,0.02858020897357099,0.003995082974800246,0.003995082974800246,0.021358328211432083,0.0,0.003995082974800246,0.003995082974800246,0.0,0.05345821362626759,0.0,0.003995082974800246,0.0,0.0,0.0,0.0,0.0,0.0,0.003995082974800246,0.0,0.0,0.0,0.0,0.11694102521001934,0.0,0.0,0.0,0.003995082974800246,0.0,0.0,0.0,0.003995082974800246,0.05731503734603821,0.0,0.012753534111862324
