,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP6,0.0,0.0620253164556962,0.012658227848101266,0.0,0.0,0.0,0.035443037974683546,0.0,0.0,0.0,0.0,0.007594936708860759,0.0,0.039240506329113925,0.0,0.0,0.0,0.03164556962025317,0.0,0.0,0.07215189873417721,0.0,0.0,0.0,0.03164556962025317,0.0,0.0012658227848101266,0.0,0.02531645569620253,0.0,0.0,0.0,0.02531645569620253,0.0,0.0,0.060759493670886074,0.03164556962025317,0.03291139240506329,0.0,0.0670886075949367,0.03417721518987342,0.04683544303797468,0.0,0.0,0.0379746835443038,0.0,0.024050632911392405,0.026582278481012658,0.0,0.0,0.06455696202531645,0.017721518987341773,0.0,0.0,0.06582278481012659,0.035443037974683546,0.0620253164556962,0.0,0.0,0.04683544303797468,0.0,0.0012658227848101266
CP2,0.01721170395869191,0.0,0.0,0.04991394148020654,0.0,0.05335628227194492,0.0,0.04819277108433735,0.0,0.022375215146299483,0.05335628227194492,0.03098106712564544,0.04647160068846816,0.0,0.013769363166953529,0.0017211703958691911,0.05335628227194492,0.0,0.0,0.0,0.0,0.04991394148020654,0.05335628227194492,0.04819277108433735,0.0,0.04991394148020654,0.022375215146299483,0.0,0.0,0.0,0.0,0.0,0.0,0.0068846815834767644,0.05335628227194492,0.0,0.0,0.0,0.04647160068846816,0.0,0.0,0.0,0.0017211703958691911,0.010327022375215147,0.0,0.05163511187607573,0.0,0.0,0.04991394148020654,0.012048192771084338,0.0,0.0,0.0,0.04130808950086059,0.0,0.0,0.0,0.022375215146299483,0.0,0.0,0.05335628227194492,0.03614457831325301
Cz,0.014947683109118086,0.0,0.0,0.053811659192825115,0.0,0.059790732436472344,0.0,0.052316890881913304,0.0,0.02092675635276532,0.053811659192825115,0.03736920777279522,0.04633781763826607,0.0,0.01195814648729447,0.0014947683109118087,0.05082212257100149,0.0,0.0,0.0,0.0,0.04484304932735426,0.05680119581464873,0.04484304932735426,0.0,0.053811659192825115,0.02092675635276532,0.0,0.0,0.0,0.0,0.0,0.0,0.005979073243647235,0.059790732436472344,0.0,0.0,0.0,0.04035874439461883,0.0,0.0,0.0,0.0014947683109118087,0.008968609865470852,0.0,0.052316890881913304,0.0,0.0,0.04633781763826607,0.01046337817638266,0.0,0.0,0.0,0.04035874439461883,0.0,0.0,0.0,0.01943198804185351,0.0,0.0,0.05530642750373692,0.0343796711509716
C4,0.017123287671232876,0.0,0.0,0.053082191780821915,0.0,0.053082191780821915,0.0,0.053082191780821915,0.0,0.025684931506849314,0.04965753424657534,0.03767123287671233,0.053082191780821915,0.0,0.0136986301369863,0.0017123287671232876,0.05136986301369863,0.0,0.0,0.0,0.0,0.04280821917808219,0.04965753424657534,0.04965753424657534,0.0,0.053082191780821915,0.025684931506849314,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.05136986301369863,0.0,0.0,0.0017123287671232876,0.04280821917808219,0.0,0.0,0.0,0.0017123287671232876,0.010273972602739725,0.0,0.04794520547945205,0.0,0.0,0.04280821917808219,0.011986301369863013,0.0,0.0,0.0,0.04794520547945205,0.0,0.0,0.0,0.02226027397260274,0.0,0.0,0.053082191780821915,0.02910958904109589
T8,0.0,0.04725897920604915,0.013232514177693762,0.0,0.0,0.0,0.04158790170132325,0.0,0.0,0.0,0.0,0.005671077504725898,0.0,0.04725897920604915,0.0,0.0,0.0,0.04158790170132325,0.0,0.0,0.04725897920604915,0.0,0.0,0.0,0.045368620037807186,0.0,0.0,0.0,0.03213610586011342,0.0,0.0,0.0,0.03780718336483932,0.0,0.0,0.04725897920604915,0.04158790170132325,0.043478260869565216,0.0,0.04725897920604915,0.03969754253308128,0.045368620037807186,0.0,0.0,0.04725897920604915,0.0,0.035916824196597356,0.034026465028355386,0.0,0.0,0.04725897920604915,0.026465028355387523,0.0,0.0,0.04725897920604915,0.045368620037807186,0.04725897920604915,0.0,0.0,0.045368620037807186,0.0,0.0
FT10,0.014285714285714285,0.0,0.005714285714285714,0.05714285714285714,0.0,0.054285714285714284,0.0,0.06142857142857143,0.0,0.02857142857142857,0.04428571428571428,0.05142857142857143,0.04857142857142857,0.0,0.011428571428571429,0.0014285714285714286,0.04428571428571428,0.0,0.0,0.0,0.0,0.037142857142857144,0.047142857142857146,0.04285714285714286,0.0,0.06285714285714286,0.02857142857142857,0.0,0.0014285714285714286,0.0,0.0,0.0,0.0,0.005714285714285714,0.05142857142857143,0.0,0.0,0.008571428571428572,0.037142857142857144,0.004285714285714286,0.0,0.0,0.0014285714285714286,0.008571428571428572,0.002857142857142857,0.04285714285714286,0.0,0.005714285714285714,0.037142857142857144,0.01,0.0014285714285714286,0.0,0.0,0.04428571428571428,0.0014285714285714286,0.0,0.0,0.018571428571428572,0.0,0.0,0.05,0.025714285714285714
FC6,0.023809523809523808,0.007142857142857143,0.016666666666666666,0.04285714285714286,0.0,0.03571428571428571,0.0,0.04523809523809524,0.0,0.047619047619047616,0.030952380952380953,0.05476190476190476,0.04047619047619048,0.007142857142857143,0.01904761904761905,0.002380952380952381,0.03333333333333333,0.007142857142857143,0.0,0.0,0.007142857142857143,0.02857142857142857,0.030952380952380953,0.03333333333333333,0.0,0.04523809523809524,0.05238095238095238,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.009523809523809525,0.03333333333333333,0.0,0.004761904761904762,0.02142857142857143,0.030952380952380953,0.014285714285714285,0.0,0.0,0.002380952380952381,0.014285714285714285,0.011904761904761904,0.02857142857142857,0.0,0.016666666666666666,0.02619047619047619,0.016666666666666666,0.009523809523809525,0.0,0.0,0.04285714285714286,0.009523809523809525,0.0,0.0,0.030952380952380953,0.0,0.0,0.03571428571428571,0.01904761904761905
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.048672566371681415,0.024336283185840708,0.0,0.0,0.0,0.033185840707964605,0.0,0.0,0.0,0.0,0.015486725663716814,0.0,0.048672566371681415,0.0,0.0,0.0,0.048672566371681415,0.0,0.0,0.048672566371681415,0.0,0.0,0.0,0.0420353982300885,0.0,0.004424778761061947,0.0,0.046460176991150445,0.0,0.0,0.0,0.028761061946902654,0.0,0.0,0.03982300884955752,0.046460176991150445,0.048672566371681415,0.0,0.048672566371681415,0.030973451327433628,0.03761061946902655,0.0,0.0,0.048672566371681415,0.0,0.033185840707964605,0.048672566371681415,0.0,0.0,0.048672566371681415,0.015486725663716814,0.0,0.0,0.048672566371681415,0.03761061946902655,0.03982300884955752,0.0,0.0,0.03761061946902655,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.047619047619047616,0.002380952380952381,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.02619047619047619,0.0,0.0,0.0,0.04523809523809524,0.0,0.0,0.047619047619047616,0.0380952380952381,0.04047619047619048,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0380952380952381,0.02857142857142857,0.0,0.0,0.047619047619047616,0.03333333333333333,0.0,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0
AFz,0.03816793893129771,0.0,0.0,0.03816793893129771,0.0,0.03816793893129771,0.0,0.03816793893129771,0.0,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.0,0.03816793893129771,0.007633587786259542,0.03816793893129771,0.0,0.0,0.0,0.0,0.03816793893129771,0.03816793893129771,0.03816793893129771,0.0,0.03816793893129771,0.03816793893129771,0.0,0.0,0.0,0.0,0.0,0.0,0.030534351145038167,0.03816793893129771,0.0,0.0,0.0,0.03816793893129771,0.0,0.0,0.0,0.007633587786259542,0.03816793893129771,0.0,0.03816793893129771,0.0,0.0,0.03816793893129771,0.03816793893129771,0.0,0.0,0.0,0.03816793893129771,0.0,0.0,0.0,0.03816793893129771,0.0,0.0,0.03816793893129771,0.03816793893129771
F1,0.014347202295552367,0.0,0.0,0.054519368723098996,0.0,0.06312769010043041,0.0,0.054519368723098996,0.0,0.021520803443328552,0.05308464849354376,0.040172166427546625,0.04591104734576758,0.0,0.011477761836441894,0.0014347202295552368,0.04878048780487805,0.0,0.0,0.0,0.0,0.043041606886657105,0.05595408895265423,0.043041606886657105,0.0,0.05595408895265423,0.021520803443328552,0.0,0.0,0.0,0.0,0.0,0.0,0.005738880918220947,0.06025824964131994,0.0,0.0,0.0014347202295552368,0.03873744619799139,0.0,0.0,0.0,0.0014347202295552368,0.00860832137733142,0.0,0.05164992826398852,0.0,0.0,0.04591104734576758,0.010043041606886656,0.0,0.0,0.0,0.040172166427546625,0.0,0.0,0.0,0.018651362984218076,0.0,0.0,0.054519368723098996,0.03443328550932568
F5,0.0,0.059490084985835696,0.0084985835694051,0.0,0.0,0.0,0.039660056657223795,0.0,0.0,0.0,0.0,0.0028328611898017,0.0,0.03824362606232295,0.0,0.0,0.0,0.029745042492917848,0.0,0.0,0.06657223796033994,0.0,0.0,0.0,0.032577903682719546,0.0,0.0,0.0,0.0226628895184136,0.0,0.0,0.0,0.028328611898016998,0.0,0.0,0.06515580736543909,0.029745042492917848,0.031161473087818695,0.0,0.06373937677053824,0.03824362606232295,0.05240793201133145,0.0,0.0,0.036827195467422094,0.0,0.026912181303116147,0.024079320113314446,0.0,0.0,0.060906515580736544,0.019830028328611898,0.0,0.0,0.06232294617563739,0.039660056657223795,0.06657223796033994,0.0,0.0,0.05240793201133145,0.0,0.00141643059490085
