,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.01710516466705808,0.016538535912681257,0.016845975910150197,0.017089450681654184,0.017072627411900927,0.016360135651491584,0.017089450681654184,0.017218490417933448,0.016911050420464507,0.017202776432529546,0.01710516466705808,0.017056913426497025,0.017024376171339874,0.01710516466705808,0.017121987936811335,0.017137701922215236,0.017024376171339874,3.2537255157154944e-05,0.009814416938643737,0.00842086138863285,0.007496322827527323,0.0172510276730906,0.017024376171339874,0.016911050420464507,0.016959301661025564,0.016861689895554095,0.016991838916182715,0.017024376171339874,0.016959301661025564,0.01717023917737239,0.017089450681654184,0.01679772466958914,0.017024376171339874,0.0172353136876867,0.016959301661025564,0.01710516466705808,0.016845975910150197,0.01717023917737239,0.016991838916182715,0.0172510276730906,0.016538535912681257,0.016521712642928003,0.017024376171339874,0.016991838916182715,0.01704009015674377,0.016911050420464507,0.017137701922215236,0.017024376171339874,0.016926764405868405,0.015113552391862572,0.016991838916182715,0.01718595316277629,0.007868837335310573,0.016991838916182715,0.016959301661025564,0.017089450681654184,0.01656996388348906,0.016878513165307352,0.0165374266283319,0.01710516466705808,0.01717023917737239,0.017024376171339874
CP1,0.01709414853301405,0.01660618125681781,0.0168015582844169,0.017109875443712237,0.01709414853301405,0.016427481725519888,0.017109875443712237,0.01720803925031327,0.01689877150541496,0.017158957347012754,0.01709414853301405,0.017045066629713532,0.01701266222271418,0.01709414853301405,0.017109875443712237,0.017126552940013404,0.01701266222271418,3.2404406999351915e-05,0.009758394938321781,0.008458416315935786,0.007532514252446807,0.017272848064311973,0.01701266222271418,0.01689877150541496,0.016947853408715477,0.016818235780718067,0.016980257815714828,0.01701266222271418,0.016947853408715477,0.017158957347012754,0.017109875443712237,0.01681728519511509,0.01701266222271418,0.017223766161011456,0.016980257815714828,0.01709414853301405,0.016833962691416255,0.017158957347012754,0.016980257815714828,0.017240443657312622,0.016638585663817165,0.016590454346119624,0.01701266222271418,0.016980257815714828,0.017029339719015345,0.01689877150541496,0.017158957347012754,0.01701266222271418,0.016915449001716126,0.015142279428229096,0.016980257815714828,0.01717563484331392,0.007906590811343824,0.016980257815714828,0.016947853408715477,0.017077471036712883,0.016558049939120273,0.016866367098415606,0.01657472743542144,0.01709414853301405,0.017158957347012754,0.01701266222271418
Pz,0.0171171131481765,0.016625549689376868,0.016822595308568094,0.017099817188928536,0.0171171131481765,0.016445800029433605,0.017034835708650414,0.01716689984756352,0.016920067528985276,0.0171171131481765,0.017084622408037438,0.017034835708650414,0.017034835708650414,0.017084622408037438,0.017099817188928536,0.0171171131481765,0.017034835708650414,3.249074013906037e-05,0.00979667725749667,0.008373874758841665,0.007442635718986289,0.01723188132784164,0.017034835708650414,0.016920067528985276,0.016969854228372293,0.016839891267816053,0.017002344968511357,0.017034835708650414,0.016969854228372293,0.0171171131481765,0.017099817188928536,0.016837790089459192,0.017034835708650414,0.017182094628454617,0.017002344968511357,0.017052131667898377,0.016855086048707155,0.01714960388831556,0.017002344968511357,0.017199390587702583,0.01665804042951593,0.01661035490848577,0.017034835708650414,0.017002344968511357,0.017052131667898377,0.016920067528985276,0.0171171131481765,0.017034835708650414,0.016904872748094175,0.01523313675250406,0.017002344968511357,0.01716689984756352,0.007819430998120777,0.017002344968511357,0.016969854228372293,0.017034835708650414,0.01657786416834671,0.016887576788846212,0.01659516012759467,0.0171171131481765,0.0171171131481765,0.017002344968511357
P3,0.01710516466705808,0.016538535912681257,0.016845975910150197,0.017089450681654184,0.017072627411900927,0.016360135651491584,0.017089450681654184,0.017218490417933448,0.016911050420464507,0.017202776432529546,0.01710516466705808,0.017056913426497025,0.017024376171339874,0.01710516466705808,0.017121987936811335,0.017137701922215236,0.017024376171339874,3.2537255157154944e-05,0.009814416938643737,0.00842086138863285,0.007496322827527323,0.0172510276730906,0.017024376171339874,0.016911050420464507,0.016959301661025564,0.016861689895554095,0.016991838916182715,0.017024376171339874,0.016959301661025564,0.01717023917737239,0.017089450681654184,0.01679772466958914,0.017024376171339874,0.0172353136876867,0.016959301661025564,0.01710516466705808,0.016845975910150197,0.01717023917737239,0.016991838916182715,0.0172510276730906,0.016538535912681257,0.016521712642928003,0.017024376171339874,0.016991838916182715,0.01704009015674377,0.016911050420464507,0.017137701922215236,0.017024376171339874,0.016926764405868405,0.015113552391862572,0.016991838916182715,0.01718595316277629,0.007868837335310573,0.016991838916182715,0.016959301661025564,0.017089450681654184,0.01656996388348906,0.016878513165307352,0.0165374266283319,0.01710516466705808,0.01717023917737239,0.017024376171339874
P7,0.01709246245004823,0.01660391558283249,0.016831928853838732,0.017108537115358115,0.01709246245004823,0.016424868296922863,0.017076016790154865,0.017206469085551353,0.01689696950424524,0.017190023425657987,0.01709246245004823,0.01704349646495161,0.01701097613974836,0.01709246245004823,0.017108537115358115,0.01712498277525148,0.01701097613974836,3.252032520325203e-05,0.00970552569932479,0.008468269363267297,0.007540512608515916,0.017271509735957855,0.01701097613974836,0.01689696950424524,0.016945935489341854,0.016848374513732098,0.01697845581454511,0.01701097613974836,0.016945935489341854,0.017157503100454732,0.017108537115358115,0.01681548319394537,0.01701097613974836,0.017222543750861238,0.01697845581454511,0.01709246245004823,0.016831928853838732,0.017157503100454732,0.01697845581454511,0.017238989410754604,0.016636435908035742,0.016587840917522606,0.01701097613974836,0.01697845581454511,0.017027421799641725,0.01689696950424524,0.017157503100454732,0.01701097613974836,0.016913415164138603,0.015170795306388526,0.01697845581454511,0.0171739487603481,0.007915052840228533,0.01697845581454511,0.016945935489341854,0.017076016790154865,0.01655532059231935,0.016864449179041986,0.016604286577415972,0.01709246245004823,0.017157503100454732,0.01701097613974836
O1,0.017095265926358856,0.016529671636718916,0.016804210995050455,0.017111781499335715,0.017095265926358856,0.016351735563338504,0.017079372891609504,0.017208384784286844,0.01690143681822909,0.017160083141811278,0.017095265926358856,0.01704696428388329,0.01701455567615708,0.017095265926358856,0.017111781499335715,0.017127674534085067,0.01701455567615708,3.240860772621208e-05,0.009827315219668106,0.008485159421054097,0.007563070446425825,0.017273201999739266,0.01701455567615708,0.01690143681822909,0.016949738460704654,0.016820104029799807,0.016982147068430868,0.01701455567615708,0.016949738460704654,0.017160083141811278,0.017111781499335715,0.016820726568027314,0.01701455567615708,0.01730561060746548,0.016982147068430868,0.017095265926358856,0.016836619602776666,0.017160083141811278,0.016982147068430868,0.017240793392013055,0.016562080244445127,0.016513156063742054,0.01701455567615708,0.016982147068430868,0.01703044871090643,0.01690143681822909,0.017240793392013055,0.01701455567615708,0.016917329852978443,0.015075019518404427,0.016982147068430868,0.017256686426762403,0.007934835627936,0.016982147068430868,0.016949738460704654,0.017079372891609504,0.01656145770621762,0.01686902821050288,0.016496640490765196,0.017095265926358856,0.017160083141811278,0.01701455567615708
Oz,0.0171171131481765,0.016628714206281717,0.016824177567020517,0.01710060831815475,0.0171171131481765,0.01644975567556467,0.017035626837876627,0.017166108718337306,0.0169216497874377,0.0171171131481765,0.017084622408037438,0.017035626837876627,0.017035626837876627,0.017084622408037438,0.01710060831815475,0.0171171131481765,0.017035626837876627,3.249074013906037e-05,0.00973496917785211,0.008400773152532884,0.00747348975880857,0.017231090198615427,0.017035626837876627,0.0169216497874377,0.016970645357598506,0.016840682397042266,0.01700313609773757,0.017035626837876627,0.016970645357598506,0.0171171131481765,0.01710060831815475,0.016840163477137828,0.017035626837876627,0.017182094628454617,0.01700313609773757,0.017052131667898377,0.01685666830715958,0.01714960388831556,0.01700313609773757,0.01719859945847637,0.01666120494642078,0.016612728296164406,0.017035626837876627,0.01700313609773757,0.017052131667898377,0.0169216497874377,0.0171171131481765,0.017035626837876627,0.016905663877320388,0.015163517380597376,0.01700313609773757,0.017166108718337306,0.007847911650264421,0.01700313609773757,0.016970645357598506,0.017035626837876627,0.01658023755602535,0.016889159047298638,0.016596742386047095,0.0171171131481765,0.0171171131481765,0.01700313609773757
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6644666281659929,0.059846547314578,0.08420097351703654,0.1000907515881528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009487666034155598,0.0,0.0,0.09044633281082419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.016592490311418608,0.01608593688992768,0.016348967725282444,0.01661199856063721,0.016725686504713597,0.01599175719506989,0.01683601289755477,0.016725686504713597,0.016443147420140233,0.016800357950352784,0.016725686504713597,0.016686670006276397,0.01651781886577942,0.016800357950352784,0.01661199856063721,0.016800357950352784,0.01661199856063721,0.0025421907029675945,0.04027871169828831,0.0049134908305883945,0.004595296798813044,0.016875029395991975,0.016891176093975356,0.016592490311418608,0.016443147420140233,0.016387984223719648,0.01651781886577942,0.016686670006276397,0.016592490311418608,0.016800357950352784,0.016667161757057795,0.01651781886577942,0.016537327114998022,0.016800357950352784,0.016368475974501043,0.01665101505907441,0.01651781886577942,0.016780849701134186,0.016443147420140233,0.016800357950352784,0.01608593688992768,0.016180116584785464,0.01651781886577942,0.016443147420140233,0.01655683536421662,0.01651781886577942,0.016875029395991975,0.016592490311418608,0.016069790191944294,0.01565069336284072,0.01661199856063721,0.016725686504713597,0.004595296798813044,0.016462655669358832,0.016368475974501043,0.01661199856063721,0.01619962483400407,0.016443147420140233,0.01603077369350709,0.016780849701134186,0.01694970084163116,0.01661199856063721
TP10,0.014963388771913874,0.01454681594928496,0.014850087163031028,0.01494507196546264,0.014850087163031028,0.014433514340402114,0.015040056767894251,0.015379961594542788,0.014736785554148181,0.015040056767894251,0.01494507196546264,0.01494507196546264,0.014850087163031028,0.01494507196546264,0.01494507196546264,0.015058373574345484,0.014850087163031028,0.008146975432491871,0.005061938786825606,0.04569950656977141,0.04556448738426189,0.015379961594542788,0.014850087163031028,0.014736785554148181,0.014850087163031028,0.014850087163031028,0.014850087163031028,0.014850087163031028,0.014850087163031028,0.015040056767894251,0.01494507196546264,0.014736785554148181,0.014850087163031028,0.0154749463969744,0.014850087163031028,0.015040056767894251,0.014736785554148181,0.01494507196546264,0.014850087163031028,0.015379961594542788,0.01454681594928496,0.01454681594928496,0.014850087163031028,0.014850087163031028,0.014850087163031028,0.014736785554148181,0.015833168030074174,0.014850087163031028,0.01494507196546264,0.013772021493556273,0.014850087163031028,0.015624881618759716,0.04556448738426189,0.014850087163031028,0.014850087163031028,0.015040056767894251,0.01454681594928496,0.014736785554148181,0.015456629590523165,0.014850087163031028,0.015040056767894251,0.01494507196546264
