,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.056074766355140186,0.056074766355140186,0.0,0.056074766355140186,0.0,0.0,0.0,0.056074766355140186,0.056074766355140186,0.056074766355140186,0.04672897196261682,0.0,0.0,0.0,0.056074766355140186,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.0,0.0,0.056074766355140186,0.0,0.0,0.056074766355140186,0.056074766355140186,0.0,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.0,0.056074766355140186,0.0,0.0,0.0,0.0,0.0,0.0,0.056074766355140186,0.056074766355140186,0.0,0.0,0.0,0.056074766355140186,0.0
CP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.04556962025316456,0.0,0.0,0.05569620253164557,0.015189873417721518,0.04556962025316456,0.0,0.020253164556962026,0.0,0.0,0.0,0.030379746835443037,0.0,0.017721518987341773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05063291139240506,0.053164556962025315,0.0,0.03291139240506329,0.0,0.012658227848101266,0.04050632911392405,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.027848101265822784,0.0,0.0,0.03291139240506329,0.0,0.027848101265822784,0.017721518987341773,0.04556962025316456,0.05063291139240506,0.0,0.04810126582278481,0.0,0.02531645569620253,0.02531645569620253,0.03291139240506329,0.020253164556962026,0.05569620253164557,0.05569620253164557,0.0,0.0,0.04050632911392405,0.0,0.02278481012658228,0.0,0.0
C4,0.0,0.04504504504504504,0.0,0.0,0.06306306306306306,0.013513513513513514,0.04054054054054054,0.0,0.018018018018018018,0.0,0.0,0.0,0.02702702702702703,0.0,0.015765765765765764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472972972972973,0.06531531531531531,0.0,0.02927927927927928,0.0,0.01126126126126126,0.0472972972972973,0.05855855855855856,0.0,0.0,0.0,0.0,0.0,0.024774774774774775,0.0,0.0,0.02927927927927928,0.0,0.024774774774774775,0.015765765765765764,0.0472972972972973,0.04954954954954955,0.0,0.04504504504504504,0.0,0.02252252252252252,0.02252252252252252,0.02927927927927928,0.018018018018018018,0.05630630630630631,0.06756756756756757,0.0,0.0,0.04504504504504504,0.0,0.02027027027027027,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695652,0.06159420289855073,0.06159420289855073,0.0,0.057971014492753624,0.0,0.0,0.010869565217391304,0.04710144927536232,0.057971014492753624,0.050724637681159424,0.021739130434782608,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.05434782608695652,0.0,0.0,0.06521739130434782,0.0,0.0,0.05434782608695652,0.050724637681159424,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695652,0.0,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695652,0.06159420289855073,0.0,0.0,0.0,0.057971014492753624,0.0
FT10,0.0,0.03690036900369004,0.0,0.0,0.04428044280442804,0.01845018450184502,0.04059040590405904,0.0,0.025830258302583026,0.0,0.0,0.0,0.04059040590405904,0.0,0.02214022140221402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04059040590405904,0.04059040590405904,0.0,0.04797047970479705,0.0,0.014760147601476014,0.033210332103321034,0.03690036900369004,0.0,0.0,0.0,0.0,0.0,0.03690036900369004,0.0,0.0,0.05166051660516605,0.0,0.03690036900369004,0.02214022140221402,0.03690036900369004,0.04059040590405904,0.0,0.04059040590405904,0.0,0.033210332103321034,0.033210332103321034,0.04428044280442804,0.025830258302583026,0.04797047970479705,0.04428044280442804,0.0,0.0,0.033210332103321034,0.0,0.02952029520295203,0.0,0.0
FC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.03592814371257485,0.0,0.0,0.03592814371257485,0.03592814371257485,0.03592814371257485,0.0,0.03592814371257485,0.0,0.0,0.0,0.03592814371257485,0.0,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03592814371257485,0.03592814371257485,0.0,0.03592814371257485,0.0,0.029940119760479042,0.03592814371257485,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.03592814371257485,0.0,0.0,0.03592814371257485,0.0,0.03592814371257485,0.03592814371257485,0.03592814371257485,0.03592814371257485,0.0,0.03592814371257485,0.0,0.03592814371257485,0.03592814371257485,0.03592814371257485,0.03592814371257485,0.03592814371257485,0.03592814371257485,0.0,0.0,0.03592814371257485,0.0,0.03592814371257485,0.0,0.0
F4,0.0,0.05012531328320802,0.0,0.0,0.05513784461152882,0.015037593984962405,0.042606516290726815,0.0,0.020050125313283207,0.0,0.0,0.0,0.02756892230576441,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.05513784461152882,0.0,0.02756892230576441,0.0,0.012531328320802004,0.05012531328320802,0.05513784461152882,0.0,0.0,0.0,0.0,0.0,0.02756892230576441,0.0,0.0,0.02756892230576441,0.0,0.02756892230576441,0.017543859649122806,0.05263157894736842,0.05012531328320802,0.0,0.047619047619047616,0.0,0.02506265664160401,0.02506265664160401,0.02756892230576441,0.020050125313283207,0.047619047619047616,0.05513784461152882,0.0,0.0,0.05012531328320802,0.0,0.022556390977443608,0.0,0.0
F8,0.0,0.04597701149425287,0.0,0.0,0.06206896551724138,0.013793103448275862,0.041379310344827586,0.0,0.01839080459770115,0.0,0.0,0.0,0.027586206896551724,0.0,0.016091954022988506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04827586206896552,0.06436781609195402,0.0,0.027586206896551724,0.0,0.011494252873563218,0.04827586206896552,0.059770114942528735,0.0,0.0,0.0,0.0,0.0,0.02528735632183908,0.0,0.0,0.027586206896551724,0.0,0.02528735632183908,0.016091954022988506,0.04827586206896552,0.05057471264367816,0.0,0.04597701149425287,0.0,0.022988505747126436,0.022988505747126436,0.027586206896551724,0.01839080459770115,0.05517241379310345,0.06206896551724138,0.0,0.0,0.04597701149425287,0.0,0.020689655172413793,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05620608899297424,0.06557377049180328,0.0585480093676815,0.0,0.06557377049180328,0.0,0.0,0.0351288056206089,0.0585480093676815,0.06088992974238876,0.04918032786885246,0.01405152224824356,0.0,0.0,0.0,0.03981264637002342,0.0,0.0,0.0,0.0,0.0,0.06323185011709602,0.0,0.0,0.06323185011709602,0.0,0.0,0.06323185011709602,0.0468384074941452,0.0,0.0,0.0,0.0,0.0,0.0,0.03747072599531616,0.0,0.0468384074941452,0.0,0.0,0.0,0.0,0.0,0.0,0.04449648711943794,0.06557377049180328,0.0,0.0,0.0,0.06557377049180328,0.0
