,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
CP1,0.0,0.0,0.03669724770642202,0.0,0.0,0.0,0.0,0.0,0.05045871559633028,0.03669724770642202,0.0,0.07110091743119266,0.0,0.05733944954128441,0.0,0.03669724770642202,0.06651376146788991,0.0,0.0389908256880734,0.0,0.0,0.0,0.07110091743119266,0.0,0.07110091743119266,0.0,0.0,0.0,0.0,0.0,0.0,0.05045871559633028,0.0,0.05963302752293578,0.0,0.0,0.009174311926605505,0.0,0.0,0.07110091743119266,0.027522935779816515,0.0,0.0,0.0,0.0,0.03211009174311927,0.0,0.0,0.0,0.0,0.045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.05733944954128441,0.0,0.05045871559633028,0.0,0.05963302752293578
Pz,0.0,0.02865995352439969,0.0,0.013168086754453912,0.030209140201394268,0.0,0.049573973663826494,0.020139426800929512,0.0,0.0,0.026336173508907823,0.0,0.08520526723470179,0.0,0.026336173508907823,0.0,0.0,0.025561580170410533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055770720371804805,0.030209140201394268,0.019364833462432222,0.027110766847405113,0.0,0.0,0.026336173508907823,0.0,0.08055770720371805,0.02865995352439969,0.0,0.02943454686289698,0.045701006971340045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051897753679318356,0.0,0.0,0.0,0.054996127033307515,0.047250193648334625,0.0,0.044151820294345466,0.08133230054221534,0.0,0.0,0.024012393493415957,0.0,0.048024786986831915,0.0
P3,0.0,0.0,0.03669724770642202,0.0,0.0,0.0,0.0,0.0,0.05963302752293578,0.02522935779816514,0.0,0.052752293577981654,0.0,0.06192660550458716,0.0,0.03669724770642202,0.06422018348623854,0.0,0.0481651376146789,0.0,0.0,0.0,0.06422018348623854,0.0,0.06422018348623854,0.0,0.0,0.0,0.0,0.0,0.0,0.05963302752293578,0.0,0.06422018348623854,0.0,0.0,0.009174311926605505,0.0,0.0,0.06192660550458716,0.027522935779816515,0.0,0.0,0.0,0.0,0.03211009174311927,0.0,0.0,0.0,0.0,0.04357798165137615,0.0,0.0,0.0,0.0,0.0,0.0,0.06422018348623854,0.0,0.05963302752293578,0.0,0.06422018348623854
P7,0.0,0.03934010152284264,0.0,0.021573604060913704,0.04314720812182741,0.0,0.04314720812182741,0.03299492385786802,0.0,0.0,0.04187817258883249,0.0,0.04314720812182741,0.0,0.04187817258883249,0.0,0.0,0.04187817258883249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314720812182741,0.04314720812182741,0.031725888324873094,0.03553299492385787,0.0,0.0,0.03680203045685279,0.0,0.04314720812182741,0.03934010152284264,0.0,0.04314720812182741,0.04314720812182741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314720812182741,0.0,0.0,0.0,0.04314720812182741,0.04314720812182741,0.0,0.04314720812182741,0.04314720812182741,0.0,0.0,0.03299492385786802,0.0,0.04314720812182741,0.0
O1,0.0,0.0,0.04964539007092199,0.0,0.0,0.0,0.0,0.0,0.05673758865248227,0.024822695035460994,0.0,0.05673758865248227,0.0,0.05673758865248227,0.0,0.05319148936170213,0.05673758865248227,0.0,0.04609929078014184,0.0,0.0,0.0,0.05673758865248227,0.0,0.05673758865248227,0.0,0.0,0.0,0.0,0.0,0.0,0.05673758865248227,0.0,0.05673758865248227,0.0,0.0,0.014184397163120567,0.0,0.0,0.05673758865248227,0.031914893617021274,0.0,0.0,0.0,0.0,0.04609929078014184,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.05673758865248227,0.0,0.05673758865248227,0.0,0.05673758865248227
Oz,0.0,0.0,0.032520325203252036,0.0,0.0,0.0,0.0,0.0,0.05894308943089431,0.03048780487804878,0.0,0.054878048780487805,0.0,0.056910569105691054,0.0,0.032520325203252036,0.06910569105691057,0.0,0.046747967479674794,0.0,0.0,0.0,0.07113821138211382,0.0,0.07113821138211382,0.0,0.0,0.0,0.0,0.0,0.0,0.05894308943089431,0.0,0.06707317073170732,0.0,0.0,0.008130081300813009,0.0,0.0,0.06300813008130081,0.024390243902439025,0.0,0.0,0.0,0.0,0.028455284552845527,0.0,0.0,0.0,0.0,0.04065040650406504,0.0,0.0,0.0,0.0,0.0,0.0,0.06097560975609756,0.0,0.05894308943089431,0.0,0.06504065040650407
O2,0.0,0.041343669250646,0.0,0.021963824289405683,0.04263565891472868,0.0,0.04263565891472868,0.03359173126614987,0.0,0.0,0.040051679586563305,0.0,0.04263565891472868,0.0,0.040051679586563305,0.0,0.0,0.041343669250646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04263565891472868,0.04263565891472868,0.03229974160206718,0.037467700258397935,0.0,0.0,0.03875968992248062,0.0,0.04263565891472868,0.041343669250646,0.0,0.04263565891472868,0.04263565891472868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04263565891472868,0.0,0.0,0.0,0.04263565891472868,0.04263565891472868,0.0,0.04263565891472868,0.04263565891472868,0.0,0.0,0.03488372093023256,0.0,0.04263565891472868,0.0
P4,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.06865671641791045,0.008955223880597015,0.0,0.04477611940298507,0.0,0.056716417910447764,0.0,0.03283582089552239,0.06567164179104477,0.0,0.06567164179104477,0.0,0.0,0.0,0.06865671641791045,0.0,0.06865671641791045,0.0,0.0,0.0,0.0,0.0,0.0,0.06865671641791045,0.0,0.06865671641791045,0.0,0.0,0.011940298507462687,0.0,0.0,0.056716417910447764,0.014925373134328358,0.0,0.0,0.0,0.0,0.03880597014925373,0.0,0.0,0.0,0.0,0.03283582089552239,0.0,0.0,0.0,0.0,0.0,0.0,0.0626865671641791,0.0,0.06865671641791045,0.0,0.06567164179104477
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
