,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P7,O1,Oz,O2,P4,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,AF8,AF4,F2,FCz
Cz,0.009915014164305949,0.039660056657223795,0.039660056657223795,0.0,0.0339943342776204,0.0,0.039660056657223795,0.018413597733711047,0.039660056657223795,0.0,0.039660056657223795,0.039660056657223795,0.0,0.0,0.0,0.0,0.0,0.0,0.039660056657223795,0.0,0.03824362606232295,0.0,0.039660056657223795,0.0,0.032577903682719546,0.0,0.039660056657223795,0.0,0.0,0.0,0.0,0.0,0.039660056657223795,0.039660056657223795,0.039660056657223795,0.0,0.039660056657223795,0.0,0.0,0.0056657223796034,0.0,0.0,0.0,0.039660056657223795,0.0,0.0226628895184136,0.025495750708215296,0.039660056657223795,0.0,0.039660056657223795,0.0,0.039660056657223795,0.03824362606232295,0.024079320113314446,0.036827195467422094,0.039660056657223795,0.0,0.0,0.0
C4,0.0,0.0,0.0,0.0,0.0,0.05943536404160475,0.0,0.0,0.0,0.06092124814264487,0.0,0.0,0.05646359583952452,0.06092124814264487,0.0,0.0,0.0475482912332838,0.0,0.0,0.05943536404160475,0.0,0.05943536404160475,0.0,0.04011887072808321,0.0,0.0,0.0,0.0475482912332838,0.0475482912332838,0.0,0.05200594353640416,0.041604754829123326,0.0,0.0,0.0,0.05794947994056464,0.0,0.05349182763744428,0.06092124814264487,0.0,0.0,0.022288261515601784,0.0549777117384844,0.0,0.01188707280832095,0.0,0.0,0.0,0.0,0.0,0.05349182763744428,0.0,0.0,0.0,0.0,0.0,0.0,0.05200594353640416,0.0
T8,0.009205983889528193,0.04257767548906789,0.04257767548906789,0.0,0.0333716915995397,0.0,0.039125431530494824,0.014959723820483314,0.04142692750287687,0.0,0.04257767548906789,0.04142692750287687,0.0,0.0,0.0,0.0,0.0,0.0,0.0379746835443038,0.0,0.03222094361334868,0.0,0.04142692750287687,0.0,0.03567318757192175,0.0,0.03567318757192175,0.0,0.0,0.0,0.0,0.0,0.04257767548906789,0.04027617951668585,0.04142692750287687,0.0,0.04257767548906789,0.0,0.0,0.01380897583429229,0.0,0.0,0.0,0.03452243958573072,0.0,0.018411967779056387,0.028768699654775604,0.04257767548906789,0.0,0.0379746835443038,0.0,0.04257767548906789,0.04027617951668585,0.019562715765247412,0.031070195627157654,0.0333716915995397,0.0,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.0,0.05860113421550094,0.0,0.0,0.0,0.05671077504725898,0.0,0.0,0.05103969754253308,0.054820415879017016,0.0,0.0,0.045368620037807186,0.0,0.0,0.052930056710775046,0.0,0.054820415879017016,0.0,0.05671077504725898,0.0,0.0,0.0,0.05103969754253308,0.05671077504725898,0.0,0.05103969754253308,0.05103969754253308,0.0,0.0,0.0,0.05103969754253308,0.0,0.05103969754253308,0.054820415879017016,0.0,0.0,0.02835538752362949,0.045368620037807186,0.0,0.015122873345935728,0.0,0.0,0.0,0.0,0.0,0.054820415879017016,0.0,0.0,0.0,0.0,0.0,0.0,0.05860113421550094,0.0
FC6,0.0013717421124828531,0.0411522633744856,0.0438957475994513,0.0,0.037037037037037035,0.0,0.037037037037037035,0.01783264746227709,0.039780521262002745,0.0,0.04526748971193416,0.039780521262002745,0.0,0.0,0.0,0.0,0.0,0.0,0.03566529492455418,0.0,0.02880658436213992,0.0,0.039780521262002745,0.0,0.0438957475994513,0.0,0.03292181069958848,0.0,0.0,0.0,0.0,0.0,0.04252400548696845,0.038408779149519894,0.039780521262002745,0.0,0.04252400548696845,0.0,0.0,0.01646090534979424,0.0,0.0,0.0,0.03155006858710562,0.0,0.02194787379972565,0.03429355281207133,0.04252400548696845,0.0,0.03566529492455418,0.0,0.0438957475994513,0.04526748971193416,0.023319615912208505,0.027434842249657063,0.03017832647462277,0.0,0.0,0.0
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0091324200913242,0.03767123287671233,0.03995433789954338,0.0,0.030821917808219176,0.0,0.04337899543378995,0.014840182648401826,0.0410958904109589,0.0,0.04223744292237443,0.04337899543378995,0.0,0.0,0.0,0.0,0.0,0.0,0.04337899543378995,0.0,0.0319634703196347,0.0,0.03767123287671233,0.0,0.02968036529680365,0.0,0.04223744292237443,0.0,0.0,0.0,0.0,0.0,0.04337899543378995,0.04337899543378995,0.04223744292237443,0.0,0.04337899543378995,0.0,0.0,0.007990867579908675,0.0,0.0,0.0,0.0365296803652968,0.0,0.0182648401826484,0.023972602739726026,0.04223744292237443,0.0,0.03881278538812785,0.0,0.04223744292237443,0.03424657534246575,0.019406392694063926,0.0365296803652968,0.03995433789954338,0.0,0.0,0.0
Fp2,0.0,0.0,0.0,0.0,0.0,0.05517241379310345,0.0,0.0,0.0,0.05517241379310345,0.0,0.0,0.05517241379310345,0.05517241379310345,0.0,0.0,0.05172413793103448,0.0,0.0,0.05517241379310345,0.0,0.05517241379310345,0.0,0.04310344827586207,0.0,0.0,0.0,0.05344827586206897,0.05172413793103448,0.0,0.05517241379310345,0.04655172413793104,0.0,0.0,0.0,0.05517241379310345,0.0,0.05517241379310345,0.05517241379310345,0.0,0.0,0.02586206896551724,0.05172413793103448,0.0,0.013793103448275862,0.0,0.0,0.0,0.0,0.0,0.05517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.05517241379310345,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.056572379367720464,0.0,0.0,0.0,0.056572379367720464,0.0,0.0,0.05324459234608985,0.056572379367720464,0.0,0.0,0.048252911813643926,0.0,0.0,0.05490848585690516,0.0,0.056572379367720464,0.0,0.04658901830282862,0.0,0.0,0.0,0.05324459234608985,0.05490848585690516,0.0,0.05324459234608985,0.04658901830282862,0.0,0.0,0.0,0.05324459234608985,0.0,0.05324459234608985,0.056572379367720464,0.0,0.0,0.024958402662229616,0.048252911813643926,0.0,0.013311148086522463,0.0,0.0,0.0,0.0,0.0,0.056572379367720464,0.0,0.0,0.0,0.0,0.0,0.0,0.056572379367720464,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
