,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,TP9,CP5,CP1,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,PO7,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP1,0.0,0.05069124423963134,0.0,0.03225806451612903,0.0,0.0,0.0,0.05069124423963134,0.0,0.0,0.04608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05069124423963134,0.05069124423963134,0.05069124423963134,0.05069124423963134,0.0,0.0,0.05069124423963134,0.0,0.05069124423963134,0.0,0.027649769585253458,0.0,0.0,0.05069124423963134,0.0,0.0,0.05069124423963134,0.05069124423963134,0.0,0.0,0.0,0.05069124423963134,0.05069124423963134,0.03686635944700461,0.0,0.05069124423963134,0.05069124423963134,0.0,0.0,0.0,0.0,0.0,0.0,0.05069124423963134,0.0,0.04608294930875576,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.006825938566552901,0.0,0.0,0.0,0.05460750853242321,0.0,0.0,0.05460750853242321,0.0,0.0,0.051194539249146756,0.05460750853242321,0.05460750853242321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05460750853242321,0.05460750853242321,0.0,0.0,0.0,0.05460750853242321,0.0,0.05460750853242321,0.05460750853242321,0.0,0.04778156996587031,0.020477815699658702,0.0,0.0,0.05460750853242321,0.05460750853242321,0.0,0.0,0.0,0.0,0.05460750853242321,0.0,0.0,0.05460750853242321,0.0,0.0,0.0,0.05460750853242321,0.05460750853242321,0.0,0.05460750853242321,0.0,0.0,0.0
Oz,0.0,0.0,0.00510204081632653,0.0,0.0,0.0,0.05357142857142857,0.0,0.0,0.05357142857142857,0.0,0.0,0.03826530612244898,0.07653061224489796,0.0663265306122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102040816326531,0.04846938775510204,0.0,0.0,0.0,0.04081632653061224,0.0,0.05357142857142857,0.05102040816326531,0.0,0.03571428571428571,0.02295918367346939,0.0,0.0,0.05612244897959184,0.05612244897959184,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.04846938775510204,0.0,0.0,0.0,0.06887755102040816,0.061224489795918366,0.0,0.04081632653061224,0.0,0.0,0.0
O2,0.0,0.0,0.016901408450704224,0.0,0.0,0.0,0.07605633802816901,0.0,0.0,0.04084507042253521,0.0,0.0,0.022535211267605635,0.03943661971830986,0.10845070422535211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05070422535211268,0.04366197183098591,0.0,0.0,0.0,0.04647887323943662,0.0,0.035211267605633804,0.07605633802816901,0.0,0.028169014084507043,0.01267605633802817,0.0,0.0,0.054929577464788736,0.054929577464788736,0.0,0.0,0.0,0.0,0.04647887323943662,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.10985915492957747,0.04929577464788732,0.0,0.04507042253521127,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.054409005628517824,0.0,0.01876172607879925,0.0,0.0,0.0,0.0600375234521576,0.0,0.0,0.020637898686679174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06191369606003752,0.06378986866791744,0.04690431519699812,0.06378986866791744,0.0,0.0,0.06191369606003752,0.0,0.05065666041275797,0.0,0.0225140712945591,0.0,0.0,0.039399624765478425,0.0,0.0,0.03189493433395872,0.04127579737335835,0.0,0.0,0.0,0.05628517823639775,0.06378986866791744,0.04878048780487805,0.0,0.0600375234521576,0.06378986866791744,0.0,0.0,0.0,0.0,0.0,0.0,0.0300187617260788,0.0,0.039399624765478425,0.0,0.0
CP2,0.0,0.057971014492753624,0.0,0.01610305958132045,0.0,0.0,0.0,0.05636070853462158,0.0,0.0,0.017713365539452495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05475040257648953,0.0966183574879227,0.0499194847020934,0.06280193236714976,0.0,0.0,0.05636070853462158,0.0,0.043478260869565216,0.0,0.01932367149758454,0.0,0.0,0.033816425120772944,0.0,0.0,0.037037037037037035,0.03542673107890499,0.0,0.0,0.0,0.05636070853462158,0.06602254428341385,0.04186795491143317,0.0,0.05958132045088567,0.06763285024154589,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.033816425120772944,0.0,0.0
