,Fz,F3,F7,FT9,FC5,FC1,C3,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
P7,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.2558139534883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09302325581395349,0.09302325581395349,0.0,0.0,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.026957637997432605,0.0038510911424903724,0.01668806161745828,0.0,0.01797175866495507,0.01668806161745828,0.03080872913992298,0.01797175866495507,0.026957637997432605,0.0012836970474967907,0.029525032092426188,0.0025673940949935813,0.03080872913992298,0.029525032092426188,0.01668806161745828,0.0,0.03080872913992298,0.02053915275994865,0.0038510911424903724,0.0025673940949935813,0.012836970474967908,0.0,0.008985879332477536,0.010269576379974325,0.0038510911424903724,0.026957637997432605,0.019255455712451863,0.005134788189987163,0.029525032092426188,0.03080872913992298,0.01797175866495507,0.029525032092426188,0.010269576379974325,0.03209242618741977,0.005134788189987163,0.028241335044929396,0.0025673940949935813,0.029525032092426188,0.03080872913992298,0.03080872913992298,0.03080872913992298,0.03080872913992298,0.03080872913992298,0.0,0.0,0.0038510911424903724,0.03080872913992298,0.01540436456996149,0.0,0.012836970474967908,0.02053915275994865,0.025673940949935817,0.03209242618741977,0.005134788189987163,0.03209242618741977,0.0,0.014120667522464698,0.024390243902439025
Oz,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.013605442176870748,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,0.02040816326530612
O2,0.0,0.026376146788990827,0.0034403669724770644,0.014908256880733946,0.0,0.016055045871559634,0.014908256880733946,0.034403669724770644,0.016055045871559634,0.026376146788990827,0.0,0.027522935779816515,0.0022935779816513763,0.03555045871559633,0.028669724770642203,0.013761467889908258,0.0,0.02981651376146789,0.01834862385321101,0.0034403669724770644,0.0022935779816513763,0.011467889908256881,0.0,0.008027522935779817,0.009174311926605505,0.0034403669724770644,0.026376146788990827,0.017201834862385322,0.0045871559633027525,0.028669724770642203,0.03096330275229358,0.016055045871559634,0.028669724770642203,0.009174311926605505,0.0389908256880734,0.0045871559633027525,0.027522935779816515,0.0022935779816513763,0.028669724770642203,0.034403669724770644,0.034403669724770644,0.02981651376146789,0.03555045871559633,0.02981651376146789,0.0,0.0,0.0034403669724770644,0.03784403669724771,0.013761467889908258,0.0,0.011467889908256881,0.01834862385321101,0.022935779816513763,0.0389908256880734,0.0045871559633027525,0.03784403669724771,0.0,0.01261467889908257,0.02408256880733945
P4,0.0,0.0275,0.00375,0.01625,0.0,0.0175,0.01625,0.03125,0.0175,0.0275,0.0,0.03,0.0025,0.03125,0.03,0.015,0.0,0.03125,0.02,0.00375,0.0025,0.0125,0.0,0.00875,0.01,0.00375,0.0275,0.01875,0.005,0.03,0.03125,0.0175,0.03,0.01,0.0325,0.005,0.02875,0.0025,0.03,0.03125,0.03125,0.03125,0.03125,0.03125,0.0,0.0,0.00375,0.03125,0.015,0.0,0.0125,0.02,0.025,0.0325,0.005,0.0325,0.0,0.01375,0.025
P8,0.0,0.023706896551724137,0.00646551724137931,0.023706896551724137,0.0,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.004310344827586207,0.02586206896551724,0.004310344827586207,0.023706896551724137,0.023706896551724137,0.02586206896551724,0.0,0.023706896551724137,0.023706896551724137,0.00646551724137931,0.004310344827586207,0.021551724137931036,0.0,0.015086206896551725,0.017241379310344827,0.00646551724137931,0.023706896551724137,0.023706896551724137,0.008620689655172414,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.017241379310344827,0.02586206896551724,0.008620689655172414,0.023706896551724137,0.004310344827586207,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.023706896551724137,0.0,0.0,0.00646551724137931,0.023706896551724137,0.021551724137931036,0.0,0.021551724137931036,0.023706896551724137,0.023706896551724137,0.02586206896551724,0.008620689655172414,0.02586206896551724,0.0,0.023706896551724137,0.023706896551724137
TP10,0.0,0.0,0.0,0.0,0.11320754716981132,0.0,0.0,0.0,0.0,0.0,0.11320754716981132,0.0,0.0,0.0,0.0,0.0,0.1509433962264151,0.0,0.0,0.0,0.0,0.0,0.16981132075471697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1509433962264151,0.1509433962264151,0.0,0.0,0.0,0.1509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CP6,0.0,0.02784503631961259,0.0036319612590799033,0.015738498789346248,0.0,0.01694915254237288,0.015738498789346248,0.031476997578692496,0.01694915254237288,0.02784503631961259,0.0,0.029055690072639227,0.002421307506053269,0.031476997578692496,0.03026634382566586,0.014527845036319613,0.0,0.031476997578692496,0.01937046004842615,0.0036319612590799033,0.002421307506053269,0.012106537530266344,0.0,0.00847457627118644,0.009685230024213076,0.0036319612590799033,0.02784503631961259,0.018159806295399514,0.004842615012106538,0.03026634382566586,0.031476997578692496,0.01694915254237288,0.03026634382566586,0.009685230024213076,0.03389830508474576,0.004842615012106538,0.029055690072639227,0.002421307506053269,0.03026634382566586,0.031476997578692496,0.031476997578692496,0.031476997578692496,0.031476997578692496,0.031476997578692496,0.0,0.0,0.0036319612590799033,0.03268765133171913,0.014527845036319613,0.0,0.012106537530266344,0.01937046004842615,0.024213075060532687,0.03389830508474576,0.004842615012106538,0.03389830508474576,0.0,0.013317191283292978,0.025423728813559324
CP2,0.0,0.02508361204013378,0.005016722408026756,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.026755852842809364,0.021739130434782608,0.02508361204013378,0.0,0.026755852842809364,0.0033444816053511705,0.026755852842809364,0.026755852842809364,0.020066889632107024,0.0,0.026755852842809364,0.023411371237458192,0.005016722408026756,0.0033444816053511705,0.016722408026755852,0.0,0.011705685618729096,0.013377926421404682,0.005016722408026756,0.02508361204013378,0.023411371237458192,0.006688963210702341,0.026755852842809364,0.026755852842809364,0.023411371237458192,0.026755852842809364,0.013377926421404682,0.028428093645484948,0.006688963210702341,0.026755852842809364,0.0033444816053511705,0.026755852842809364,0.026755852842809364,0.026755852842809364,0.026755852842809364,0.026755852842809364,0.026755852842809364,0.0,0.0,0.005016722408026756,0.026755852842809364,0.020066889632107024,0.0,0.016722408026755852,0.023411371237458192,0.02508361204013378,0.028428093645484948,0.006688963210702341,0.028428093645484948,0.0,0.01839464882943144,0.02508361204013378
Cz,0.0,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.015789473684210527,0.010526315789473684,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.0,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.021052631578947368
