,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Cz,0.0,0.03386363636363637,0.042045454545454546,0.0,0.0,0.0,0.023636363636363636,0.0,0.0,0.0,0.0,0.0,0.009318181818181817,0.0,0.0,0.011590909090909091,0.015909090909090907,0.0,0.0,0.0,0.0,0.5945454545454545,0.0,0.0325,0.017045454545454544,0.0,0.0022727272727272726,0.0,0.04454545454545455,0.0,0.0,0.0,0.028863636363636362,0.001590909090909091,0.0125,0.0,0.0,0.0,0.0,0.0,0.029772727272727274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034772727272727275,0.0,0.0,0.0,0.0,0.018636363636363635,0.01977272727272727,0.026818181818181817,0.0
C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10646900269541779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4556831494854072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07279489904357067,0.0,0.0,0.0,0.18809132338998197,0.17696162538562235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.051759834368530024,0.0,0.043478260869565216,0.01069703243616287,0.0,0.0,0.0,0.0,0.002131287297527707,0.03140096618357488,0.0,0.0,0.014492753623188406,0.0,0.0,0.024844720496894408,0.0,0.06095481670929241,0.0,0.37922705314009664,0.03627248000649535,0.017598343685300208,0.0,0.0,0.07889822595704948,0.03450655624568668,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049872122762148335,0.0,0.0,0.0,0.0,0.0,0.08543417366946779,0.0,0.0
FT10,0.0,0.010327357755261106,0.011886204208885425,0.0,0.03702260327357755,0.0,0.007599376461418551,0.05495902439460573,0.022798129384255652,0.0,0.0,0.0,0.006235385814497272,0.03195635229929852,0.0,0.016562743569758377,0.0009742790335151987,0.046367112810707455,0.0,0.0,0.0,0.014224473889321902,0.0,0.03227937330199744,0.30814266276607316,0.048613729473077114,0.027084957131722525,0.0,0.12266564233862735,0.0,0.0,0.02198852772466539,0.02435697583787997,0.0,0.0,0.0,0.0,0.0,0.03936087295401403,0.0,0.002533125487139517,0.06022944550669216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837879968823071,0.0,0.0,0.0,0.0,0.0,0.04345284489477787,0.0,0.0
FC6,0.0,0.012237762237762238,0.0,0.0,0.045454545454545456,0.0,0.0,0.07342657342657342,0.09426493047182702,0.0,0.0,0.0,0.0,0.03187042842215256,0.0,0.0,0.0,0.0,0.0,0.09965034965034965,0.0,0.0,0.0,0.04283216783216783,0.11352584197411783,0.2786552527931838,0.0,0.0008741258741258741,0.06165099268547544,0.0,0.0008741258741258741,0.0,0.0,0.0,0.0,0.0,0.0,0.012237762237762238,0.06478578892371996,0.0,0.0,0.0,0.012237762237762238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01048951048951049,0.0,0.0,0.0,0.04493207941483804,0.0,0.0
FC2,0.0,0.027629233511586453,0.034759358288770054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05614973262032086,0.0,0.0,0.0,0.0,0.0,0.0071301247771836,0.0,0.0,0.12210338680926916,0.0,0.5267379679144386,0.0,0.0,0.0,0.0,0.0,0.049019607843137254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.025821596244131457,0.0,0.22216203202118695,0.0,0.0,0.0,0.0,0.0,0.0003912363067292645,0.0,0.01995305164319249,0.01643192488262911,0.0,0.029342723004694836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2927250110348702,0.0,0.0,0.03482003129890454,0.0,0.0,0.0,0.053208137715179966,0.0,0.0,0.0,0.0,0.0,0.05359937402190924,0.01643192488262911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01643192488262911,0.0,0.05698005698005698,0.09401709401709402,0.0,0.0,0.0,0.06768388106416276,0.0
F8,0.0,0.013294797687861272,0.0,0.0,0.0388728323699422,0.0,0.022976878612716762,0.012832263978001834,0.03236994219653179,0.0,0.0,0.0,0.016040462427745664,0.03511560693641619,0.0,0.0,0.02023121387283237,0.03528872593950504,0.0,0.0,0.0,0.02861271676300578,0.0,0.04541267755625374,0.10580869224289113,0.017341040462427744,0.0,0.0,0.25880125355642325,0.0,0.0,0.021081576535288724,0.031647398843930634,0.0,0.0,0.0,0.0,0.0,0.02846820809248555,0.044912923923006415,0.0,0.07011915673693858,0.0,0.0,0.0,0.0,0.0,0.0,0.05545371219065078,0.0,0.026734104046242775,0.0,0.0,0.0,0.0,0.0,0.038583815028901736,0.0,0.0
Fp2,0.2675362789781285,0.0,0.0,0.0,0.03374054682955206,0.0,0.012798138452588714,0.013379872018615475,0.0,0.012038523274478331,0.0,0.0,0.0,0.030831878999418267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029668411867364748,0.0,0.0,0.0,0.0,0.0,0.39162294327304037,0.0,0.0,0.04216751312168689,0.0,0.0,0.0,0.016452648475120384,0.0,0.0,0.04654895666131621,0.0,0.0,0.012216404886561954,0.0,0.0,0.0,0.02268760907504363,0.004072134962187318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06423813912489716,0.0,0.0
AF7,0.013071895424836602,0.0,0.009832927253741734,0.0,0.0,0.0,0.0,0.0,0.0,0.06403971845148315,0.0,0.0,0.0,0.0,0.03022875816993464,0.004930966469428008,0.0003287310979618672,0.033201840894148585,0.09072978303747535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03676470588235294,0.0,0.0,0.34630854314112236,0.0,0.0,0.011029411764705883,0.0,0.13102593108249216,0.0625,0.026298487836949377,0.0,0.0,0.0,0.02827087442472058,0.0,0.0,0.0003287310979618672,0.020052596975673898,0.0,0.004930966469428008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06968857562748966,0.0,0.0,0.01643655489809336
