,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
Pz,0.016129032258064516,0.015873015873015872,0.004608294930875576,0.0,0.013452497323465065,0.01508169250104734,0.012498254433738304,0.041800493413396644,0.01335940045617465,0.0225759903179258,0.07412838057999348,0.007215007215007215,0.018409905506679702,0.018409905506679702,0.011823302145882791,0.018316808639389285,0.006144393241167435,0.017967695387050227,0.008215798538379183,0.007215007215007215,0.011427640459898525,0.021947586463715498,0.014988595633756924,0.03693618209747242,0.04107899269189592,0.015873015873015872,0.013080109854303402,0.002886002886002886,0.01335940045617465,0.002932551319648094,0.007936507936507936,0.01335940045617465,0.007215007215007215,0.007215007215007215,0.008658008658008658,0.006144393241167435,0.0069124423963133645,0.020574407671181863,0.0267188009123493,0.019201228878648235,0.0,0.01335940045617465,0.014267094912256202,0.029651352231997392,0.020225294418842805,0.025508541637573896,0.013708513708513708,0.013987804310384957,0.012730996601964344,0.0,0.0112879951589629,0.007936507936507936,0.006493506493506494,0.010752688172043012,0.03651724619466555,0.014895498766466508,0.03304938788809757,0.035656100172229206,0.018316808639389285,0.039985104501233534
P3,0.035041159457140134,0.009280742459396751,0.02088167053364269,0.02229867887147867,0.016092976935871764,0.015650658445369694,0.0,0.005027068832173241,0.011452605706173388,0.018744239265168612,0.0034802784222737818,0.1182844399241437,0.008507347254447023,0.03128277659473032,0.020034114144656688,0.02793228024452002,0.012723940289652395,0.01082753286929621,0.007347254447022429,0.015430823506976448,0.002320185614849188,0.015817521109451314,0.04249700706650139,0.013754251025013507,0.020272489379059,0.03369566368962485,0.0034802784222737818,0.04490989416139592,0.006187161639597835,0.0038669760247486465,0.026679485957050077,0.01798938435622795,0.019462013582091132,0.027675364714108634,0.0,0.010273972602739725,0.02651527190668404,0.014694508894044857,0.03406382099609065,0.0027068832173240526,0.029018211867908338,0.024489082414264375,0.014159488923497441,0.008782803080867473,0.005413766434648105,0.0034802784222737818,0.019591795654154615,0.005027068832173241,0.0,0.011987625676720804,0.011452605706173388,0.0038669760247486465,0.012226000911123119,0.029460530358410408,0.0003866976024748647,0.00580046403712297,0.002320185614849188,0.019112396571634407,0.005027068832173241,0.011214230471771076
P7,0.02194362153742785,0.0041841004184100415,0.012539212307101626,0.019322014301857322,0.0020920502092050207,0.005213764337851929,0.004171011470281543,0.034989485211670106,0.0,0.0041841004184100415,0.01254084842561769,0.01307531380753138,0.07778980021902174,0.04593184584709491,0.019336739368501884,0.029246163847452673,0.024517781336032565,0.026132630311386077,0.0041841004184100415,0.014618173568178149,0.03183177647566983,0.019849935209706765,0.02504897448091413,0.02819032203175379,0.029246163847452673,0.016715132132931357,0.018285805908351185,0.018790821156975755,0.02767221783500072,0.0,0.0,0.0255801676257957,0.0,0.029242891610420547,0.004171011470281543,0.0036610878661087866,0.017754612763469617,0.042301844232791305,0.04073280657588754,0.013568876226543514,0.0,0.03392055444784272,0.0020920502092050207,0.027655856649840098,0.008876488322476778,0.0067811658762396325,0.02090250478837352,0.007305814547056949,0.0,0.004177555944345792,0.0,0.015665834791296723,0.014627990279274524,0.0,0.007309086784089074,0.014631262516306648,0.014629626397790585,0.03394509622558366,0.006276150627615063,0.012545756781165877
O1,0.020261505633846058,0.014408906696140738,0.008085221516072579,0.006769825918762089,0.015822165423229253,0.01592098799545608,0.0019342359767891683,0.03142174019833594,0.006894553437106628,0.015302147615977403,0.010689148322127045,0.015499792760431058,0.03243778975161954,0.05666658991127076,0.0149548294495103,0.03352963525835866,0.016069701575020724,0.015450861195542046,0.003298563138988671,0.0026288723097233737,0.01956686930091185,0.011110343557152067,0.01408557459089374,0.028098231555678366,0.032215199103496975,0.02145217371281201,0.0173352061649934,0.022194782168186426,0.030032467532467532,0.007736943907156673,0.0012894906511927789,0.0241549230910933,0.0035460992907801418,0.020757537379877802,0.0,0.007018321513002364,0.01983935095637223,0.034769234902213626,0.03734821620459919,0.010266993644653218,0.016243360658254276,0.034768275459764825,0.004414394706947898,0.027180045132172793,0.006348630683737066,0.008059316569954868,0.03211637653127015,0.009845798409628197,0.0,0.01629325166559209,0.01237488870467594,0.018103719566485522,0.016814228915292745,0.01044065272788677,0.005555171778576034,0.004935371956648552,0.010837861901691689,0.034323094163519696,0.007936507936507936,0.022544019219551136
Oz,0.028375154227608147,0.010906322287093217,0.029883359408928938,0.009992313604919293,0.01788222552937093,0.010315305738629859,0.0,0.0065334358186010764,0.011704035629984573,0.021751316953861642,0.007004977077098358,0.019865151919872513,0.014720445992626148,0.014187577113804074,0.06425590062563258,0.04601842917704693,0.011083945246700574,0.036029295522811144,0.01912240629593893,0.011942986209916722,0.021366997199826286,0.029851105623424787,0.016406274133554295,0.019681169058898138,0.01732028281572822,0.013716035855306792,0.012798847222449361,0.016671118597623578,0.01581207763440743,0.0,0.0,0.008274231678486997,0.0,0.023443504996156803,0.0,0.014775413711583925,0.031775884344285084,0.02187397219451122,0.031184867795821726,0.008926575847275145,0.02113440652126115,0.007831764254810357,0.005764796310530361,0.00591016548463357,0.024441555232109145,0.0034588777863182167,0.016525749423520367,0.02411538314771507,0.01773049645390071,0.009223674096848577,0.011113019081521215,0.0065334358186010764,0.020365767013190435,0.020688759146901,0.019445398429649496,0.012385453633593363,0.021958013748289644,0.0171717336909415,0.024234858437681143,0.014513749198198148
O2,0.020334156066071765,0.010537307765331308,0.013078286184418707,0.001455604075691412,0.01670780330358838,0.022145750268970317,0.0,0.023966837541927726,0.010524650338586166,0.018511486614771217,0.008724131384089614,0.013806088222264413,0.019612682741598633,0.028684893361179672,0.03413549775330675,0.0678944370609455,0.01597209037402696,0.020329409531042338,0.0072558698816530594,0.005094614264919942,0.02067432440984748,0.01668565280678438,0.010530979051958735,0.02394626922346687,0.02686697044490855,0.016351813176381243,0.01998924118726663,0.01416049617112841,0.025778431744826275,0.002898550724637681,0.0,0.01524745269286754,0.0,0.02761534080121511,0.0,0.013416872349851275,0.02107145117397633,0.02869438643123853,0.03486646414783875,0.00944560470856275,0.02070438579836719,0.018878551990380354,0.00617998860831593,0.00980792354914246,0.01486772989051326,0.002173913043478261,0.02654420606290741,0.01705271818239352,0.009420289855072464,0.013081450541104992,0.010162331498006456,0.016722042908676665,0.02506170495538257,0.018873805455350928,0.015226884374406682,0.006176824251629643,0.018870641098664643,0.03012784001012594,0.01669672805518638,0.016358141889753812
P4,0.03514806117188842,0.009615384615384616,0.00904977375565611,0.013251045306145827,0.014544074689272008,0.009089867690016611,0.0,0.02407783950970846,0.0,0.002828054298642534,0.004430379746835443,0.016604616530156366,0.029208431181625524,0.02787530786413884,0.014314966492926285,0.028535425854859957,0.07308265078183171,0.01108310899822441,0.0,0.03679048055444183,0.028306317658514234,0.01707572025889226,0.04361790480554442,0.018516238043416004,0.021977203734463602,0.03165988888252477,0.008053153101552208,0.032885617732974395,0.04757718082364397,0.014113064894896617,0.007352941176470588,0.027431410733719,0.00904977375565611,0.017708631651297324,0.0016968325791855204,0.002828054298642534,0.028428031387822898,0.04421072226358898,0.036494071825419555,0.023499341313935506,0.007554842774500257,0.029532046508963856,0.010746606334841629,0.009157168222693166,0.012119823586688814,0.0023297439715905836,0.024495961968039406,0.0016968325791855204,0.0,0.020603986482616417,0.0,0.004861389541210837,0.005090497737556561,0.013574660633484163,0.0,0.0,0.002828054298642534,0.02577467208889398,0.0,0.007622143307176815
P8,0.03259225650332728,0.0007836990595611285,0.023191305065170763,0.009012539184952978,0.012771201121927074,0.008771929824561403,0.0,0.02029196227245229,0.001644736842105263,0.013157894736842105,0.012298575592586482,0.01293103448275862,0.022173871198372105,0.016687977781444208,0.03400153989990651,0.02616454930429522,0.009323612715173513,0.054764409063410874,0.020840207886487376,0.008228840125391849,0.028749381290216133,0.03987756420832646,0.012695581037232579,0.026867472364296322,0.024050624209426386,0.008228840125391849,0.022959288896221744,0.012145616784908981,0.012458408953418027,0.0,0.0,0.012377632953857999,0.0,0.02107909860859044,0.0,0.024755265907715998,0.015828658637188582,0.026092366496177747,0.030870180938239015,0.015354314469559479,0.004702194357366771,0.011437537810042347,0.003918495297805642,0.011671272617279876,0.027965682230655008,0.01676531650442721,0.010579937304075235,0.024753547269427488,0.01644736842105263,0.003918495297805642,0.003289473684210526,0.010499161304515206,0.010891010834295771,0.015350877192982455,0.03243070450420722,0.023584873233239836,0.034235274707144034,0.02318958642688225,0.02600987185832921,0.01433688060276082
TP10,0.032402989499811255,0.024145087625784357,0.040519128294776476,0.03735173607116993,0.011197663096397274,0.01006355846390388,0.020774366643066488,0.0,0.009737098344693282,0.021710813039611036,0.007912810035853908,0.008763388510223954,0.0029211295034079843,0.0034079844206426485,0.02803992696366167,0.016719132507165113,0.0,0.030757727707958336,0.09489215475019724,0.023492167387363157,0.014426621000053465,0.01980065680859716,0.009250243427458617,0.008319467554076539,0.013107819327411147,0.011197663096397274,0.007789678675754625,0.005355404089581304,0.0,0.0014605647517039922,0.0029211295034079843,0.0,0.0029211295034079843,0.014383687038966215,0.023979022304597822,0.03264358169684735,0.009250243427458617,0.006329113924050633,0.004868549172346641,0.0,0.012578030449089233,0.0,0.030979688186032042,0.0,0.0354845138012433,0.007789678675754625,0.017896171100745754,0.029013636798130994,0.04755705761413548,0.005071877931457957,0.015154068114324227,0.0,0.0,0.031509477064353954,0.026517796531908035,0.0402914972935403,0.022764720273092398,0.0,0.04493808598781324,0.019640262010573097
CP6,0.02175805047867711,0.015211233251844584,0.023044131424168342,0.058233966949937085,0.0073977371627502175,0.0017406440382941688,0.022608970414594802,0.0017406440382941688,0.0017406440382941688,0.0,0.004786771105308964,0.01870222237004762,0.032578869468327484,0.006517714101988436,0.016091256312606366,0.005657093124456049,0.06994451004196393,0.008703220191470844,0.025219936472036054,0.12817847699190102,0.01984001596514277,0.03707876691445899,0.05649332291164291,0.0008703220191470844,0.002175805047867711,0.04807697637934953,0.002175805047867711,0.020442866408341785,0.022025522054625178,0.006527415143603133,0.009573542210617928,0.011304485207297401,0.010008703220191472,0.033320306220307884,0.023044131424168342,0.008268059181897302,0.0195725443891947,0.018276762402088774,0.01478577328388574,0.020571751675508475,0.006952875111561978,0.009563841169003232,0.014360313315926894,0.004777070063694267,0.020887728459530026,0.005221932114882507,0.015211233251844584,0.0,0.010879025239338555,0.006962576153176675,0.0004351610095735422,0.0013054830287206266,0.0017406440382941688,0.0073977371627502175,0.0039164490861618795,0.01695187729013875,0.0,0.002175805047867711,0.011314186248912098,0.005657093124456049
