,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.0,0.0,0.0,0.0,0.0,0.03513281919451585,0.0,0.0,0.02313624678663239,0.0,0.055698371893744644,0.0,0.0,0.028277634961439587,0.0,0.04798628963153385,0.04712939160239932,0.0,0.0,0.05141388174807198,0.021422450728363324,0.0,0.02570694087403599,0.0,0.03598971722365039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02913453299057412,0.017994858611825194,0.05741216795201371,0.0,0.0,0.0,0.056555269922879174,0.0,0.013710368466152529,0.01970865467009426,0.056555269922879174,0.0,0.031705227077977724,0.0,0.056555269922879174,0.0,0.0,0.02570694087403599,0.05741216795201371,0.0,0.0,0.0,0.0,0.0,0.056555269922879174,0.007712082262210797,0.032562125107112254,0.0,0.05741216795201371,0.018851756640959727,0.032562125107112254
CP1,0.03912363067292645,0.048513302034428794,0.048513302034428794,0.048513302034428794,0.02190923317683881,0.0,0.0,0.028169014084507043,0.0,0.028169014084507043,0.0,0.050078247261345854,0.04538341158059468,0.0,0.03286384976525822,0.0,0.004694835680751174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03599374021909233,0.04381846635367762,0.050078247261345854,0.0,0.051643192488262914,0.0,0.046948356807511735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04538341158059468,0.012519561815336464,0.0,0.0,0.051643192488262914,0.0,0.051643192488262914,0.0,0.0,0.048513302034428794,0.0,0.0,0.018779342723004695,0.0,0.051643192488262914,0.04381846635367762,0.051643192488262914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.021337126600284494,0.05903271692745377,0.04836415362731152,0.07183499288762446,0.014935988620199146,0.0,0.0,0.02275960170697013,0.0,0.011379800853485065,0.0,0.022048364153627313,0.08179231863442389,0.0,0.021337126600284494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024893314366998577,0.04267425320056899,0.049786628733997154,0.0,0.04907539118065434,0.0,0.03627311522048364,0.0,0.0,0.0,0.007823613086770981,0.0,0.0,0.0,0.050497866287339974,0.0035561877667140826,0.0,0.0,0.060455192034139404,0.0,0.06685633001422475,0.0,0.0,0.051920341394025606,0.0,0.0,0.008534850640113799,0.0,0.08108108108108109,0.051920341394025606,0.03769559032716927,0.0,0.0,0.0,0.0,0.0,0.0021337126600284497,0.0
P3,0.0,0.0,0.0,0.00145985401459854,0.0,0.043795620437956206,0.0,0.00145985401459854,0.03941605839416058,0.0,0.04671532846715328,0.0,0.00145985401459854,0.04671532846715328,0.0,0.040875912408759124,0.033576642335766425,0.0,0.0,0.03795620437956204,0.020437956204379562,0.0,0.043795620437956206,0.0,0.04525547445255475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033576642335766425,0.014598540145985401,0.04817518248175182,0.00145985401459854,0.0,0.0,0.04671532846715328,0.00145985401459854,0.0072992700729927005,0.017518248175182483,0.04671532846715328,0.0,0.03795620437956204,0.0,0.04817518248175182,0.0,0.0,0.027737226277372264,0.04817518248175182,0.0,0.0,0.00145985401459854,0.00145985401459854,0.0,0.04671532846715328,0.0,0.04671532846715328,0.0,0.04817518248175182,0.033576642335766425,0.03941605839416058
P7,0.0430622009569378,0.04784688995215311,0.04784688995215311,0.04784688995215311,0.03349282296650718,0.0,0.0,0.04146730462519936,0.0,0.012759170653907496,0.0,0.03668261562998405,0.04784688995215311,0.0,0.046251993620414676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04784688995215311,0.04784688995215311,0.04784688995215311,0.0,0.04784688995215311,0.0,0.04784688995215311,0.0,0.0,0.0,0.007974481658692184,0.0,0.0,0.0,0.04784688995215311,0.0,0.0,0.0,0.04784688995215311,0.0,0.04784688995215311,0.0,0.0,0.04784688995215311,0.0,0.0,0.01594896331738437,0.0,0.04784688995215311,0.04784688995215311,0.044657097288676235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.0,0.0,0.0,0.0,0.0,0.03670546105640107,0.0,0.0,0.024171888988361683,0.0,0.051924798567591766,0.0,0.0,0.02685765443151298,0.0,0.051924798567591766,0.048343777976723366,0.0,0.0,0.051029543419874666,0.025067144136078783,0.0,0.025962399283795883,0.0,0.03581020590868397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03312444046553268,0.021486123545210387,0.051029543419874666,0.0,0.0,0.0,0.05371530886302596,0.0,0.017009847806624886,0.023276633840644583,0.05371530886302596,0.0,0.03581020590868397,0.0,0.050134288272157566,0.0,0.0,0.02775290957923008,0.052820053715308866,0.0,0.0,0.0,0.0,0.0,0.05371530886302596,0.010743061772605193,0.03133393017009848,0.0,0.051029543419874666,0.018800358102059087,0.03670546105640107
Oz,0.0,0.0,0.0,0.0,0.0,0.03138622493461203,0.0,0.0,0.020924149956408022,0.0008718395815170009,0.05143853530950305,0.0008718395815170009,0.0,0.021795989537925022,0.0,0.04882301656495205,0.05841325196163906,0.0,0.0,0.05841325196163906,0.025283347863993024,0.0,0.020924149956408022,0.0,0.03051438535309503,0.0,0.0,0.0008718395815170009,0.0,0.0034873583260680036,0.0,0.0,0.03225806451612903,0.023539668700959023,0.05143853530950305,0.0,0.0,0.0,0.05405405405405406,0.0,0.022667829119442023,0.023539668700959023,0.05405405405405406,0.0026155187445510027,0.03312990409764603,0.0017436791630340018,0.05056669572798605,0.0,0.0,0.02702702702702703,0.05318221447253706,0.0,0.0,0.0017436791630340018,0.0,0.0026155187445510027,0.05492589363557106,0.012205754141238012,0.026155187445510025,0.0,0.05143853530950305,0.013949433304272014,0.03312990409764603
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.031862745098039214,0.0,0.0,0.022058823529411766,0.0,0.05065359477124183,0.0,0.0,0.02287581699346405,0.0,0.04820261437908497,0.05310457516339869,0.0,0.0,0.059640522875817,0.02369281045751634,0.0,0.022058823529411766,0.0,0.03104575163398693,0.0,0.0,0.0,0.0,0.0008169934640522876,0.0,0.0,0.03022875816993464,0.022058823529411766,0.05555555555555555,0.0,0.0,0.0,0.05800653594771242,0.0,0.018790849673202614,0.022058823529411766,0.05800653594771242,0.0,0.032679738562091505,0.0,0.05392156862745098,0.0,0.0,0.025326797385620915,0.05718954248366013,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.011437908496732025,0.02696078431372549,0.0,0.05392156862745098,0.015522875816993464,0.03349673202614379
