,Fz,F3,F7,FT9,FC5,FC1,C3,CP5,CP1,Pz,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
P7,0.04128659006638983,0.052120771485246985,-0.04946012791817542,-0.014204552324929497,0.025188065216103804,-0.01110477955348986,0.008386462353699909,0.0024457873420187064,0.012614681693566282,0.017120511394130945,-0.26194907931245415,-0.11246982899778331,0.04758458457873491,0.017120511394130945,-0.07451373136605917,-0.08066338242437261,0.2998252255360411,0.04325294154071246,0.012614681693566282,0.034097452682988326,0.043109112084117655,0.017120511394130945,-0.1599309253127116,0.03277346480888876,0.035421440557087895,0.033427450238309696,-0.05261239695067104,-0.018350808384007166,-0.07670069597972753,-0.05275439600561336,-0.08885520669575465,-0.059949758976727156,-0.019828780041429586,0.010675804675849833,-0.009842552080959636,0.005306892461479629,0.014586007896579194,-0.13056495675410262,0.6737216814525225,0.0024457873420187064,0.0024457873420187064,0.02030235322059604,0.017120511394130945,0.01113671003614386,0.1701984964090496,0.1701984964090496,0.037279294509453414,-0.030164427316658478,-0.038434169544811776,0.2998252255360411,-0.18505644348889277,-0.08648133408203336,-0.15136825755202507,-0.18505644348889277,0.020857468167755876,-0.04860719973109792,-0.08758957777124071,-0.09866468098289971,-0.04643226987503317
O1,0.00202647688146182,0.013455235887685959,0.03363823933159011,-0.00807572939773632,-0.03824574544077178,-0.0654790047399521,-0.05271318460795906,0.013577347663396593,-0.009225708072502175,0.00673739922878527,-0.011430989089808132,-0.1156197224642425,0.03449578698410533,0.038230862524026146,0.0008159207619668679,-0.02800079886321932,-0.028170744629109273,0.021379631800017507,0.03133427386097263,0.037062725151069204,0.05882324805920627,0.0321760214689565,-0.06366562929453823,0.023987598260078964,0.04305125950575646,0.060745922708805924,0.020057723731389816,0.08563469595318454,0.007732163758859316,-0.021140032450824325,0.009010294047407953,-0.00844766664573271,0.03955489262769542,-0.03597435820950452,0.0706875797144443,0.010068873804849648,0.060508837768197696,0.0781459087025718,-0.037852038242016904,0.021155505098866243,0.014706964681997906,-0.007469999614389073,0.0027077929744122567,-0.06116857873913602,0.005459066659573868,0.005244194319876593,0.038253275670303455,-0.02769550049004915,0.007697783652268334,-0.028385616968806548,-0.07829327418121777,-0.04667688088589885,-0.06465736797097348,-0.08377332603483098,0.002007920635205476,0.026770618393005145,0.005363245526177416,-0.04778397932280186,0.007640588557852418
Oz,-0.0002098497072861368,-0.009751080380553367,-0.002310890409267478,-0.011830458963746822,0.02452093470928302,0.03297156714908959,0.042805262298118193,-0.014505927326053032,0.020245821706565123,-0.005612266310746596,0.004101834663962302,0.03862013915346232,-0.06950869217112622,-0.018557131600065252,0.028895406280337797,-0.01654045567479001,-0.0366183660068618,-0.02932244524419674,0.02399502058343178,-0.06319843244861371,-0.05221922438046031,0.03309645540670361,-0.027527933400610192,-0.06519240921919926,-0.051764618688097355,-0.026490097482540637,0.03533473594188137,0.050692765125782316,0.05144574001641119,0.05195648661836704,0.0051347047979813975,0.004483915437330376,-0.011052781457197333,0.0016553818673672124,-0.03563196162092781,0.021019083039978043,-0.04603180520358825,0.0145340329459547,-0.08636488480983849,-0.010064682254510305,-0.014576325025945148,-0.05509762283323262,0.006176165114758822,0.03717121132924666,-0.0036233445148243794,-0.003828624632660833,-0.04044413800315493,0.03703390007421972,0.04359440861234184,-0.0366183660068618,-0.01843322225799294,0.044894721122196175,0.05042077839234601,-0.02971754836690488,0.017281080921759867,0.06380840197113921,0.0573041687946708,0.03753396444145034,0.011917497885717908
O2,-0.017132638140862827,0.01169260965839022,-0.014306218496987816,-0.005272082849070939,0.01730817196142239,0.04351880660163605,0.04456623652767213,-0.005114206874739317,0.006021587968631526,-0.020430502727863682,0.002594534490498815,0.02795152500991694,-0.03473621098721238,-0.10421817845485964,0.03360198351327843,-0.034332612733126405,-0.037902263181486484,0.00020116853757737223,0.03692223064628064,-0.020189661888399144,-0.016476111721213996,0.036235856543325534,-0.04457914729855878,-0.026550573306850785,-0.02505957058182953,-0.007526561210743489,0.013399867550454301,0.04974050335888225,0.011384535824750377,0.05975022341491563,0.0077918452087474286,0.01451367644181189,0.004328367806351713,0.0122377517171046,-0.020800192127190104,0.018217818504038846,-0.03551676702559581,0.012759992322829112,-0.07610404675545991,0.00041769080198193097,-0.005806394340870021,-0.0009140963061940991,0.003397681788248764,0.029422425907885068,-0.004510492368705203,-0.004510492368705203,-0.005839503455876068,0.028712862247132757,-0.01387199041679735,-0.037902263181486484,-0.045878175946347306,0.025803001531627838,0.012557212743242384,-0.052905383780480764,-0.007361491613138486,0.055525053118518686,0.0688885047779136,0.02145213021352329,0.014831973402061438
P4,0.018000876878234266,0.003251928039739108,0.021359745127615782,-0.022548617206534713,0.006323823203390193,-0.006556227628826288,-0.0024065439563895476,0.0018202482908824787,0.010638630746345737,-0.012526825198063021,-0.013905000807573654,-0.01223216095078865,0.01848144966589953,0.033310008518773276,-0.07560893212778597,-0.005008532490106159,-0.053613253747059615,-0.0064081654708962555,0.01469656690988891,0.03297134014757075,0.03296683710981006,0.04077561359686723,-0.04114582479356654,0.007802350200047039,0.025766720101219488,0.05163000762103169,-0.0007785972684865032,0.051749713388428945,0.05027939473889665,-0.0024758875414707536,-0.022744482411549933,-0.023209995612872198,0.015457364549130015,-0.01509513466507375,0.03603064663477173,0.014396793730542121,0.03784511806583148,0.059458288484130935,-0.04766702912113167,0.010217077665913633,0.0036002127712901127,-0.02354946650234512,0.005250825940173469,-0.013065987434877675,-0.02036053928199958,-0.020543473512349485,0.03486734340397175,-0.005420270372661966,0.054588996557571365,-0.05379618797740951,-0.07608410017573743,-0.021261179080998675,-0.01892915869747275,-0.05485387084614224,0.003916988743411506,0.02260646220757021,0.0258341861354654,-0.050300187560064435,-0.023799926734180826
P8,0.012731754472261898,-0.08486021891556962,-0.008548870189983156,-0.025754819829004537,-0.07022545796555837,-0.027359631573278212,-0.02982136942772984,-0.009831114427310907,-0.014321891623202063,-0.01822904518744557,0.16331426873601373,-0.042995020400691655,-0.04904912424559137,-0.06427138141036845,-0.01185154362969104,1.0,0.15152137043483477,-0.07968490303644696,-0.03612667519386187,-0.11410906181285635,-0.08850855497104451,0.001426550653299918,0.11520534785998272,-0.1563425418155995,-0.10162197339308626,-0.08546033940907614,-0.020862575464608766,0.13978665685888958,0.017324548060908947,-0.022671111603310368,0.028172017066443768,-0.02754263138686812,-0.009565924228740972,-0.1362842239307513,-0.018865252182237762,-0.016633364230381382,-0.03880402632735911,-0.027532420880862777,-0.12384595308065652,-0.010754751401184181,-0.01037800133082271,-0.094312699792447,-0.025018043273976352,-0.03448615603988952,0.0,0.0,-0.127321558551187,-0.019479122251382944,-0.007713711123618357,0.15152137043483477,0.1253653545725887,-0.001295684255207654,-0.007322820408168131,0.09990650167231484,-0.04543750212920126,-0.056449056813706974,-0.018415809627829748,0.005762742560060275,0.007927455389361486
TP10,0.03163595514716598,-0.004352493112652107,-0.07398623663773501,-0.06975284188647915,-0.027227443630623484,-0.06220093695732333,-0.05141238333388054,-0.023612050610889928,-0.09228113414274394,-0.09286106831425478,0.24230007117228938,-0.028334542346198338,-0.04810702639723069,-0.047000590924492554,-0.06426158688219775,0.1395839853905998,0.34677868835549247,-0.02715803488769643,-0.011825937779686872,-0.029955909431278377,-0.015900669393379082,-0.007561403337698174,0.24755020796302726,-0.027697770533356533,-0.021063699613368198,0.017221218568616595,-0.020568057715144174,-0.0317884909914912,-0.055509645587405315,-0.06672999337324145,-0.030072648822523317,-0.014619887246034751,-0.05608905024729896,-0.023929412233156578,-0.0727957507996738,-0.037965530168639135,-0.06691368390264264,-0.009542371063737152,-0.02711578768158114,-0.01847035912197737,-0.022542026368622094,-0.06042378525147448,-0.04522619371865339,-0.07075280686424287,0.09777552882720235,0.09784081907617956,-0.021417149343002678,-0.027183629894576494,-0.059662846159645344,0.34952096937168736,0.22414359159844333,-0.08979864556887983,-0.11563009566457146,0.22557336638962477,-0.07651933497521189,0.005939605626159724,-0.05987381881296922,-0.016777749473909156,-0.0013914962830173811
CP6,0.015755963891364397,-0.023684115517878305,0.027196733937908255,-0.009117967683323715,-0.01042565384509625,0.012454853080524068,0.01922635707489624,-0.0008618437856963781,0.032181203816531716,0.017066367315621663,0.00355716375048565,0.023969827046642404,-0.04025406074442327,0.008802963171562466,0.012075575886374217,-0.037919021204659245,-0.02305909677608594,-0.08194580056574337,0.03001733232308258,-0.034184474322544206,-0.03255223319157095,0.03781301303841148,-0.025063719538078216,-0.07379416211244803,-0.03548428137567911,0.0008344907675196014,0.02876357812236149,0.06374558979824921,0.05349253947201133,0.017970705995369856,-0.01341294134490079,-0.02203336059913474,0.017904076009102352,-0.04287410876601455,0.0032091781443901847,0.01864390254289081,0.0074129946360431504,0.05787786463764368,-0.09357122197466083,0.006447080703431409,0.00035159797974405334,-0.09187089490447763,0.02500378872601296,0.02550387105772059,0.010036989543166334,0.009833081076838572,-0.03858105775378283,0.0035289574571053957,0.05075292509605398,-0.02305909677608594,-0.0286796150766019,0.04057164804974846,0.03970059209596654,-0.03103570781351762,0.02400593725085206,0.0560809698509857,0.03782664166306563,-0.007159519383372703,-0.018992399953902086
CP2,-0.009068032582887924,-0.025497397696806368,0.022206159508278953,-0.005501117075391422,-0.016967854475817636,-0.01211326841619014,-0.0028004387507238404,-0.023833329179669526,-0.007692562539307061,-0.025105220297567895,0.0015611090735434912,0.0059189294915804385,-0.005395526117831896,0.025494640669365437,-0.00252180227295216,-0.02423935529274854,-0.031205673940555276,0.002025731561494342,-0.041312620336021726,0.011304292121476739,0.016771262041676303,0.03455920979573219,-0.03786363094220427,0.005717372033177221,0.008164226771035428,0.035572366271657545,0.038602685402958935,0.05174075797861001,0.026449555491307352,0.035260303740919284,0.013691417364825374,-0.015618437259863208,0.018461051012148646,-0.021204779424949728,0.021486117841094634,-0.0021988120176157848,0.01931830428382649,0.05971760219371571,-0.05159349552755508,-0.015673143246676523,-0.022180910132310147,-0.0207360774293969,-0.0015248834941653127,-0.013350916754882942,0.0012990516812431642,0.0012990516812431642,0.02583142033663566,0.0036891103639350572,0.034460068407926245,-0.031205673940555276,-0.047180837390674066,0.005963118981555639,0.002731951349910236,-0.05767469867554154,-0.007813119601491265,0.053903728227965006,0.027073024100582897,-0.024604393947899594,-0.006595611019168477
Cz,-0.010202711917018069,-0.004976876770410662,0.0098519625517592,0.008348846786804726,0.0031605995662947143,0.03636238642715239,0.04124285861609294,-0.0007408822690078965,0.027173625535826956,0.012328722740204174,0.0034353318953343755,0.03727627878387341,-0.0720540537570655,-0.007297207413702878,0.04084987097315749,-0.05017425903339401,-0.026059867673890756,-0.029157724851197796,0.03650547902123488,-0.09518697133334703,-0.05682386044528664,0.030691842899722255,-0.026289484900900943,-0.09406131984507894,-0.07176025337223049,-0.05319935964785558,0.04777308467122429,0.04870242443619851,0.028992753623377412,0.04937263050801955,0.00593404120354657,0.006760844242459203,0.007988797546180617,-0.02661259287065376,-0.02291664801363384,0.027178360788156688,-0.027821219073672486,0.006596848726002597,-0.08003350604753275,0.0044200880020271085,-0.0012461813609821665,-0.06433463855119968,0.023443033300637822,0.04515059773276543,0.006695954307515116,0.006498623533649548,-0.07153607197438237,0.03588800635791516,0.020838498598468848,-0.026059867673890756,-0.016511123657457667,0.05464128203654622,0.05675275878017678,-0.024814863968075414,0.03107994132963212,0.05521044221256863,0.05645732456841295,0.033299175174663485,0.012968228944265905
