,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
Pz,0.0,0.0,0.0024271844660194173,0.0,0.0,0.0,0.03478964401294499,0.0,0.05016181229773463,0.03640776699029126,0.05339805825242718,0.0,0.04288025889967637,0.0,0.0008090614886731392,0.032362459546925564,0.020226537216828478,0.025889967637540454,0.0,0.04449838187702265,0.05339805825242718,0.0,0.0008090614886731392,0.0,0.003236245954692557,0.021844660194174758,0.021844660194174758,0.0,0.0,0.0186084142394822,0.02750809061488673,0.043689320388349516,0.05177993527508091,0.043689320388349516,0.05016181229773463,0.04854368932038835,0.0,0.0,0.0,0.0,0.0,0.0,0.025080906148867314,0.021844660194174758,0.038834951456310676,0.0,0.0008090614886731392,0.0,0.0,0.019417475728155338,0.0,0.0048543689320388345,0.020226537216828478,0.0,0.019417475728155338,0.003236245954692557,0.049352750809061485,0.015372168284789644,0.0040453074433656954,0.04854368932038835
P3,0.037914691943127965,0.04075829383886256,0.03981042654028436,0.043601895734597156,0.03886255924170616,0.03696682464454976,0.0,0.006635071090047393,0.0,0.0018957345971563982,0.0,0.04265402843601896,0.0009478672985781991,0.04075829383886256,0.04265402843601896,0.005687203791469194,0.0,0.0009478672985781991,0.021800947867298578,0.0,0.0,0.03886255924170616,0.04170616113744076,0.0,0.035071090047393366,0.0,0.0,0.025592417061611375,0.0,0.0,0.0,0.0,0.0,0.0,0.0009478672985781991,0.0,0.03981042654028436,0.04075829383886256,0.0,0.03601895734597156,0.03981042654028436,0.04265402843601896,0.0,0.0,0.0,0.04454976303317536,0.034123222748815164,0.0018957345971563982,0.04170616113744076,0.0,0.04075829383886256,0.01042654028436019,0.0,0.027488151658767772,0.0,0.037914691943127965,0.0,0.002843601895734597,0.015165876777251185,0.0
P7,0.0,0.0,0.004359197907585004,0.0,0.0,0.0,0.037489102005231034,0.0,0.04795117698343505,0.04097646033129904,0.04795117698343505,0.0,0.047079337401918046,0.0,0.0026155187445510027,0.03487358326068003,0.01918047079337402,0.02964254577157803,0.0008718395815170009,0.04795117698343505,0.04795117698343505,0.0,0.0026155187445510027,0.0,0.0052310374891020054,0.023539668700959023,0.02005231037489102,0.0,0.0,0.020924149956408022,0.02964254577157803,0.036617262423714034,0.04795117698343505,0.04097646033129904,0.04882301656495205,0.04882301656495205,0.0008718395815170009,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.023539668700959023,0.03487358326068003,0.0,0.0026155187445510027,0.0,0.0,0.020924149956408022,0.0,0.0017436791630340018,0.021795989537925022,0.0,0.017436791630340016,0.0052310374891020054,0.042720139494333044,0.018308631211857017,0.006102877070619006,0.042720139494333044
O1,0.03819784524975514,0.04113614103819784,0.039177277179236046,0.04211557296767875,0.039177277179236046,0.03721841332027424,0.0,0.0068560235063663075,0.0,0.0019588638589618022,0.0,0.04211557296767875,0.0009794319294809011,0.04113614103819784,0.04211557296767875,0.005876591576885406,0.0,0.0009794319294809011,0.022526934378060724,0.0,0.0,0.039177277179236046,0.04113614103819784,0.0,0.034280117531831536,0.0,0.0,0.025465230166503428,0.0,0.0,0.0,0.0,0.0,0.0,0.0009794319294809011,0.0,0.04113614103819784,0.04113614103819784,0.0,0.03623898139079334,0.040156709108716944,0.04211557296767875,0.0,0.0,0.0,0.043095004897159644,0.03525954946131244,0.0019588638589618022,0.04113614103819784,0.0,0.04113614103819784,0.009794319294809012,0.0,0.02840352595494613,0.0,0.03721841332027424,0.0,0.002938295788442703,0.015670910871694418,0.0
Oz,0.03406998158379374,0.03683241252302026,0.0432780847145488,0.03959484346224678,0.034990791896869246,0.03314917127071823,0.0009208103130755065,0.006445672191528545,0.0027624309392265192,0.0055248618784530384,0.0027624309392265192,0.03867403314917127,0.004604051565377533,0.03683241252302026,0.04511970534069982,0.009208103130755065,0.0,0.004604051565377533,0.022099447513812154,0.0027624309392265192,0.0027624309392265192,0.034990791896869246,0.0432780847145488,0.0,0.037753222836095765,0.0,0.0,0.022099447513812154,0.0,0.0027624309392265192,0.001841620626151013,0.0,0.0027624309392265192,0.0,0.004604051565377533,0.003683241252302026,0.03959484346224678,0.03683241252302026,0.0,0.03222836095764273,0.03591160220994475,0.03867403314917127,0.0,0.0,0.0,0.0423572744014733,0.03591160220994475,0.001841620626151013,0.037753222836095765,0.0,0.03683241252302026,0.007366482504604052,0.0,0.026703499079189688,0.0,0.0423572744014733,0.0,0.006445672191528545,0.01841620626151013,0.0
O2,0.002938295788442703,0.002938295788442703,0.009794319294809012,0.0039177277179236044,0.0019588638589618022,0.0009794319294809011,0.03232125367286973,0.0,0.04211557296767875,0.04211557296767875,0.043095004897159644,0.0039177277179236044,0.043095004897159644,0.0039177277179236044,0.007835455435847209,0.050930460333006855,0.014691478942213516,0.030362389813907934,0.005876591576885406,0.040156709108716944,0.043095004897159644,0.002938295788442703,0.007835455435847209,0.0,0.010773751224289911,0.021547502448579822,0.015670910871694418,0.0,0.0,0.023506366307541625,0.02742409402546523,0.02742409402546523,0.043095004897159644,0.03232125367286973,0.04603330068560235,0.043095004897159644,0.005876591576885406,0.002938295788442703,0.0,0.0009794319294809011,0.0019588638589618022,0.0039177277179236044,0.023506366307541625,0.02056807051909892,0.025465230166503428,0.004897159647404506,0.007835455435847209,0.0,0.002938295788442703,0.01665034280117532,0.002938295788442703,0.0,0.02056807051909892,0.0039177277179236044,0.012732615083251714,0.010773751224289911,0.034280117531831536,0.023506366307541625,0.011753183153770812,0.034280117531831536
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.035897435897435895,0.0,0.039316239316239315,0.03076923076923077,0.041025641025641026,0.0,0.03418803418803419,0.0,0.0,0.022222222222222223,0.041025641025641026,0.03076923076923077,0.0,0.035897435897435895,0.041025641025641026,0.0,0.0,0.0,0.0,0.03247863247863248,0.042735042735042736,0.0,0.0,0.015384615384615385,0.03418803418803419,0.042735042735042736,0.039316239316239315,0.041025641025641026,0.037606837606837605,0.037606837606837605,0.0,0.0,0.0,0.0,0.0,0.0,0.035897435897435895,0.03418803418803419,0.042735042735042736,0.0,0.0,0.0,0.0,0.035897435897435895,0.0,0.010256410256410256,0.03076923076923077,0.0,0.041025641025641026,0.0,0.042735042735042736,0.008547008547008548,0.0,0.042735042735042736
P8,0.0,0.0,0.0059382422802850355,0.0,0.0,0.0,0.03800475059382423,0.0,0.040380047505938245,0.040380047505938245,0.040380047505938245,0.0,0.04156769596199525,0.0,0.0035629453681710215,0.0344418052256532,0.023752969121140142,0.040380047505938245,0.0011876484560570072,0.040380047505938245,0.040380047505938245,0.0,0.0035629453681710215,0.0,0.007125890736342043,0.032066508313539195,0.02494061757719715,0.0,0.0,0.028503562945368172,0.039192399049881234,0.029691211401425176,0.040380047505938245,0.0344418052256532,0.04156769596199525,0.04156769596199525,0.0011876484560570072,0.0,0.0,0.0,0.0,0.0,0.0344418052256532,0.030878859857482184,0.029691211401425176,0.0,0.0035629453681710215,0.0,0.0,0.026128266033254157,0.0,0.0,0.029691211401425176,0.0,0.021377672209026127,0.007125890736342043,0.0344418052256532,0.02494061757719715,0.00831353919239905,0.0344418052256532
TP10,0.03425774877650897,0.03425774877650897,0.040783034257748776,0.03588907014681892,0.03262642740619902,0.03099510603588907,0.0,0.011419249592169658,0.0016313213703099511,0.0065252854812398045,0.0016313213703099511,0.03588907014681892,0.004893964110929853,0.03588907014681892,0.040783034257748776,0.013050570962479609,0.0,0.004893964110929853,0.037520391517128875,0.0016313213703099511,0.0016313213703099511,0.03425774877650897,0.040783034257748776,0.0,0.040783034257748776,0.0,0.0,0.022838499184339316,0.0,0.0016313213703099511,0.0,0.0,0.0016313213703099511,0.0,0.004893964110929853,0.0032626427406199023,0.03915171288743882,0.03425774877650897,0.0,0.03099510603588907,0.03262642740619902,0.03588907014681892,0.0,0.0,0.0,0.037520391517128875,0.040783034257748776,0.0032626427406199023,0.03425774877650897,0.0,0.03425774877650897,0.0065252854812398045,0.0,0.03588907014681892,0.0,0.040783034257748776,0.0,0.008156606851549755,0.02936378466557912,0.0
CP6,0.0,0.0,0.002631578947368421,0.0,0.0,0.0,0.037719298245614034,0.0,0.04912280701754386,0.039473684210526314,0.04912280701754386,0.0,0.04473684210526316,0.0,0.0008771929824561404,0.03245614035087719,0.02017543859649123,0.028070175438596492,0.0,0.04736842105263158,0.04912280701754386,0.0,0.0008771929824561404,0.0,0.0035087719298245615,0.02368421052631579,0.021052631578947368,0.0,0.0,0.02017543859649123,0.02982456140350877,0.039473684210526314,0.04912280701754386,0.043859649122807015,0.04912280701754386,0.04912280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.027192982456140352,0.02368421052631579,0.037719298245614034,0.0,0.0008771929824561404,0.0,0.0,0.021052631578947368,0.0,0.002631578947368421,0.021929824561403508,0.0,0.018421052631578946,0.0035087719298245615,0.0456140350877193,0.016666666666666666,0.0043859649122807015,0.0456140350877193
