,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,P1,P5,PO7,POz,PO4,PO8,P2,CPz,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
CP1,0.06188466947960619,0.0,0.0,0.0,0.0,0.052039381153305204,0.005625879043600563,0.0,0.0,0.030942334739803096,0.05907172995780591,0.0379746835443038,0.030942334739803096,0.0,0.0,0.046413502109704644,0.0,0.0,0.0,0.06188466947960619,0.0,0.029535864978902954,0.046413502109704644,0.0,0.030942334739803096,0.0,0.05625879043600562,0.05063291139240506,0.0,0.011251758087201125,0.052039381153305204,0.0,0.0,0.0,0.01969057665260197,0.0,0.0,0.05063291139240506,0.04360056258790436,0.0,0.0,0.0,0.057665260196905765,0.0,0.0,0.04781997187060478,0.0,0.0,0.0,0.0,0.0,0.05907172995780591,0.0,0.057665260196905765,0.0,0.0
Pz,0.050966608084358524,0.0017574692442882249,0.0,0.0,0.0,0.0492091388400703,0.008787346221441126,0.0,0.0,0.03866432337434095,0.050966608084358524,0.04569420035149385,0.03690685413005272,0.0,0.0,0.0492091388400703,0.0,0.0,0.0,0.050966608084358524,0.0,0.03866432337434095,0.0492091388400703,0.0,0.03866432337434095,0.0,0.050966608084358524,0.050966608084358524,0.0,0.014059753954305799,0.050966608084358524,0.0,0.0,0.0,0.02460456942003515,0.0,0.0,0.050966608084358524,0.04745166959578207,0.0,0.0,0.0,0.050966608084358524,0.0,0.0,0.04745166959578207,0.0,0.0,0.0,0.0,0.0,0.050966608084358524,0.0,0.050966608084358524,0.0,0.0
P3,0.04966139954853273,0.0,0.0,0.0,0.0,0.04966139954853273,0.004514672686230248,0.0,0.0,0.040632054176072234,0.04966139954853273,0.04288939051918736,0.045146726862302484,0.0,0.0,0.04966139954853273,0.0,0.0,0.0,0.04966139954853273,0.0,0.040632054176072234,0.04740406320541761,0.0,0.040632054176072234,0.0,0.04966139954853273,0.04966139954853273,0.0,0.013544018058690745,0.04966139954853273,0.0,0.0,0.0,0.029345372460496615,0.0,0.0,0.04966139954853273,0.04966139954853273,0.0,0.0,0.0,0.04966139954853273,0.0,0.0,0.04966139954853273,0.0,0.0,0.0,0.0,0.0,0.04966139954853273,0.0,0.04966139954853273,0.0,0.0
P7,0.0,0.02618657937806874,0.03436988543371522,0.04091653027823241,0.01800327332242226,0.0,0.0,0.0425531914893617,0.027823240589198037,0.0,0.0,0.0,0.0,0.03927986906710311,0.044189852700491,0.0,0.044189852700491,0.03927986906710311,0.0425531914893617,0.0,0.0425531914893617,0.0,0.0,0.04091653027823241,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.022913256955810146,0.0,0.006546644844517185,0.0,0.0425531914893617,0.0,0.0,0.0,0.04091653027823241,0.024549918166939442,0.0425531914893617,0.0,0.0425531914893617,0.016366612111292964,0.0,0.044189852700491,0.0,0.0425531914893617,0.016366612111292964,0.0425531914893617,0.0,0.0425531914893617,0.0,0.0032733224222585926,0.044189852700491
O1,0.0,0.021410579345088162,0.02644836272040302,0.04030226700251889,0.013853904282115869,0.0,0.0012594458438287153,0.036523929471032744,0.021410579345088162,0.0,0.0,0.0012594458438287153,0.0,0.0327455919395466,0.061712846347607056,0.0,0.05163727959697733,0.03400503778337532,0.042821158690176324,0.0,0.03904282115869018,0.0,0.0,0.04534005037783375,0.0012594458438287153,0.05037783375314862,0.0012594458438287153,0.0,0.0,0.0,0.0,0.017632241813602016,0.0,0.005037783375314861,0.0,0.0491183879093199,0.0,0.0,0.0,0.03904282115869018,0.018891687657430732,0.03526448362720403,0.0,0.04659949622166247,0.012594458438287154,0.0,0.05415617128463476,0.0,0.042821158690176324,0.012594458438287154,0.03526448362720403,0.0,0.042821158690176324,0.0012594458438287153,0.0025188916876574307,0.061712846347607056
Oz,0.05388272583201268,0.0,0.0,0.0,0.0,0.05388272583201268,0.006339144215530904,0.0,0.0,0.03328050713153724,0.05388272583201268,0.04120443740095087,0.03486529318541997,0.0,0.0,0.0491283676703645,0.0,0.0,0.0,0.05388272583201268,0.0,0.03328050713153724,0.0491283676703645,0.0,0.03328050713153724,0.0,0.05229793977812995,0.05229793977812995,0.0,0.012678288431061807,0.05388272583201268,0.0,0.0,0.0,0.022187004754358162,0.0,0.0,0.05229793977812995,0.04754358161648178,0.0,0.0,0.0,0.05388272583201268,0.0,0.0,0.05071315372424723,0.0,0.0,0.0,0.0,0.0,0.05388272583201268,0.0,0.05229793977812995,0.0,0.0
O2,0.0,0.021879021879021878,0.02702702702702703,0.04118404118404118,0.014157014157014158,0.0,0.001287001287001287,0.03732303732303732,0.021879021879021878,0.0,0.0,0.001287001287001287,0.0,0.03346203346203346,0.05405405405405406,0.0,0.05148005148005148,0.03474903474903475,0.043758043758043756,0.0,0.039897039897039896,0.0,0.0,0.04633204633204633,0.001287001287001287,0.05019305019305019,0.001287001287001287,0.0,0.0,0.0,0.0,0.018018018018018018,0.0,0.005148005148005148,0.0,0.0489060489060489,0.0,0.0,0.0,0.039897039897039896,0.019305019305019305,0.036036036036036036,0.0,0.047619047619047616,0.01287001287001287,0.0,0.05405405405405406,0.0,0.043758043758043756,0.01287001287001287,0.036036036036036036,0.0,0.043758043758043756,0.001287001287001287,0.002574002574002574,0.055341055341055344
P8,0.0,0.025437201907790145,0.033386327503974564,0.04133545310015898,0.017488076311605722,0.0,0.0,0.04133545310015898,0.02702702702702703,0.0,0.0,0.0,0.0,0.0397456279809221,0.04451510333863275,0.0,0.04451510333863275,0.0397456279809221,0.04292527821939587,0.0,0.04292527821939587,0.0,0.0,0.04133545310015898,0.0,0.04292527821939587,0.0,0.0,0.0,0.0,0.0,0.022257551669316374,0.0,0.006359300476947536,0.0,0.04292527821939587,0.0,0.0,0.0,0.04133545310015898,0.02384737678855326,0.04292527821939587,0.0,0.04292527821939587,0.01589825119236884,0.0,0.04451510333863275,0.0,0.04292527821939587,0.01589825119236884,0.04292527821939587,0.0,0.04292527821939587,0.0,0.003179650238473768,0.04451510333863275
TP10,0.0,0.02401129943502825,0.029661016949152543,0.04096045197740113,0.015536723163841809,0.0,0.0014124293785310734,0.03954802259887006,0.02401129943502825,0.0,0.0,0.0014124293785310734,0.0,0.03531073446327684,0.0480225988700565,0.0,0.0480225988700565,0.03531073446327684,0.043785310734463276,0.0,0.0423728813559322,0.0,0.0,0.043785310734463276,0.0014124293785310734,0.046610169491525424,0.0014124293785310734,0.0,0.0,0.0,0.0,0.01977401129943503,0.0,0.005649717514124294,0.0,0.046610169491525424,0.0,0.0,0.0,0.04096045197740113,0.0211864406779661,0.038135593220338986,0.0,0.046610169491525424,0.014124293785310734,0.0,0.0480225988700565,0.0,0.04519774011299435,0.014124293785310734,0.038135593220338986,0.0,0.04519774011299435,0.0014124293785310734,0.002824858757062147,0.04943502824858757
CP6,0.06593406593406594,0.0,0.0,0.0,0.0,0.050824175824175824,0.005494505494505495,0.0,0.0,0.03021978021978022,0.06043956043956044,0.03708791208791209,0.03021978021978022,0.0,0.0,0.04532967032967033,0.0,0.0,0.0,0.06593406593406594,0.0,0.028846153846153848,0.04532967032967033,0.0,0.03021978021978022,0.0,0.05631868131868132,0.04945054945054945,0.0,0.01098901098901099,0.0521978021978022,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.04945054945054945,0.042582417582417584,0.0,0.0,0.0,0.057692307692307696,0.0,0.0,0.046703296703296704,0.0,0.0,0.0,0.0,0.0,0.06043956043956044,0.0,0.059065934065934064,0.0,0.0
CP2,0.0,0.025487256371814093,0.031484257871064465,0.04047976011994003,0.01649175412293853,0.0,0.0014992503748125937,0.041979010494752625,0.025487256371814093,0.0,0.0,0.0014992503748125937,0.0,0.035982008995502246,0.046476761619190406,0.0,0.046476761619190406,0.035982008995502246,0.043478260869565216,0.0,0.041979010494752625,0.0,0.0,0.041979010494752625,0.0014992503748125937,0.044977511244377814,0.0014992503748125937,0.0,0.0,0.0,0.0,0.020989505247376312,0.0,0.005997001499250375,0.0,0.044977511244377814,0.0,0.0,0.0,0.04047976011994003,0.022488755622188907,0.038980509745127435,0.0,0.044977511244377814,0.014992503748125937,0.0,0.046476761619190406,0.0,0.044977511244377814,0.014992503748125937,0.038980509745127435,0.0,0.043478260869565216,0.0014992503748125937,0.0029985007496251873,0.047976011994003
