,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.0,0.025889967637540454,0.0,0.0,0.025889967637540454,0.0,0.025889967637540454,0.0,0.0,0.025889967637540454,0.025427646786870088,0.0,0.025889967637540454,0.0,0.025889967637540454,0.025889967637540454,0.025889967637540454,0.025889967637540454,0.0,0.025889967637540454,0.018030513176144243,0.025889967637540454,0.0,0.025889967637540454,0.0,0.0,0.025889967637540454,0.025889967637540454,0.0,0.025889967637540454,0.025889967637540454,0.0,0.0,0.0,0.025889967637540454,0.02034211742949607,0.025889967637540454,0.025889967637540454,0.025889967637540454,0.025889967637540454,0.025889967637540454,0.025889967637540454,0.024503005085529356,0.025889967637540454,0.024965325936199722,0.025889967637540454,0.0,0.0,0.025889967637540454,0.0,0.0,0.025889967637540454,0.0,0.012020342117429497,0.02034211742949607,0.025889967637540454,0.025889967637540454,0.025889967637540454,0.0,0.025889967637540454,0.0,0.025889967637540454,0.025889967637540454
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.024800336275746113,0.0,0.0,0.02648171500630517,0.0,0.02648171500630517,0.0,0.0,0.02648171500630517,0.023539302227826818,0.0,0.026061370323665407,0.0,0.02648171500630517,0.02648171500630517,0.02648171500630517,0.02648171500630517,0.0,0.02648171500630517,0.01639344262295082,0.02648171500630517,0.0,0.023539302227826818,0.0,0.0,0.02648171500630517,0.02648171500630517,0.0,0.02437999159310635,0.02648171500630517,0.0,0.0,0.0,0.02648171500630517,0.018495166036149643,0.02648171500630517,0.02648171500630517,0.02648171500630517,0.02648171500630517,0.02648171500630517,0.02648171500630517,0.02269861286254729,0.02648171500630517,0.02269861286254729,0.02648171500630517,0.0,0.0,0.02648171500630517,0.0,0.0,0.02648171500630517,0.0,0.01092896174863388,0.018495166036149643,0.02648171500630517,0.02648171500630517,0.02648171500630517,0.0,0.02648171500630517,0.0,0.02648171500630517,0.02648171500630517
P3,0.029535864978902954,0.0,0.18565400843881857,0.18565400843881857,0.0,0.18565400843881857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17721518987341772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029535864978902954,0.0,0.18565400843881857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.019772117962466487,0.0,0.0,0.02613941018766756,0.0,0.023123324396782843,0.0,0.0,0.0388739946380697,0.01876675603217158,0.0,0.02111260053619303,0.0,0.03820375335120643,0.022788203753351208,0.024128686327077747,0.025804289544235925,0.0,0.0388739946380697,0.01306970509383378,0.02546916890080429,0.0,0.01876675603217158,0.0,0.0,0.025134048257372654,0.024463806970509382,0.0,0.01943699731903485,0.024463806970509382,0.0,0.0,0.0,0.025134048257372654,0.014745308310991957,0.037868632707774796,0.0388739946380697,0.024798927613941018,0.0388739946380697,0.024463806970509382,0.025134048257372654,0.018096514745308313,0.025134048257372654,0.018096514745308313,0.02546916890080429,0.0,0.0,0.023458445040214475,0.0,0.0,0.023458445040214475,0.0,0.00871313672922252,0.014745308310991957,0.022453083109919572,0.023123324396782843,0.03686327077747989,0.0,0.03820375335120643,0.0,0.022117962466487937,0.0217828418230563
O1,0.0,0.023534104507379337,0.0,0.0,0.027124052652572797,0.0,0.02632628639808536,0.0,0.0,0.027124052652572797,0.022337455125648185,0.0,0.02473075388911049,0.0,0.027124052652572797,0.02672516952532908,0.027124052652572797,0.027124052652572797,0.0,0.027124052652572797,0.015556441962504986,0.027124052652572797,0.0,0.022337455125648185,0.0,0.0,0.027124052652572797,0.027124052652572797,0.0,0.023135221380135622,0.027124052652572797,0.0,0.0,0.0,0.027124052652572797,0.017550857598723574,0.027124052652572797,0.027124052652572797,0.027124052652572797,0.027124052652572797,0.027124052652572797,0.027124052652572797,0.02153968887116075,0.027124052652572797,0.02153968887116075,0.027124052652572797,0.0,0.0,0.027124052652572797,0.0,0.0,0.02632628639808536,0.0,0.010370961308336658,0.017550857598723574,0.02632628639808536,0.02632628639808536,0.027124052652572797,0.0,0.027124052652572797,0.0,0.025927403270841642,0.02512963701635421
Oz,0.0,0.02270977675134719,0.0,0.0,0.02771362586605081,0.0,0.02617397998460354,0.0,0.0,0.02771362586605081,0.02155504234026174,0.0,0.02424942263279446,0.0,0.02771362586605081,0.02617397998460354,0.027328714395688992,0.02771362586605081,0.0,0.02771362586605081,0.015011547344110854,0.02771362586605081,0.0,0.02155504234026174,0.0,0.0,0.027328714395688992,0.027328714395688992,0.0,0.022324865280985373,0.027328714395688992,0.0,0.0,0.0,0.02771362586605081,0.016936104695919937,0.02771362586605081,0.02771362586605081,0.02771362586605081,0.02771362586605081,0.027328714395688992,0.027328714395688992,0.020785219399538105,0.027328714395688992,0.020785219399538105,0.02771362586605081,0.0,0.0,0.026943802925327175,0.0,0.0,0.02617397998460354,0.0,0.010007698229407237,0.016936104695919937,0.025789068514241724,0.02617397998460354,0.02771362586605081,0.0,0.02771362586605081,0.0,0.025404157043879907,0.02501924557351809
O2,0.0,0.022031366691560868,0.0,0.0,0.02875280059746079,0.0,0.025765496639283045,0.0,0.0,0.02875280059746079,0.020911127707244213,0.0,0.02352501867064974,0.0,0.02875280059746079,0.02539208364451083,0.0268857356235997,0.028379387602688575,0.0,0.02875280059746079,0.014563106796116505,0.028005974607916356,0.0,0.020911127707244213,0.0,0.0,0.027632561613144136,0.02725914861837192,0.0,0.021657953696788648,0.02725914861837192,0.0,0.0,0.0,0.028005974607916356,0.016430171769977596,0.02875280059746079,0.02875280059746079,0.027632561613144136,0.02875280059746079,0.02725914861837192,0.027632561613144136,0.020164301717699777,0.027632561613144136,0.020164301717699777,0.028005974607916356,0.0,0.0,0.026138909634055265,0.0,0.0,0.026138909634055265,0.0,0.009708737864077669,0.016430171769977596,0.02501867064973861,0.025765496639283045,0.02875280059746079,0.0,0.02875280059746079,0.0,0.024645257654966394,0.024271844660194174
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.0197060788243153,0.0,0.0,0.026052104208416832,0.0,0.023046092184368736,0.0,0.0,0.0394121576486306,0.018704074816299265,0.0,0.021042084168336674,0.0,0.03807615230460922,0.022712090848363394,0.02404809619238477,0.02571810287241149,0.0,0.03907815631262525,0.013026052104208416,0.025384101536406144,0.0,0.018704074816299265,0.0,0.0,0.025050100200400802,0.024382097528390115,0.0,0.019372077488309953,0.024382097528390115,0.0,0.0,0.0,0.025050100200400802,0.014696058784235137,0.03774215096860387,0.03974615898463594,0.024716098864395457,0.0394121576486306,0.024382097528390115,0.025050100200400802,0.018036072144288578,0.025050100200400802,0.018036072144288578,0.025384101536406144,0.0,0.0,0.02338009352037408,0.0,0.0,0.02338009352037408,0.0,0.008684034736138945,0.014696058784235137,0.02237808951235805,0.023046092184368736,0.03674014696058784,0.0,0.038744154976619906,0.0,0.022044088176352707,0.02171008684034736
