,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP6,0.0,0.009433962264150943,0.0,0.0,0.0,0.0,0.05660377358490566,0.0,0.02830188679245283,0.0,0.0,0.0,0.06132075471698113,0.06132075471698113,0.06132075471698113,0.0,0.06132075471698113,0.0,0.0,0.0,0.05660377358490566,0.0,0.0,0.0,0.06132075471698113,0.0,0.0,0.0,0.06132075471698113,0.0,0.0,0.03773584905660377,0.0,0.04245283018867924,0.0,0.04716981132075472,0.04245283018867924,0.03773584905660377,0.0,0.0,0.0,0.06132075471698113,0.0,0.0,0.04245283018867924,0.0,0.06132075471698113,0.0,0.0,0.06132075471698113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04716981132075472,0.0,0.0
CP2,0.0,0.0,0.0,0.0,0.05788712011577424,0.0,0.0,0.0,0.0,0.0,0.07959479015918958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07959479015918958,0.0,0.0,0.0,0.053545586107091175,0.0,0.0,0.0,0.08104196816208394,0.08104196816208394,0.0,0.08104196816208394,0.0,0.08104196816208394,0.0,0.0,0.0,0.0,0.08104196816208394,0.0,0.0,0.0,0.08104196816208394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08104196816208394,0.0,0.0,0.08104196816208394,0.0,0.0,0.0,0.0,0.08104196816208394
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.008695652173913044,0.0,0.0,0.0,0.0,0.05217391304347826,0.0,0.02608695652173913,0.0,0.0,0.0,0.06956521739130435,0.06956521739130435,0.06521739130434782,0.0,0.05652173913043478,0.0,0.0,0.0,0.05217391304347826,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.06956521739130435,0.0,0.0,0.034782608695652174,0.0,0.0391304347826087,0.0,0.043478260869565216,0.0391304347826087,0.034782608695652174,0.0,0.0,0.0,0.06086956521739131,0.0,0.0,0.0391304347826087,0.0,0.06521739130434782,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0
FT10,0.0,0.0,0.0,0.0,0.07515657620041753,0.0,0.0,0.0,0.0,0.0,0.07724425887265135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07724425887265135,0.0,0.0,0.0,0.07515657620041753,0.0,0.0,0.0,0.07724425887265135,0.07724425887265135,0.0,0.07724425887265135,0.0,0.07724425887265135,0.0,0.0,0.0,0.0,0.07724425887265135,0.0,0.0,0.0,0.07724425887265135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07724425887265135,0.0,0.0,0.07724425887265135,0.0,0.0,0.0,0.0,0.07724425887265135
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0013003901170351106,0.0,0.0305591677503251,0.0,0.0,0.007802340702210663,0.0,0.0039011703511053317,0.0,0.0,0.0,0.07282184655396619,0.07282184655396619,0.07802340702210664,0.0,0.05201560468140442,0.0,0.0,0.0,0.007802340702210663,0.0,0.0,0.0,0.00975292587776333,0.0,0.0,0.0,0.11183355006501951,0.0,0.0,0.005201560468140442,0.0,0.04811443433029909,0.0,0.055266579973992196,0.044213263979193757,0.07737321196358908,0.0,0.0,0.0,0.05786736020806242,0.0,0.0,0.05136540962288687,0.0,0.04096228868660598,0.0,0.0,0.09492847854356307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03966189856957087,0.036410923276983094,0.0
Fp2,0.0,0.0,0.0,0.0,0.04837209302325581,0.0,0.0,0.0,0.0,0.0,0.0641860465116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052093023255813956,0.0,0.0,0.0,0.03441860465116279,0.0,0.0,0.0,0.13023255813953488,0.061395348837209304,0.0,0.13209302325581396,0.0,0.10511627906976745,0.0,0.0,0.0,0.0,0.1283720930232558,0.0,0.0,0.0,0.0641860465116279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061395348837209304,0.0,0.0,0.059534883720930236,0.0,0.0,0.0,0.0,0.0586046511627907
