,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2
CP2,0.01780821917808219,0.00821917808219178,0.049315068493150684,0.036986301369863014,0.0136986301369863,0.045205479452054796,0.012328767123287671,0.024657534246575342,0.0,0.019178082191780823,0.0,0.02054794520547945,0.031506849315068496,0.0,0.0,0.043835616438356165,0.0,0.036986301369863014,0.0,0.0,0.0,0.04794520547945205,0.049315068493150684,0.04657534246575343,0.0,0.023287671232876714,0.0,0.0,0.0,0.0,0.00410958904109589,0.024657534246575342,0.03424657534246575,0.0027397260273972603,0.03972602739726028,0.0,0.0,0.0,0.050684931506849315,0.0,0.0,0.03424657534246575,0.02054794520547945,0.03287671232876712,0.0,0.0,0.0,0.021917808219178082,0.0,0.005479452054794521,0.0,0.04246575342465753,0.0410958904109589,0.0,0.0,0.0,0.049315068493150684,0.0,0.03424657534246575,0.03424657534246575
Cz,0.019387755102040816,0.012244897959183673,0.05612244897959184,0.030612244897959183,0.0163265306122449,0.05408163265306123,0.015306122448979591,0.018367346938775512,0.0020408163265306124,0.014285714285714285,0.0,0.015306122448979591,0.02959183673469388,0.0,0.0020408163265306124,0.05102040816326531,0.0,0.027551020408163266,0.0,0.004081632653061225,0.0,0.03775510204081633,0.061224489795918366,0.05714285714285714,0.0,0.017346938775510204,0.0010204081632653062,0.0,0.00510204081632653,0.0,0.003061224489795918,0.018367346938775512,0.03163265306122449,0.0020408163265306124,0.02959183673469388,0.0,0.0,0.0,0.04795918367346939,0.0,0.0,0.025510204081632654,0.02142857142857143,0.04183673469387755,0.0,0.0,0.0,0.025510204081632654,0.004081632653061225,0.01020408163265306,0.0010204081632653062,0.04897959183673469,0.04795918367346939,0.0,0.0,0.0,0.04183673469387755,0.0,0.025510204081632654,0.025510204081632654
C4,0.021012416427889206,0.014326647564469915,0.05157593123209169,0.02865329512893983,0.018147086914995225,0.05635148042024833,0.017191977077363897,0.015281757402101241,0.004775549188156638,0.013371537726838587,0.0,0.012416427889207259,0.030563514804202482,0.0,0.004775549188156638,0.05157593123209169,0.0009551098376313276,0.02387774594078319,0.0,0.0066857688634192934,0.0,0.034383954154727794,0.05730659025787966,0.05921680993314231,0.0,0.01623686723973257,0.0038204393505253103,0.0,0.007640878701050621,0.0028653295128939827,0.0009551098376313276,0.017191977077363897,0.029608404966571154,0.0,0.027698185291308502,0.0009551098376313276,0.0,0.0,0.04297994269340974,0.0028653295128939827,0.0,0.02387774594078319,0.022922636103151862,0.04202483285577841,0.0,0.0,0.0,0.029608404966571154,0.0066857688634192934,0.012416427889207259,0.0038204393505253103,0.04871060171919771,0.050620821394460364,0.0009551098376313276,0.0,0.0,0.03724928366762178,0.0,0.021967526265520534,0.02387774594078319
T8,0.003329633740288568,0.008879023307436182,0.0,0.0,0.005549389567147614,0.0011098779134295228,0.006659267480577136,0.0,0.04439511653718091,0.0,0.03218645948945616,0.0,0.0022197558268590455,0.042175360710321866,0.04328523862375139,0.0011098779134295228,0.016648168701442843,0.0,0.0,0.003329633740288568,0.04772475027746948,0.0,0.0,0.0,0.06104328523862375,0.0,0.06215316315205328,0.0,0.03773584905660377,0.04550499445061043,0.011098779134295227,0.0,0.0,0.008879023307436182,0.0,0.06326304106548279,0.0244173140954495,0.026637069922308545,0.0,0.04772475027746948,0.04772475027746948,0.0,0.004439511653718091,0.003329633740288568,0.005549389567147614,0.048834628190899,0.041065482796892344,0.006659267480577136,0.016648168701442843,0.008879023307436182,0.04439511653718091,0.0011098779134295228,0.003329633740288568,0.06437291897891231,0.033296337402885685,0.023307436182019976,0.0,0.0,0.0,0.0
FT10,0.0076726342710997444,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.0,0.03580562659846547,0.0,0.03580562659846547,0.0,0.028132992327365727,0.03324808184143223,0.0,0.0,0.04092071611253197,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.04092071611253197,0.0,0.0,0.0,0.0,0.0,0.03580562659846547,0.03836317135549872,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.01278772378516624,0.03324808184143223,0.0,0.0,0.0,0.015345268542199489,0.0,0.0,0.0,0.04092071611253197,0.03580562659846547,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216
FC6,0.008514664143803218,0.013245033112582781,0.0,0.0,0.010406811731315043,0.006622516556291391,0.011352885525070956,0.0,0.046357615894039736,0.0,0.02554399243140965,0.0,0.007568590350047304,0.033112582781456956,0.04541154210028382,0.006622516556291391,0.01608325449385052,0.0,0.0,0.008514664143803218,0.03878902554399243,0.0,0.002838221381267739,0.005676442762535478,0.050141911069063384,0.0,0.07190160832544938,0.0,0.039735099337748346,0.043519394512771994,0.006622516556291391,0.0,0.001892147587511826,0.004730368968779565,0.0,0.06149479659413434,0.017975402081362345,0.019867549668874173,0.0,0.04730368968779565,0.04068117313150426,0.0,0.00946073793755913,0.008514664143803218,0.004730368968779565,0.03878902554399243,0.033112582781456956,0.011352885525070956,0.019867549668874173,0.013245033112582781,0.04446546830652791,0.006622516556291391,0.00946073793755913,0.06338694418164617,0.02554399243140965,0.01892147587511826,0.0,0.0,0.0,0.0
FC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.014908256880733946,0.020642201834862386,0.0045871559633027525,0.0034403669724770644,0.017201834862385322,0.01261467889908257,0.01834862385321101,0.0,0.0481651376146789,0.0,0.0194954128440367,0.0,0.013761467889908258,0.028669724770642203,0.0481651376146789,0.01261467889908257,0.0194954128440367,0.0,0.0,0.01261467889908257,0.026376146788990827,0.0011467889908256881,0.008027522935779817,0.011467889908256881,0.03555045871559633,0.0,0.047018348623853214,0.0,0.05045871559633028,0.04357798165137615,0.0045871559633027525,0.0,0.006880733944954129,0.0045871559633027525,0.0,0.04357798165137615,0.010321100917431193,0.01261467889908257,0.0011467889908256881,0.045871559633027525,0.03784403669724771,0.0,0.016055045871559634,0.014908256880733946,0.005733944954128441,0.03555045871559633,0.028669724770642203,0.01834862385321101,0.026376146788990827,0.020642201834862386,0.045871559633027525,0.01261467889908257,0.014908256880733946,0.04357798165137615,0.0194954128440367,0.011467889908256881,0.0,0.0,0.0,0.0
F8,0.008908685968819599,0.014476614699331848,0.0,0.0,0.011135857461024499,0.0066815144766146995,0.012249443207126948,0.0,0.052338530066815145,0.0,0.026726057906458798,0.0,0.0077951002227171495,0.035634743875278395,0.051224944320712694,0.0066815144766146995,0.01893095768374165,0.0,0.0,0.008908685968819599,0.0334075723830735,0.0,0.0022271714922048997,0.005567928730512249,0.042316258351893093,0.0,0.052338530066815145,0.0,0.045657015590200446,0.05011135857461024,0.004454342984409799,0.0,0.0011135857461024498,0.004454342984409799,0.0,0.04899777282850779,0.017817371937639197,0.0200445434298441,0.0,0.051224944320712694,0.044543429844097995,0.0,0.01002227171492205,0.008908685968819599,0.005567928730512249,0.042316258351893093,0.035634743875278395,0.012249443207126948,0.022271714922048998,0.014476614699331848,0.052338530066815145,0.0066815144766146995,0.008908685968819599,0.04899777282850779,0.026726057906458798,0.01893095768374165,0.0,0.0,0.0,0.0
AF7,0.0,0.0,0.0035971223021582736,0.0,0.0,0.0,0.0,0.017985611510791366,0.02158273381294964,0.0,0.039568345323741004,0.007194244604316547,0.0,0.0539568345323741,0.017985611510791366,0.0,0.017985611510791366,0.01079136690647482,0.0,0.0,0.05755395683453238,0.0035971223021582736,0.0035971223021582736,0.0,0.046762589928057555,0.0,0.03597122302158273,0.0,0.017985611510791366,0.025179856115107913,0.05755395683453238,0.0,0.0,0.050359712230215826,0.0,0.039568345323741004,0.05755395683453238,0.04316546762589928,0.007194244604316547,0.03237410071942446,0.03597122302158273,0.0,0.0,0.0,0.017985611510791366,0.04316546762589928,0.039568345323741004,0.0,0.017985611510791366,0.0,0.02158273381294964,0.0,0.0,0.04316546762589928,0.046762589928057555,0.03597122302158273,0.01079136690647482,0.0,0.017985611510791366,0.0
