,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
F8,0.05222437137330754,0.05029013539651837,0.0,0.0,0.05029013539651837,0.05222437137330754,0.0,0.0,0.0367504835589942,0.0,0.0,0.0,0.05222437137330754,0.0,0.029013539651837523,0.009671179883945842,0.0,0.0,0.0,0.030947775628626693,0.05222437137330754,0.0,0.0,0.025145067698259187,0.0,0.0,0.0,0.0,0.0038684719535783366,0.05029013539651837,0.0,0.0,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.0,0.0,0.0425531914893617,0.0,0.0,0.048355899419729204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.05222437137330754,0.0,0.0,0.048355899419729204,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13394919168591224,0.13394919168591224,0.0,0.06004618937644342,0.0,0.0,0.0,0.13163972286374134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08545034642032333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13394919168591224,0.0,0.0,0.0,0.0,0.0,0.0,0.12240184757505773,0.0,0.06466512702078522,0.13394919168591224,0.0
AFz,0.0630048465266559,0.0420032310177706,0.0,0.0,0.0420032310177706,0.048465266558966075,0.0,0.0,0.030694668820678513,0.0,0.0,0.0,0.05492730210016155,0.0,0.024232633279483037,0.008077544426494346,0.0,0.0,0.0,0.025848142164781908,0.06623586429725363,0.0,0.0,0.0210016155088853,0.0,0.0,0.0,0.0,0.0032310177705977385,0.0420032310177706,0.0,0.0,0.06623586429725363,0.06785137318255251,0.050080775444264945,0.0,0.0,0.035541195476575124,0.0,0.0,0.04038772213247173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05331179321486268,0.0630048465266559,0.06785137318255251,0.04361873990306947,0.0,0.0,0.04038772213247173,0.0,0.0,0.0
F1,0.06230031948881789,0.04153354632587859,0.0,0.0,0.04153354632587859,0.04792332268370607,0.0,0.0,0.03035143769968051,0.0,0.0,0.0,0.054313099041533544,0.0,0.023961661341853034,0.007987220447284345,0.0,0.0,0.0,0.025559105431309903,0.06549520766773163,0.0,0.0,0.020766773162939296,0.0,0.0,0.0,0.0,0.003194888178913738,0.04153354632587859,0.0,0.0,0.06549520766773163,0.07188498402555911,0.04952076677316294,0.0,0.0,0.03514376996805112,0.0,0.0,0.039936102236421724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052715654952076675,0.06230031948881789,0.07348242811501597,0.04313099041533546,0.0,0.0,0.039936102236421724,0.0,0.0,0.0
F5,0.05673758865248227,0.04609929078014184,0.0,0.0,0.04609929078014184,0.05319148936170213,0.0,0.0,0.03368794326241135,0.0,0.0,0.0,0.05673758865248227,0.0,0.026595744680851064,0.008865248226950355,0.0,0.0,0.0,0.028368794326241134,0.05673758865248227,0.0,0.0,0.02304964539007092,0.0,0.0,0.0,0.0,0.0035460992907801418,0.04609929078014184,0.0,0.0,0.05673758865248227,0.05673758865248227,0.0549645390070922,0.0,0.0,0.03900709219858156,0.0,0.0,0.044326241134751775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05673758865248227,0.05673758865248227,0.05673758865248227,0.047872340425531915,0.0,0.0,0.044326241134751775,0.0,0.0,0.0
FT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1,0.05,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.041304347826086954,0.0,0.0,0.0,0.05,0.0,0.03260869565217391,0.010869565217391304,0.0,0.0,0.0,0.034782608695652174,0.05,0.0,0.0,0.02826086956521739,0.0,0.0,0.0,0.0,0.004347826086956522,0.05,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.04782608695652174,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0
C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270358306188925,0.1270358306188925,0.0,0.035830618892508145,0.0,0.0,0.0,0.1270358306188925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1237785016286645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1270358306188925,0.0,0.0,0.0,0.0,0.0,0.0,0.1270358306188925,0.0,0.0781758957654723,0.1270358306188925,0.0
CP3,0.05138339920948617,0.05138339920948617,0.0,0.0,0.05138339920948617,0.05138339920948617,0.0,0.0,0.037549407114624504,0.0,0.0,0.0,0.05138339920948617,0.0,0.029644268774703556,0.009881422924901186,0.0,0.0,0.0,0.03162055335968379,0.05138339920948617,0.0,0.0,0.025691699604743084,0.0,0.0,0.0,0.0,0.003952569169960474,0.05138339920948617,0.0,0.0,0.05138339920948617,0.05138339920948617,0.05138339920948617,0.0,0.0,0.043478260869565216,0.0,0.0,0.04940711462450593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05138339920948617,0.05138339920948617,0.05138339920948617,0.05138339920948617,0.0,0.0,0.04940711462450593,0.0,0.0,0.0
P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PO7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
