,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
CP5,0.013157894736842105,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.039473684210526314,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.0,0.0,0.0,0.0,0.043243243243243246,0.0,0.03783783783783784,0.0,0.0,0.0,0.0,0.0,0.14594594594594595,0.0,0.11351351351351352,0.0,0.0,0.0,0.0,0.0,0.032432432432432434,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.11891891891891893,0.005405405405405406,0.0,0.0,0.14054054054054055,0.021621621621621623,0.04864864864864865,0.010810810810810811,0.0,0.043243243243243246,0.043243243243243246,0.0,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.0
P3,0.005917159763313609,0.0,0.0,0.0,0.0,0.05917159763313609,0.0,0.0,0.047337278106508875,0.05917159763313609,0.01775147928994083,0.0,0.0,0.05325443786982249,0.0,0.05917159763313609,0.05917159763313609,0.0,0.023668639053254437,0.05917159763313609,0.0,0.0,0.047337278106508875,0.0,0.023668639053254437,0.04142011834319527,0.01775147928994083,0.05917159763313609,0.0,0.05917159763313609,0.029585798816568046,0.0,0.023668639053254437,0.0,0.05917159763313609,0.0,0.05917159763313609,0.0,0.0,0.0,0.05917159763313609,0.0,0.0,0.0,0.029585798816568046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005917159763313609,0.0,0.0,0.04142011834319527
P7,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.11979166666666667,0.0,0.11979166666666667,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052083333333333336,0.0,0.125,0.015625,0.010416666666666666,0.0,0.11458333333333333,0.020833333333333332,0.046875,0.020833333333333332,0.0,0.052083333333333336,0.041666666666666664,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.010416666666666666,0.0
O1,0.005235602094240838,0.0,0.0,0.0,0.0,0.05759162303664921,0.0,0.0,0.041884816753926704,0.06282722513089005,0.015706806282722512,0.0,0.0,0.04712041884816754,0.0,0.05759162303664921,0.05759162303664921,0.0,0.020942408376963352,0.05235602094240838,0.0,0.0,0.041884816753926704,0.0,0.020942408376963352,0.03664921465968586,0.02617801047120419,0.06282722513089005,0.0,0.06282722513089005,0.02617801047120419,0.0,0.031413612565445025,0.0,0.06282722513089005,0.0,0.05759162303664921,0.0,0.0,0.0,0.06282722513089005,0.0,0.0,0.0,0.03664921465968586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015706806282722512,0.0,0.0,0.03664921465968586
Oz,0.005235602094240838,0.0,0.0,0.0,0.0,0.05759162303664921,0.0,0.0,0.041884816753926704,0.06282722513089005,0.015706806282722512,0.0,0.0,0.04712041884816754,0.0,0.05759162303664921,0.05759162303664921,0.0,0.020942408376963352,0.05235602094240838,0.0,0.0,0.041884816753926704,0.0,0.020942408376963352,0.03664921465968586,0.02617801047120419,0.06282722513089005,0.0,0.06282722513089005,0.02617801047120419,0.0,0.031413612565445025,0.0,0.06282722513089005,0.0,0.05759162303664921,0.0,0.0,0.0,0.06282722513089005,0.0,0.0,0.0,0.03664921465968586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015706806282722512,0.0,0.0,0.03664921465968586
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P4,0.010869565217391304,0.0,0.0,0.0,0.0,0.05434782608695652,0.0,0.0,0.05434782608695652,0.05434782608695652,0.03260869565217391,0.0,0.0,0.05434782608695652,0.0,0.05434782608695652,0.05434782608695652,0.0,0.043478260869565216,0.05434782608695652,0.0,0.0,0.05434782608695652,0.0,0.043478260869565216,0.05434782608695652,0.0,0.05434782608695652,0.0,0.05434782608695652,0.05434782608695652,0.0,0.0,0.0,0.05434782608695652,0.0,0.05434782608695652,0.0,0.0,0.0,0.05434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05434782608695652
P8,0.005494505494505495,0.0,0.0,0.0,0.0,0.06043956043956044,0.0,0.0,0.04395604395604396,0.06043956043956044,0.016483516483516484,0.0,0.0,0.04945054945054945,0.0,0.06043956043956044,0.06043956043956044,0.0,0.02197802197802198,0.054945054945054944,0.0,0.0,0.04395604395604396,0.0,0.02197802197802198,0.038461538461538464,0.02197802197802198,0.06043956043956044,0.0,0.06043956043956044,0.027472527472527472,0.0,0.027472527472527472,0.0,0.06043956043956044,0.0,0.06043956043956044,0.0,0.0,0.0,0.06043956043956044,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,0.038461538461538464
