,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FT8,F6,AF8,AF4,F2,FCz
CP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pz,0.036556603773584904,0.0,0.041273584905660375,0.036556603773584904,0.0,0.0,0.0,0.041273584905660375,0.0,0.0,0.0,0.04009433962264151,0.0,0.0,0.0,0.0330188679245283,0.0,0.041273584905660375,0.03419811320754717,0.0,0.041273584905660375,0.0,0.0,0.0,0.041273584905660375,0.0,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.041273584905660375,0.04009433962264151,0.0,0.04009433962264151,0.0,0.04009433962264151,0.030660377358490566,0.0,0.0,0.0,0.04009433962264151,0.0,0.02830188679245283,0.0,0.0,0.025943396226415096,0.0,0.04009433962264151,0.0,0.04009433962264151,0.036556603773584904,0.024764150943396228,0.041273584905660375,0.0,0.041273584905660375,0.041273584905660375,0.02358490566037736
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.013157894736842105,0.0,0.0,0.0,0.05098684210526316,0.05263157894736842,0.0,0.03618421052631579,0.0,0.0,0.049342105263157895,0.0,0.0,0.0,0.05263157894736842,0.0,0.044407894736842105,0.05263157894736842,0.047697368421052634,0.03125,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.047697368421052634,0.0,0.0,0.0,0.03618421052631579,0.02138157894736842,0.0,0.0,0.0,0.044407894736842105,0.0,0.0,0.0,0.0,0.05098684210526316,0.0,0.0,0.0
O1,0.0,0.055232558139534885,0.0,0.0,0.05377906976744186,0.0,0.055232558139534885,0.0,0.05232558139534884,0.01744186046511628,0.0,0.0,0.0,0.046511627906976744,0.055232558139534885,0.0,0.0377906976744186,0.0,0.0,0.04505813953488372,0.0,0.0,0.0,0.05377906976744186,0.0,0.04505813953488372,0.04941860465116279,0.046511627906976744,0.03197674418604651,0.0,0.050872093023255814,0.0,0.0,0.0,0.055232558139534885,0.0,0.05232558139534884,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0377906976744186,0.0188953488372093,0.0,0.0,0.0,0.0436046511627907,0.0,0.0,0.0,0.0,0.04941860465116279,0.0,0.0,0.0
Oz,0.03184713375796178,0.0,0.03694267515923567,0.04076433121019108,0.0,0.0,0.0,0.04076433121019108,0.0,0.0,0.0,0.03821656050955414,0.0,0.0,0.0,0.03949044585987261,0.0,0.03694267515923567,0.04076433121019108,0.0,0.03821656050955414,0.0,0.0,0.0,0.04076433121019108,0.0,0.0,0.0,0.0,0.04076433121019108,0.0,0.0,0.03821656050955414,0.035668789808917196,0.0,0.04076433121019108,0.0,0.04076433121019108,0.035668789808917196,0.0,0.0,0.0,0.035668789808917196,0.0,0.034394904458598725,0.0,0.0,0.03184713375796178,0.0,0.04076433121019108,0.0,0.04076433121019108,0.04076433121019108,0.01910828025477707,0.04076433121019108,0.0,0.04076433121019108,0.04076433121019108,0.017834394904458598
O2,0.0,0.05327868852459016,0.0,0.0,0.05122950819672131,0.0,0.05327868852459016,0.0,0.05327868852459016,0.022540983606557378,0.0,0.0,0.0,0.04918032786885246,0.05327868852459016,0.0,0.05122950819672131,0.0,0.0,0.0430327868852459,0.0,0.0,0.0,0.05327868852459016,0.0,0.05327868852459016,0.0471311475409836,0.040983606557377046,0.020491803278688523,0.0,0.0471311475409836,0.0,0.0,0.0,0.05327868852459016,0.0,0.05327868852459016,0.0,0.0,0.0,0.0,0.040983606557377046,0.0,0.0,0.0,0.05122950819672131,0.02663934426229508,0.0,0.0,0.0,0.036885245901639344,0.0,0.0,0.0,0.0,0.045081967213114756,0.0,0.0,0.0
P8,0.0382830626450116,0.0,0.042923433874709975,0.03480278422273782,0.0,0.0,0.0,0.04176334106728538,0.0,0.002320185614849188,0.0,0.0382830626450116,0.0,0.0,0.0,0.031322505800464036,0.0,0.04408352668213457,0.03248259860788863,0.0,0.04176334106728538,0.0,0.0,0.0,0.04408352668213457,0.0,0.0,0.0,0.0,0.03596287703016241,0.0,0.0,0.03944315545243619,0.04408352668213457,0.0,0.0382830626450116,0.0,0.0382830626450116,0.029002320185614848,0.0,0.0,0.0,0.04060324825986079,0.0,0.02668213457076566,0.0,0.0,0.024361948955916472,0.0,0.0382830626450116,0.0,0.0382830626450116,0.03480278422273782,0.030162412993039442,0.04060324825986079,0.0,0.04060324825986079,0.04524361948955916,0.02320185614849188
TP10,0.031137724550898204,0.0,0.03592814371257485,0.0407185628742515,0.0,0.0,0.0,0.041916167664670656,0.0,0.0,0.0,0.037125748502994015,0.0,0.0,0.0,0.03832335329341317,0.0,0.03592814371257485,0.041916167664670656,0.0,0.037125748502994015,0.0,0.0,0.0,0.0407185628742515,0.0,0.0,0.0,0.0,0.04311377245508982,0.0,0.0,0.037125748502994015,0.03473053892215569,0.0,0.04311377245508982,0.0,0.04311377245508982,0.033532934131736525,0.0,0.0,0.0,0.03473053892215569,0.0,0.03592814371257485,0.0,0.0,0.033532934131736525,0.0,0.041916167664670656,0.0,0.04311377245508982,0.03952095808383234,0.019161676646706587,0.03952095808383234,0.0,0.03952095808383234,0.03952095808383234,0.017964071856287425
CP6,0.0,0.053082191780821915,0.0,0.0,0.053082191780821915,0.0,0.053082191780821915,0.0,0.05136986301369863,0.008561643835616438,0.0,0.0,0.0,0.04794520547945205,0.053082191780821915,0.0,0.032534246575342464,0.0,0.0,0.05136986301369863,0.0,0.0,0.0,0.05136986301369863,0.0,0.0410958904109589,0.053082191780821915,0.053082191780821915,0.03595890410958904,0.0,0.053082191780821915,0.0,0.0,0.0,0.053082191780821915,0.0,0.04965753424657534,0.0,0.0,0.0,0.0,0.053082191780821915,0.0,0.0,0.0,0.032534246575342464,0.017123287671232876,0.0,0.0,0.0,0.04965753424657534,0.0,0.0,0.0,0.0,0.053082191780821915,0.0,0.0,0.0
