,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.0,0.03867403314917127,0.03314917127071823,0.0,0.03591160220994475,0.04419889502762431,0.04143646408839779,0.04143646408839779,0.04143646408839779,0.011049723756906077,0.03867403314917127,0.0,0.03314917127071823,0.022099447513812154,0.022099447513812154,0.0027624309392265192,0.024861878453038673,0.0027624309392265192,0.011049723756906077,0.03867403314917127,0.0,0.0,0.04143646408839779,0.0,0.0,0.008287292817679558,0.04143646408839779,0.0,0.0,0.0,0.04143646408839779,0.0,0.0,0.04143646408839779,0.0,0.0,0.0,0.0,0.0,0.0,0.0027624309392265192,0.0,0.0,0.04419889502762431,0.0,0.0,0.013812154696132596,0.0,0.0,0.0027624309392265192,0.008287292817679558,0.0,0.0,0.0027624309392265192,0.04143646408839779,0.04143646408839779,0.0,0.024861878453038673,0.0,0.04143646408839779,0.04143646408839779,0.03591160220994475,0.04143646408839779
CP1,0.028070175438596492,0.0,0.0,0.03859649122807018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06140350877192982,0.0,0.0,0.0,0.005263157894736842,0.0,0.03684210526315789,0.0,0.0,0.04912280701754386,0.0,0.0,0.03333333333333333,0.043859649122807015,0.0,0.0,0.0,0.0,0.03508771929824561,0.0,0.042105263157894736,0.06315789473684211,0.0,0.008771929824561403,0.05964912280701754,0.02631578947368421,0.056140350877192984,0.04912280701754386,0.043859649122807015,0.0035087719298245615,0.015789473684210527,0.02982456140350877,0.0,0.028070175438596492,0.0,0.0,0.03508771929824561,0.043859649122807015,0.03508771929824561,0.0,0.008771929824561403,0.043859649122807015,0.031578947368421054,0.0,0.0,0.0,0.0,0.043859649122807015,0.0,0.0,0.0,0.0
Pz,0.0,0.03761755485893417,0.034482758620689655,0.0,0.03761755485893417,0.04075235109717868,0.04075235109717868,0.04075235109717868,0.04075235109717868,0.012539184952978056,0.04075235109717868,0.0,0.034482758620689655,0.025078369905956112,0.025078369905956112,0.0,0.02821316614420063,0.0,0.012539184952978056,0.03761755485893417,0.0,0.0,0.04075235109717868,0.0,0.0,0.009404388714733543,0.04075235109717868,0.0,0.0,0.0,0.04075235109717868,0.0,0.0,0.04075235109717868,0.0,0.0,0.0,0.0,0.0,0.0,0.003134796238244514,0.0,0.0,0.04075235109717868,0.0,0.0,0.01567398119122257,0.0,0.0,0.0,0.009404388714733543,0.0,0.0,0.0,0.04075235109717868,0.04075235109717868,0.0,0.02821316614420063,0.0,0.04075235109717868,0.04075235109717868,0.03761755485893417,0.04075235109717868
P3,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.017241379310344827,0.03879310344827586,0.0,0.034482758620689655,0.03017241379310345,0.03017241379310345,0.0,0.03017241379310345,0.0,0.017241379310344827,0.034482758620689655,0.0,0.0,0.03879310344827586,0.0,0.0,0.01293103448275862,0.03879310344827586,0.0,0.0,0.0,0.03879310344827586,0.0,0.0,0.03879310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.03879310344827586,0.0,0.0,0.021551724137931036,0.0,0.0,0.0,0.01293103448275862,0.0,0.0,0.0,0.03879310344827586,0.03879310344827586,0.0,0.03017241379310345,0.0,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.03879310344827586
P7,0.0,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.017241379310344827,0.03879310344827586,0.0,0.034482758620689655,0.03017241379310345,0.03017241379310345,0.0,0.03017241379310345,0.0,0.017241379310344827,0.034482758620689655,0.0,0.0,0.03879310344827586,0.0,0.0,0.01293103448275862,0.03879310344827586,0.0,0.0,0.0,0.03879310344827586,0.0,0.0,0.03879310344827586,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.03879310344827586,0.0,0.0,0.021551724137931036,0.0,0.0,0.0,0.01293103448275862,0.0,0.0,0.0,0.03879310344827586,0.03879310344827586,0.0,0.03017241379310345,0.0,0.03879310344827586,0.03879310344827586,0.03879310344827586,0.03879310344827586
O1,0.036231884057971016,0.0,0.0,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036231884057971016,0.0,0.0,0.0,0.036231884057971016,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.036231884057971016,0.043478260869565216,0.014492753623188406,0.043478260869565216,0.043478260869565216,0.036231884057971016,0.0,0.021739130434782608,0.028985507246376812,0.0,0.007246376811594203,0.0,0.0,0.043478260869565216,0.036231884057971016,0.043478260869565216,0.0,0.043478260869565216,0.036231884057971016,0.043478260869565216,0.0,0.0,0.0,0.0,0.036231884057971016,0.0,0.0,0.0,0.0
Oz,0.0,0.038910505836575876,0.03501945525291829,0.0,0.038910505836575876,0.038910505836575876,0.038910505836575876,0.038910505836575876,0.038910505836575876,0.01556420233463035,0.038910505836575876,0.0,0.03501945525291829,0.027237354085603113,0.027237354085603113,0.0,0.0311284046692607,0.0,0.01556420233463035,0.038910505836575876,0.0,0.0,0.038910505836575876,0.0,0.0,0.011673151750972763,0.038910505836575876,0.0,0.0,0.0,0.038910505836575876,0.0,0.0,0.038910505836575876,0.0,0.0,0.0,0.0,0.0,0.0,0.0038910505836575876,0.0,0.0,0.038910505836575876,0.0,0.0,0.019455252918287938,0.0,0.0,0.0,0.011673151750972763,0.0,0.0,0.0,0.038910505836575876,0.038910505836575876,0.0,0.0311284046692607,0.0,0.038910505836575876,0.038910505836575876,0.03501945525291829,0.038910505836575876
O2,0.03244274809160305,0.0,0.0,0.04007633587786259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04389312977099236,0.0,0.0,0.0,0.009541984732824428,0.0,0.04198473282442748,0.0,0.0,0.04580152671755725,0.0,0.0,0.04007633587786259,0.04580152671755725,0.0,0.0,0.0,0.0,0.04198473282442748,0.0,0.04580152671755725,0.04580152671755725,0.0,0.011450381679389313,0.04580152671755725,0.026717557251908396,0.04580152671755725,0.04580152671755725,0.04389312977099236,0.003816793893129771,0.01717557251908397,0.03244274809160305,0.0,0.026717557251908396,0.0,0.0,0.04198473282442748,0.04389312977099236,0.04198473282442748,0.0,0.013358778625954198,0.04389312977099236,0.03816793893129771,0.0,0.0,0.0,0.0,0.04389312977099236,0.0,0.0,0.0,0.0
P4,0.0,0.03496503496503497,0.03496503496503497,0.0,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.027972027972027972,0.03496503496503497,0.0,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.0,0.027972027972027972,0.0,0.027972027972027972,0.03496503496503497,0.0,0.0,0.03496503496503497,0.0,0.0,0.02097902097902098,0.03496503496503497,0.0,0.0,0.0,0.03496503496503497,0.0,0.0,0.03496503496503497,0.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.03496503496503497,0.0,0.0,0.03496503496503497,0.0,0.0,0.0,0.02097902097902098,0.0,0.0,0.0,0.03496503496503497,0.03496503496503497,0.0,0.027972027972027972,0.0,0.03496503496503497,0.03496503496503497,0.03496503496503497,0.03496503496503497
P8,0.0,0.04401408450704225,0.02112676056338028,0.0,0.02464788732394366,0.0528169014084507,0.0528169014084507,0.0528169014084507,0.0528169014084507,0.007042253521126761,0.02640845070422535,0.0,0.02112676056338028,0.014084507042253521,0.014084507042253521,0.0,0.01584507042253521,0.0,0.007042253521126761,0.04753521126760563,0.0,0.0,0.04753521126760563,0.0,0.0,0.00528169014084507,0.0528169014084507,0.0,0.0,0.0,0.0528169014084507,0.0,0.0,0.0528169014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0017605633802816902,0.0,0.0,0.04753521126760563,0.0,0.0,0.008802816901408451,0.0,0.0,0.0,0.00528169014084507,0.0,0.0,0.0,0.04753521126760563,0.04225352112676056,0.0,0.01584507042253521,0.0,0.04225352112676056,0.04753521126760563,0.022887323943661973,0.0528169014084507
