,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.009820912767186597,0.016753321779318313,0.028885037550548817,0.015020219526285385,0.004043905257076834,0.008665511265164644,0.03581744656268053,0.027151935297515885,0.011554015020219527,0.016175621028307337,0.07683419988445984,0.01733102253032929,0.03004043905257077,0.006932409012131715,0.00924321201617562,0.008087810514153668,0.01386481802426343,0.0317735413056037,0.0034662045060658577,0.0034662045060658577,0.01386481802426343,0.008087810514153668,0.029462738301559793,0.013287117273252455,0.02772963604852686,0.012709416522241479,0.016753321779318313,0.01097631426920855,0.028885037550548817,0.033506643558636626,0.005199306759098787,0.0011554015020219526,0.022530329289428077,0.015020219526285385,0.010398613518197574,0.011554015020219527,0.016753321779318313,0.006354708261120739,0.008665511265164644,0.015020219526285385,0.01733102253032929,0.0,0.010398613518197574,0.008665511265164644,0.027151935297515885,0.00462160600808781,0.020219526285384173,0.0028885037550548816,0.016175621028307337,0.014442518775274409,0.00924321201617562,0.01733102253032929,0.02772963604852686,0.013287117273252455,0.012709416522241479,0.009820912767186597,0.020219526285384173,0.00924321201617562,0.0219526285384171,0.011554015020219527,0.01097631426920855,0.009820912767186597,0.021374927787406125
CP1,0.009138381201044387,0.0026109660574412533,0.028720626631853787,0.022193211488250653,0.015013054830287207,0.018929503916449087,0.00587467362924282,0.00587467362924282,0.007832898172323759,0.013054830287206266,0.01762402088772846,0.0685378590078329,0.04242819843342036,0.006527415143603133,0.01370757180156658,0.018929503916449087,0.037859007832898174,0.015013054830287207,0.00587467362924282,0.010443864229765013,0.022193211488250653,0.010443864229765013,0.0293733681462141,0.005221932114882507,0.01762402088772846,0.020234986945169713,0.026762402088772844,0.010443864229765013,0.034595300261096605,0.006527415143603133,0.007180156657963447,0.014360313315926894,0.009138381201044387,0.020234986945169713,0.030678851174934726,0.01762402088772846,0.01370757180156658,0.0026109660574412533,0.005221932114882507,0.014360313315926894,0.020887728459530026,0.013054830287206266,0.0,0.0039164490861618795,0.024804177545691905,0.0,0.03524804177545692,0.0026109660574412533,0.00587467362924282,0.01762402088772846,0.011096605744125326,0.0,0.013054830287206266,0.010443864229765013,0.022193211488250653,0.024804177545691905,0.010443864229765013,0.01174934725848564,0.02349869451697128,0.009138381201044387,0.018929503916449087,0.02610966057441253,0.0097911227154047
P3,0.006999533364442371,0.01026598226784881,0.032664489034064395,0.014932337844143724,0.01679888007466169,0.009332711152589827,0.013065795613625758,0.00979934671021932,0.0027998133457769483,0.013532431171255249,0.02333177788147457,0.03126458236117592,0.05786280914605693,0.01026598226784881,0.012132524498366775,0.014465702286514233,0.028464769015398975,0.026598226784881007,0.013532431171255249,0.013999066728884742,0.020998600093327113,0.008866075594960336,0.027531497900139992,0.01026598226784881,0.018665422305179653,0.012132524498366775,0.025198320111992533,0.011665888940737284,0.032197853476434904,0.009332711152589827,0.0055996266915538965,0.018198786747550162,0.006532897806812879,0.01679888007466169,0.01959869342043864,0.020998600093327113,0.02053196453569762,0.014465702286514233,0.008866075594960336,0.02379841343910406,0.02379841343910406,0.006066262249183388,0.0,0.008866075594960336,0.027998133457769483,0.004666355576294913,0.028931404573028466,0.0027998133457769483,0.007932804479701353,0.018665422305179653,0.003733084461035931,0.008399440037330844,0.01959869342043864,0.011665888940737284,0.014465702286514233,0.01959869342043864,0.013532431171255249,0.01026598226784881,0.02379841343910406,0.0055996266915538965,0.021931871208586095,0.02053196453569762,0.0027998133457769483
P7,0.021064950263311878,0.02516091281451141,0.017554125219426564,0.0076067875950848445,0.010532475131655939,0.02516091281451141,0.014043300175541252,0.017554125219426564,0.024575775307197192,0.028086600351082503,0.006436512580456407,0.0076067875950848445,0.012287887653598596,0.06787595084844938,0.028671737858396724,0.01930953774136922,0.021650087770626096,0.016383850204798128,0.015213575190169689,0.014628437682855471,0.009362200117027502,0.007021650087770626,0.00994733762434172,0.02047981275599766,0.009362200117027502,0.01930953774136922,0.016383850204798128,0.014043300175541252,0.015213575190169689,0.021650087770626096,0.009362200117027502,0.009362200117027502,0.014043300175541252,0.010532475131655939,0.009362200117027502,0.014043300175541252,0.013458162668227034,0.009362200117027502,0.029256875365710942,0.0052662375658279695,0.004681100058513751,0.018139262726740785,0.014628437682855471,0.00994733762434172,0.015213575190169689,0.028671737858396724,0.003510825043885313,0.013458162668227034,0.023405500292568753,0.02047981275599766,0.00994733762434172,0.011117612638970159,0.010532475131655939,0.025746050321825628,0.014043300175541252,0.01579871269748391,0.011702750146284377,0.008191925102399064,0.007021650087770626,0.016968987712112346,0.02047981275599766,0.016968987712112346,0.011117612638970159
O1,0.012138728323699421,0.028901734104046242,0.010404624277456647,0.020809248554913295,0.006358381502890174,0.025433526011560695,0.005202312138728324,0.019653179190751446,0.03121387283236994,0.013294797687861272,0.008092485549132947,0.012138728323699421,0.013294797687861272,0.028901734104046242,0.06589595375722543,0.005202312138728324,0.031791907514450865,0.008092485549132947,0.032947976878612714,0.017341040462427744,0.006936416184971098,0.009248554913294798,0.004624277456647399,0.019653179190751446,0.005780346820809248,0.015028901734104046,0.02254335260115607,0.016184971098265895,0.009248554913294798,0.013294797687861272,0.010982658959537572,0.006936416184971098,0.012138728323699421,0.017919075144508672,0.017341040462427744,0.01676300578034682,0.006936416184971098,0.01676300578034682,0.02138728323699422,0.005780346820809248,0.010404624277456647,0.023699421965317918,0.007514450867052023,0.01907514450867052,0.0023121387283236996,0.019653179190751446,0.009826589595375723,0.011560693641618497,0.02138728323699422,0.02716763005780347,0.01676300578034682,0.016184971098265895,0.013294797687861272,0.024277456647398842,0.014450867052023121,0.006358381502890174,0.010982658959537572,0.031791907514450865,0.0023121387283236996,0.017341040462427744,0.02138728323699422,0.009826589595375723,0.009826589595375723
Oz,0.0013029315960912053,0.013680781758957655,0.016286644951140065,0.02996742671009772,0.02280130293159609,0.0006514657980456026,0.011726384364820847,0.005863192182410423,0.024104234527687295,0.0071661237785016286,0.009120521172638436,0.020846905537459284,0.021498371335504887,0.02214983713355049,0.005863192182410423,0.07231270358306188,0.02214983713355049,0.016938110749185668,0.0026058631921824105,0.008469055374592834,0.009120521172638436,0.0,0.018241042345276872,0.011726384364820847,0.012377850162866449,0.031270358306188926,0.007817589576547232,0.021498371335504887,0.025407166123778503,0.0071661237785016286,0.0026058631921824105,0.024104234527687295,0.009771986970684038,0.013680781758957655,0.008469055374592834,0.03778501628664495,0.016286644951140065,0.013029315960912053,0.036482084690553744,0.011726384364820847,0.006514657980456026,0.007817589576547232,0.012377850162866449,0.004560260586319218,0.02996742671009772,0.003908794788273616,0.005211726384364821,0.0,0.02214983713355049,0.008469055374592834,0.001954397394136808,0.025407166123778503,0.01498371335504886,0.019543973941368076,0.026710097719869708,0.03322475570032573,0.021498371335504887,0.01498371335504886,0.024104234527687295,0.0,0.03778501628664495,0.018241042345276872,0.006514657980456026
O2,0.011893434823977164,0.011893434823977164,0.017126546146527116,0.010941960038058992,0.01950523311132255,0.018553758325404377,0.003805899143672693,0.011893434823977164,0.01379638439581351,0.01569933396764986,0.010466222645099905,0.029019980970504282,0.027117031398667935,0.015223596574690771,0.025689819219790674,0.014747859181731684,0.06565176022835395,0.023311132254995242,0.009514747859181731,0.014747859181731684,0.01807802093244529,0.009514747859181731,0.018553758325404377,0.011417697431018078,0.01379638439581351,0.023786869647954328,0.021408182683158895,0.007611798287345386,0.024262607040913417,0.01569933396764986,0.011417697431018078,0.01807802093244529,0.012369172216936251,0.020456707897240724,0.020456707897240724,0.024738344433872503,0.021883920076117985,0.01379638439581351,0.007611798287345386,0.014272121788772598,0.011417697431018078,0.008563273073263558,0.004281636536631779,0.011417697431018078,0.02664129400570885,0.007611798287345386,0.01665080875356803,0.003805899143672693,0.01569933396764986,0.014747859181731684,0.007136060894386299,0.009514747859181731,0.006660323501427212,0.028068506184586107,0.011417697431018078,0.01569933396764986,0.016175071360608945,0.013320647002854425,0.01950523311132255,0.01569933396764986,0.01950523311132255,0.012844909609895337,0.003805899143672693
P4,0.003856749311294766,0.007713498622589532,0.02203856749311295,0.0027548209366391185,0.01487603305785124,0.009917355371900827,0.024793388429752067,0.01487603305785124,0.007162534435261708,0.021487603305785124,0.030303030303030304,0.015977961432506887,0.03305785123966942,0.015977961432506887,0.008264462809917356,0.012121212121212121,0.029201101928374655,0.06942148760330578,0.005509641873278237,0.011570247933884297,0.02975206611570248,0.009917355371900827,0.020385674931129475,0.007162534435261708,0.03856749311294766,0.015977961432506887,0.03526170798898071,0.005509641873278237,0.03085399449035813,0.02699724517906336,0.001652892561983471,0.012121212121212121,0.006611570247933884,0.023140495867768594,0.013774104683195593,0.012121212121212121,0.02809917355371901,0.01487603305785124,0.007713498622589532,0.025895316804407712,0.024242424242424242,0.009366391184573003,0.003305785123966942,0.01487603305785124,0.03415977961432507,0.0049586776859504135,0.020385674931129475,0.0011019283746556473,0.021487603305785124,0.007162534435261708,0.0,0.007162534435261708,0.01818181818181818,0.02865013774104683,0.0027548209366391185,0.007713498622589532,0.009917355371900827,0.0022038567493112946,0.01928374655647383,0.007162534435261708,0.01046831955922865,0.009366391184573003,0.008815426997245178
P8,0.005311077389984826,0.03566009104704097,0.012139605462822459,0.017450682852807285,0.0037936267071320183,0.012898330804248861,0.0037936267071320183,0.014415781487101669,0.018209408194233688,0.012898330804248861,0.004552352048558422,0.007587253414264037,0.02276176024279211,0.021244309559939303,0.04552352048558422,0.0037936267071320183,0.015174506828528073,0.007587253414264037,0.07056145675265554,0.019726858877086494,0.006069802731411229,0.009863429438543247,0.007587253414264037,0.032625189681335355,0.005311077389984826,0.006828528072837633,0.0204855842185129,0.03338391502276176,0.006069802731411229,0.002276176024279211,0.005311077389984826,0.006069802731411229,0.0037936267071320183,0.017450682852807285,0.011380880121396054,0.017450682852807285,0.019726858877086494,0.025796661608497723,0.019726858877086494,0.017450682852807285,0.009104704097116844,0.02276176024279211,0.0015174506828528073,0.023520485584218515,0.005311077389984826,0.027314112291350532,0.012139605462822459,0.015933232169954476,0.01896813353566009,0.0409711684370258,0.009863429438543247,0.00834597875569044,0.0204855842185129,0.009104704097116844,0.023520485584218515,0.00834597875569044,0.026555386949924126,0.03338391502276176,0.0030349013657056147,0.0037936267071320183,0.03793626707132018,0.006069802731411229,0.002276176024279211
TP10,0.001854140914709518,0.005562422744128554,0.013597033374536464,0.012978986402966625,0.03646477132262052,0.014215080346106305,0.005562422744128554,0.008034610630407911,0.018541409147095178,0.011742892459826947,0.003708281829419036,0.010506798516687269,0.0173053152039555,0.0173053152039555,0.01792336217552534,0.008034610630407911,0.01792336217552534,0.013597033374536464,0.014215080346106305,0.06242274412855377,0.024103831891223733,0.004944375772558714,0.011124845488257108,0.022867737948084055,0.010506798516687269,0.0030902348578491965,0.016069221260815822,0.015451174289245983,0.014215080346106305,0.006180469715698393,0.00865265760197775,0.0377008652657602,0.0,0.014833127317676144,0.02843016069221261,0.034610630407911,0.024103831891223733,0.016069221260815822,0.024721878862793572,0.01668726823238566,0.0315203955500618,0.02533992583436341,0.009270704573547589,0.011124845488257108,0.015451174289245983,0.012978986402966625,0.015451174289245983,0.016069221260815822,0.009270704573547589,0.022249690976514216,0.005562422744128554,0.005562422744128554,0.009270704573547589,0.022867737948084055,0.009270704573547589,0.004944375772558714,0.010506798516687269,0.021631644004944377,0.024721878862793572,0.0,0.022249690976514216,0.03584672435105068,0.012978986402966625
