,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP5,0.019022609363991545,0.011785050919105873,0.015307756356882085,0.018894510984436046,0.019342855312880294,0.008454493050662908,0.018382117466214053,0.019791199641324538,0.01665278934221482,0.01966310126176904,0.01966310126176904,0.0185742650355473,0.0185742650355473,0.01927880612310254,0.018958560174213795,0.01972715045154679,0.017997822327547555,0.0,0.004739640043553449,0.00371485300710946,0.0025619675911099727,0.019791199641324538,0.017357330429770064,0.01665278934221482,0.01754947799910331,0.018894510984436046,0.01671683853199257,0.017933773137769806,0.016908986101325817,0.019791199641324538,0.017933773137769806,0.016908986101325817,0.019150707743547043,0.019791199641324538,0.01754947799910331,0.019791199641324538,0.015307756356882085,0.018189969896880806,0.017485428809325562,0.019406904502658043,0.014347018510215847,0.011592903349772626,0.01671683853199257,0.01703708448088132,0.018254019086658555,0.017229232050214566,0.019791199641324538,0.017933773137769806,0.01767757637865881,0.0,0.01761352718888106,0.019791199641324538,0.003074361109331967,0.018830461794658297,0.01678088772177032,0.0185742650355473,0.013514379043105105,0.017101133670659067,0.01293793633510536,0.018382117466214053,0.019791199641324538,0.018830461794658297
CP1,0.018965743535897098,0.012075075469221683,0.015684473027956426,0.018703241895261846,0.018900118125738285,0.008662554140963381,0.018506365664785404,0.019031368946055914,0.017062606641291507,0.018965743535897098,0.018965743535897098,0.018900118125738285,0.018243864024150153,0.018900118125738285,0.01876886730542066,0.019031368946055914,0.018309489434308965,0.0,0.0038062737892111827,0.0038062737892111827,0.0026250164063525397,0.019031368946055914,0.017784486153038456,0.017062606641291507,0.017981362383514898,0.018900118125738285,0.01712823205145032,0.018309489434308965,0.017325108281926762,0.019031368946055914,0.01837511484446778,0.017325108281926762,0.018834492715579472,0.019031368946055914,0.017981362383514898,0.019031368946055914,0.015684473027956426,0.01837511484446778,0.017915736973356085,0.018900118125738285,0.014700091875574223,0.011878199238745241,0.01712823205145032,0.017456359102244388,0.01837511484446778,0.01765323533272083,0.019031368946055914,0.018309489434308965,0.018112613203832523,0.0,0.01804698779367371,0.019031368946055914,0.0031500196876230475,0.01876886730542066,0.017193857461609136,0.018571991074944217,0.013846961543509647,0.017521984512403204,0.013256332852080326,0.018309489434308965,0.019031368946055914,0.018703241895261846
Pz,0.018866688503111694,0.012053717654765804,0.015656731084179497,0.01899770717327219,0.01899770717327219,0.00864723223059286,0.018604651162790697,0.01899770717327219,0.017032427120864724,0.01899770717327219,0.01899770717327219,0.0184736324926302,0.018866688503111694,0.01899770717327219,0.01899770717327219,0.01899770717327219,0.0183426138224697,0.0,0.004454634785456928,0.003275466754012447,0.002096298722567966,0.01899770717327219,0.01775302980674746,0.017032427120864724,0.017949557811988207,0.018801179168031444,0.017097936455944974,0.018277104487389454,0.01729446446118572,0.01899770717327219,0.018080576482148707,0.01729446446118572,0.01899770717327219,0.01899770717327219,0.017949557811988207,0.01899770717327219,0.015656731084179497,0.018539141827710447,0.01788404847690796,0.01899770717327219,0.014674091057975762,0.011857189649525058,0.017097936455944974,0.017425483131346217,0.018604651162790697,0.017622011136586964,0.01899770717327219,0.018277104487389454,0.01775302980674746,0.0,0.018015067147068457,0.01899770717327219,0.0026203734032099572,0.018866688503111694,0.01716344579102522,0.018801179168031444,0.013822469701932525,0.017490992466426467,0.013232885686210285,0.018801179168031444,0.01899770717327219,0.01893219783819194
P3,0.019155111254434053,0.011867139632376653,0.015414382457271848,0.018961625282167043,0.019219606578523056,0.008513382779748469,0.01851015801354402,0.019413092550790066,0.01676878426314092,0.019413092550790066,0.019413092550790066,0.01870364398581103,0.018574653337633022,0.01928410190261206,0.019026120606256046,0.019413092550790066,0.018123186069009995,0.0,0.004385682038052241,0.0036762334730732022,0.0025153176394711384,0.019413092550790066,0.01747823282811996,0.01676878426314092,0.01767171880038697,0.019026120606256046,0.016833279587229927,0.01805869074492099,0.017026765559496938,0.019413092550790066,0.01805869074492099,0.017026765559496938,0.019155111254434053,0.019413092550790066,0.01767171880038697,0.019413092550790066,0.015414382457271848,0.01831667204127701,0.017607223476297968,0.01928410190261206,0.014446952595936794,0.011673653660109641,0.016833279587229927,0.017155756207674944,0.018381167365366012,0.017349242179941955,0.019413092550790066,0.01805869074492099,0.017800709448564978,0.0,0.017736214124475975,0.019413092550790066,0.0030312802321831667,0.018961625282167043,0.01689777491131893,0.01870364398581103,0.013608513382779748,0.017220251531763948,0.013028055465978716,0.01851015801354402,0.019413092550790066,0.018961625282167043
P7,0.019122318013871785,0.011927140727296299,0.015492318662085953,0.01899267517987943,0.019187139430867958,0.008556427043495171,0.018603746677902377,0.019187139430867958,0.01685356841900564,0.019187139430867958,0.019187139430867958,0.01873338951189473,0.018538925260906204,0.019187139430867958,0.019057496596875608,0.019187139430867958,0.018214818175925327,0.0,0.004278213521747586,0.00362999935178583,0.0024632138458546703,0.019187139430867958,0.01756660400596357,0.01685356841900564,0.017761068256952096,0.019122318013871785,0.016918389836001815,0.01814999675892915,0.017112854086990342,0.019187139430867958,0.01814999675892915,0.017112854086990342,0.019122318013871785,0.019187139430867958,0.017761068256952096,0.019187139430867958,0.015492318662085953,0.018409282426913854,0.017696246839955923,0.019187139430867958,0.01451999740714332,0.011732676476307772,0.016918389836001815,0.017242496920982692,0.018474103843910027,0.01743696117197122,0.019187139430867958,0.01814999675892915,0.017890711090944447,0.0,0.017825889673948273,0.019187139430867958,0.0029817851818240747,0.019057496596875608,0.016983211252997992,0.018798210928890904,0.013677318986193038,0.01730731833797887,0.013093926233227459,0.018603746677902377,0.019187139430867958,0.01899267517987943
O1,0.019025046441611685,0.011786560758439563,0.01530971750688617,0.01889693165075908,0.019345333418743192,0.00845557619627186,0.018384472487348664,0.019793735186727307,0.01665492281083851,0.0195375056050221,0.0195375056050221,0.01857664467362757,0.01857664467362757,0.019281276023316894,0.018960989046185383,0.019665620395874703,0.01800012811479085,0.0,0.0046121324706937415,0.003843443725578118,0.0026904106079046826,0.019793735186727307,0.017359554160527833,0.01665492281083851,0.01755172634680674,0.01889693165075908,0.016718980206264812,0.01793607071936455,0.01691115239254372,0.019793735186727307,0.01793607071936455,0.01691115239254372,0.01915316123246429,0.019793735186727307,0.01755172634680674,0.019793735186727307,0.01530971750688617,0.018192300301069757,0.017487668951380438,0.019409390814169494,0.01434885657549164,0.011594388572160656,0.016718980206264812,0.017039267183396323,0.01825635769649606,0.01723143936967523,0.019793735186727307,0.01793607071936455,0.017679841137659344,0.0,0.017615783742233042,0.019793735186727307,0.0032028697713150983,0.01883287425533278,0.016783037601691114,0.01857664467362757,0.013516110434949715,0.017103324578822625,0.012939593876112997,0.018384472487348664,0.019729677791301005,0.01883287425533278
Oz,0.0186735778841042,0.012227538543328018,0.015882509303561936,0.0186735778841042,0.0186735778841042,0.008771929824561403,0.0186735778841042,0.0186735778841042,0.017278043593833066,0.0186735778841042,0.0186735778841042,0.0186735778841042,0.018474215842636896,0.0186735778841042,0.0186735778841042,0.0186735778841042,0.01854066985645933,0.0,0.0038543328017012226,0.0034556087187666137,0.002259436469962786,0.0186735778841042,0.01800903774587985,0.017278043593833066,0.018208399787347156,0.0186735778841042,0.017344497607655503,0.01854066985645933,0.017543859649122806,0.0186735778841042,0.018474215842636896,0.017543859649122806,0.0186735778841042,0.0186735778841042,0.018208399787347156,0.0186735778841042,0.015882509303561936,0.018607123870281767,0.01814194577352472,0.0186735778841042,0.014885699096225412,0.012028176501860713,0.017344497607655503,0.017676767676767676,0.018607123870281767,0.017876129718234983,0.0186735778841042,0.01854066985645933,0.01814194577352472,0.0,0.01827485380116959,0.0186735778841042,0.0027910685805422647,0.0186735778841042,0.017410951621477936,0.0186735778841042,0.014021796916533758,0.017743221690590113,0.013423710792131845,0.01854066985645933,0.0186735778841042,0.0186735778841042
O2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.01837341259119157,0.0029721696838692245,0.011078087003512564,0.01891380707916779,0.019994596055120238,0.0,0.017562820859227234,0.02242637125101324,0.013780059443393677,0.02080518778708457,0.021075385031072685,0.016752229127262902,0.019454201567144017,0.019454201567144017,0.01891380707916779,0.02053499054309646,0.016752229127262902,0.0,0.09213726019994596,0.0,0.0,0.022156174007025128,0.015671440151310456,0.01405025668738179,0.015401242907322345,0.01810321534720346,0.0143204539313699,0.01648203188327479,0.01459065117535801,0.022156174007025128,0.015671440151310456,0.015401242907322345,0.019454201567144017,0.024047554714941907,0.015941637395298566,0.021615779519048906,0.010537692515536342,0.017292623615239124,0.01621183463928668,0.019994596055120238,0.008916509051607674,0.0032423669278573357,0.013239664955417455,0.014860848419346123,0.017562820859227234,0.014860848419346123,0.024047554714941907,0.01648203188327479,0.0143204539313699,0.0,0.015671440151310456,0.022966765738989463,0.0,0.01837341259119157,0.01405025668738179,0.01810321534720346,0.006754931099702783,0.01459065117535801,0.0032423669278573357,0.01837341259119157,0.021615779519048906,0.01864360983517968
TP10,0.016379058204153262,0.008189529102076631,0.011406844106463879,0.015501608657502193,0.01608657502193624,0.006142146826557473,0.015209125475285171,0.01754899093302135,0.013161743199766013,0.016379058204153262,0.016379058204153262,0.016379058204153262,0.014039192746417082,0.01608657502193624,0.015794091839719217,0.016964024568587307,0.014624159110851126,0.0,0.0,0.0661011991810471,0.06142146826557473,0.01754899093302135,0.013454226381983035,0.01286926001754899,0.014331675928634104,0.01608657502193624,0.01286926001754899,0.014624159110851126,0.013161743199766013,0.01725650775080433,0.015501608657502193,0.012576776835331968,0.015794091839719217,0.018133957297455396,0.014039192746417082,0.01725650775080433,0.011991810470897923,0.014624159110851126,0.013454226381983035,0.01608657502193624,0.01052939455981281,0.007312079555425563,0.01374670956420006,0.013454226381983035,0.014624159110851126,0.014039192746417082,0.01871892366188944,0.014624159110851126,0.015794091839719217,0.0,0.014331675928634104,0.017841474115238374,0.06376133372331091,0.015794091839719217,0.013161743199766013,0.015209125475285171,0.009944428195378765,0.01374670956420006,0.011114360924246856,0.014331675928634104,0.016964024568587307,0.015501608657502193
