,Fp1,Fz,F3,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,FCz
CP1,-0.09105996891617622,0.07509253437704365,0.03090194392670549,0.11992794762767547,0.1214392939356224,-0.08226412806255218,0.0052081458752954776,0.12647356620049874,0.01912339642776475,-0.23956289900871722,-0.2789187670304981,0.0570409124160258,0.10790171232677202,0.19854704565824474,0.15355319304824255,-0.00010393549441258759,-0.06593379994686367,-0.1232255629982171,0.052847619493204365,-0.19012890023899803,-0.11355451958424878,0.014598035591213265,0.08414906236432375,-0.004901701814943414,0.09790503678716882,-0.10203948508906946,-0.020014178363366227,0.12368294983660166,-0.03643064228593641,-0.03713127627980401,-0.11356200485772955,0.04300330236312312,0.030360702615501747,0.0823552311743397,0.022661383864849997,0.1343280119856748,0.008307824093731951,0.07388906100717098,-0.2224681887776574,0.013574651400654985,0.019131240389616746,-0.09952516756833511,0.10570248061830942,0.05945433415692249,-0.08112702641125097,0.11253647253175171,0.10548814391983997,0.038335362381033224,0.08239304240893729,-0.19050243411859166,0.01162523777380145,0.04505100737044412,-0.2834230466698416,0.01135400484341379,-0.09989780164558032,-0.10397504677439297,0.1349077730687562,-0.03674831406798996,0.09364713214489621
Pz,-0.09185841183134168,-0.1280761213743939,-0.18025187248944122,0.03712595954803372,0.1475563509718446,-0.09553718424910916,-0.12497580127243933,0.16363893555282957,0.009306132867410371,-0.12062491364216063,0.033426887701957675,-0.1407177188226453,0.12355043342773499,0.14499566683089432,0.18917264526528116,0.033737188491993905,0.037773216289527664,-0.10426789032357874,0.079455107062816,-0.03432717139144436,-0.09102201266924789,0.12153526194774404,0.11327783744925587,-0.11853540834245706,0.053097698389772734,-0.11476999335022424,-0.052072119703064225,0.13173588400070854,-0.03847424843409462,-0.04171769159042442,-0.21320535785325728,0.17452533119229785,-0.032484972747480134,0.0711629514425167,0.07912595816763286,0.021840940271195947,-0.08445761358991212,0.04999996443004659,-0.1953618325953739,0.12184122120267342,0.10913282457718465,-0.04708109908845215,0.17691727005659624,-0.03553297262579558,-0.011442925801562193,0.146378128874672,-0.040294446749839515,-0.18007185162714842,-0.009062605688167065,-0.05864267657589967,0.05547729252609823,0.08796793071467501,-0.20761212337755303,0.0917911264322258,-0.1119542177813871,-0.08010290547145897,0.06577559065953596,-0.04783683824694452,0.16105126296114194
P3,-0.20067979230361468,0.03750025738127014,0.11883669081334479,0.09085384560064456,-0.034175043610065126,0.07395540111855638,-0.026637103011337523,0.03389829800283359,-0.10632163437705155,0.038244557574127466,0.16842375030220633,0.2590688029003703,0.03341663225134901,-0.18282408470830167,0.06755920077408659,-0.07937732930152806,0.055979637768873394,0.11004937497220553,-0.10704119488981093,0.0022700191547253535,0.19383675848686668,-0.10647554847900254,-0.015843597893519835,-0.05162926247920324,-0.08077045293865655,-0.1896858544893368,0.05546311394542913,0.21480898695605263,-0.07059475714094963,-0.17490195234626368,0.0027765509107294125,-0.023061147857401362,-0.08548148761411402,-0.11397875032970237,0.1354759825622607,-0.11978541306589409,0.044937529365506323,-0.01685972183448249,-0.06197904068291042,-0.05690364746234232,-0.13186692241903478,0.06179774986219478,0.023143205040135156,-0.03696651895332397,-0.016116897276529474,0.001142118123547171,-0.05659796070685004,-0.04726364488172281,-0.04617543400583987,-0.1251391226881616,0.09412798934492785,0.18439344389663245,0.024381032124349073,0.0642391734616089,0.13305136039565532,0.050528591503573486,-0.012983793465643625,-0.040272607287286,0.04422966390581887
P7,-0.13074817309873674,0.12117955418779983,0.13588037382099716,0.08805571750355846,-0.13976328580060302,0.01770991490405104,0.00850629608668206,0.13607918599064303,0.01600551546943121,-0.07115799917118668,0.15305120263738356,0.15972921199589557,-0.2361871412798988,-0.03310485636771999,0.1089321455487073,-0.002918291523629714,-0.035972957662043004,-0.051934201890975716,-0.004844501440265166,0.016098160941371464,0.005408497885038699,0.06513640380845356,0.09917637868155683,0.003970063621057505,-0.05755794946084648,-0.034239840351772015,-0.135419149635771,-0.031583806907096855,-0.09961267600163562,-0.14962933593697264,-0.04555016482305956,0.06520533380128161,-0.17594550954855087,-0.07319748076712364,0.01779291408310831,0.01877336915881824,0.023547786683359277,0.06394662827580297,0.19710799129741227,-0.03877094258334516,-0.001592961800969968,-0.016397757934424047,0.11254741495191799,0.07424982697525713,0.004079229141040056,0.10352278556484402,0.006538232227830231,0.00815492312713176,-0.08343327324772433,0.061333308350167946,-0.10816291227194134,-0.05436049054050297,-0.023967517748190587,-0.020417919907101456,-0.1012348609909945,0.089276876311304,-0.10421545636671077,0.08043117930675145,0.0004949927211377405
O1,-0.08671037413007823,0.058143576562508015,0.011526727067826585,0.00819451439397866,0.014780988896543036,-0.1422586598262043,-0.02070504586302913,0.07148895489241142,-0.08423089291071298,-0.05509835938203438,0.13845266810488613,0.18962542406323904,4.8602339531656717e-05,0.11530485236294612,-0.1557656268151555,0.01049744024416675,0.17099574872947032,-0.10528410863094603,0.10452995806231621,-0.04531126970833556,-0.13110145983624705,0.003086108283295246,0.08719138482016969,0.08697727778250976,-0.09105643920400892,-0.009328301474386944,-0.06336411345885846,-0.2530512767064058,-0.00093200677014894,-0.028735404664068206,-0.03727656739390608,0.04802394508160638,-0.05984795048334152,0.04732939637619343,0.1658843944993048,0.08493066983424617,0.2314384006305064,-0.08078180659907155,0.025086808968616495,-0.02039436662504236,0.07319476955467268,-0.10460412156983429,-0.059369157146981266,-0.01570398729409704,0.0542603578978037,-0.13356880086746717,0.1650593565869647,0.05077985024717595,0.037016837241622386,0.09847908271471972,-0.06062159831508892,-0.10385996272884625,0.02766889634105759,0.06367952136443528,-0.055203885595745836,-0.05826191609955706,0.006659263437264657,0.08960085736281062,-0.2775091746451996
Oz,-0.0718663470565905,-0.08072961815690309,0.044702017801433784,0.12981394820535977,0.020301199787621304,-0.015338552024771383,-0.004719714987400723,-0.01925346759784554,0.14840771272301523,-0.2438556747122658,0.054132250059445094,0.11075556617268,-0.07699100279542966,0.003983386657764631,0.022559703663636438,-0.19096170733267548,0.0,-0.06779356413653288,-0.0127680582081123,-0.10313310910689552,0.017920111953339934,-0.041341582038251105,0.1498218078217333,-0.10782820963515342,0.07484008110825997,-0.17120094679295453,0.10332200137931942,0.13924605486433295,0.05234725868383799,-0.0618312279701568,-0.07781675685103283,0.03272804203784884,0.017670971732679584,-0.05397919666808029,0.1182902097955997,0.05023434090633479,-0.06545503070744166,0.25297181834567967,-0.07249001783091624,-0.02762109748224265,0.11213069078391955,-0.00786421777624884,0.0308320825945153,-0.15617020754675232,0.014030672580292121,-0.05098878715198087,-0.19409491509834115,-0.024139098033588234,0.06125874492797676,-0.040091261027738655,-0.02310290362113944,0.11309344511674549,0.0035961287332172453,-0.02003183947355119,-0.011848119688829019,-0.028297701092629992,0.05436255743796733,0.04271367412861098,0.147537452599285
O2,0.11890192030461438,0.020425608251708416,0.12710740955060026,0.06326671468698343,-0.0381945405041661,-0.09306431326793467,-0.2138373561215921,0.04750387610137552,-0.125724015862942,0.20552874866760742,-0.10445509215357839,0.1003460048930308,0.07789085117808883,0.006410067852379828,0.3209201399843155,0.0,-0.6501723225508913,-0.1708915676805325,0.059101203595537936,-0.07003687757298309,0.03632124516321448,0.0986939811295348,0.007887121053335885,0.29124407493974996,-0.08991865476051818,-0.10633967566348734,-0.19863375840693764,0.19694303388685194,-0.0013497689109126508,0.13375145978129563,0.17893639098986333,-0.02383490898787665,-0.051357211327800176,0.02858002923430311,0.008077610808008163,0.09313248643168164,0.14445603324106082,-0.04057463371715661,-0.3723560633490906,0.10155237505978465,-0.011585081286170818,-0.05529736826834406,0.20767259724481038,0.06774387389704094,-0.7785825001558242,0.07480896946707588,0.11455962049013876,-0.1382564613895213,0.12107993317175166,-0.11515588082841684,0.050645849837171956,0.1257236061167347,-0.15129579446955846,0.1802408203339731,-0.06005923150948286,0.02834827079390969,0.03768528659883617,0.07278208177189752,0.11270378223745149
P8,-0.06762094871423478,0.035456732432179124,0.1513860695295536,0.05540345094990783,0.0658919686366703,-0.07054683068745,-0.02452746143273877,0.015892057971755334,-0.04727562020839137,-0.13607023861839213,-0.036739269380397836,0.06915415767449687,0.08683548137945965,-0.017768296922116573,-0.0861579982443211,-0.07777920027104031,-0.050790762147151815,-0.019002278617392416,-0.04636692606848135,0.07457229181398829,0.03444375245664715,-0.0432574595165787,0.10190789622679118,0.048754369517042484,-0.034222830435716285,-0.19805540228496493,-0.10444866709293531,0.07531797139741296,-0.09376271956573244,-0.14709992759794732,0.036707814546197086,-0.04898183514830421,0.001520085715421251,-0.02692023349648856,0.06309259949445667,-0.016017312565306377,-0.09327936263614023,0.0711440051980833,0.015550937448509997,0.03882127731950554,0.028510183077648948,-0.11774662141587693,-0.11253781143448827,0.16608119527808815,-0.0675122045330177,0.075565908748036,-0.04583540968063478,0.030053989306143267,-0.024849611218476227,-0.0830549125212529,-0.01060842265957945,0.22800381442981846,0.05610301672870545,-0.03450056956969142,-0.028877060006751894,0.1028334791579405,0.055518811230049224,0.015370240533243375,0.21232064649424015
TP10,-0.2018354179576513,0.007914509722038991,-0.06021174840030323,0.05932209406518565,-0.041680366753035714,-0.030589219901277585,0.011611567852118867,0.18949856652987157,0.07101979299180522,-0.23899200148785846,0.09632146443639515,0.13080445205707353,-0.12514696981010615,0.03597075355308302,0.17688533158206732,-0.014503020076633443,0.08076618457016546,-0.0720402229015187,-0.2896327626191047,-0.010904477975013304,-0.24786238773513922,0.12536060227167242,0.16198758382384829,-0.011607474468473033,-0.018403089462102656,0.016825615059409074,0.001430735544913689,-0.32199536051922,0.10226625596285123,-0.10200995109924885,-0.3729062219723508,0.24418324571211805,-0.09502086925069422,-0.0037855140878232606,0.2711013946880476,-0.005970102038077957,-0.01839688636123034,0.06782277674785203,0.06203506882717037,0.06203790612609819,0.025467868789502895,-0.06453628819341803,0.18137983142892708,0.01821654881701094,0.04899006793103066,-0.08829535011252648,0.09701279565565525,0.07383196680807536,0.10729978345874112,0.033052676383921786,0.12861293043920324,-0.10469129235562767,0.03275497458167841,0.047100096744922985,0.0033422055106954803,-0.09970299182211327,0.047564529259620264,0.10582057403251023,-0.284892764604733
CP6,-0.05691065427621105,0.13329414429555367,0.03390454615653081,0.05948156805280707,0.0019156824446766093,0.008396107436207853,-0.12118628954438186,0.19285177766868983,-0.06668798181185796,-0.07381338536049277,0.0706577711722534,0.07605352942380394,0.03443036885871856,0.1114237895059404,-0.013209383192482126,-0.10228142912131949,-0.011322722442010666,0.20288371052804796,0.017883337019078474,-0.05509358763057207,0.17715436705218726,-0.007326760129868573,-0.015761397650706867,0.029482161424134193,0.02225789036332498,-0.16849884706439014,-0.019979443034022975,-0.031172654577551154,-0.03128423825872067,-0.003870634723660418,0.06806057715236667,-0.06055180055842882,0.09805568748477596,-0.087035823728709,0.10671486632172665,0.07998877665065218,-0.0749730242865199,-0.05561373149799408,0.1645150265988732,-0.035484541328643246,-0.006656979912783181,-0.12489835665016226,-0.1304738756429398,0.06509237908916818,-0.06140815114102292,-0.008095339910014153,-0.017230400033757413,-0.06844485936517597,0.060815483118479355,-0.22829659632350768,0.017757515899976345,0.08523594033488568,-0.1838445031406738,-0.2565359040942168,0.09496433398033499,-0.08993568090212989,0.19383577116656078,-0.06572151965552075,0.12649338779069363
