,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF8,AF4,F2,FCz
CP6,0.0,0.022099447513812154,0.0,0.0,0.0,0.0,0.049723756906077346,0.0,0.0,0.0,0.0,0.0,0.0,0.03867403314917127,0.0,0.055248618784530384,0.03314917127071823,0.055248618784530384,0.055248618784530384,0.022099447513812154,0.0,0.049723756906077346,0.04419889502762431,0.011049723756906077,0.0,0.0,0.055248618784530384,0.055248618784530384,0.03314917127071823,0.04419889502762431,0.0,0.0,0.0,0.0,0.0,0.0,0.027624309392265192,0.022099447513812154,0.0,0.027624309392265192,0.016574585635359115,0.0,0.011049723756906077,0.016574585635359115,0.011049723756906077,0.0,0.0,0.049723756906077346,0.0,0.027624309392265192,0.055248618784530384,0.0,0.0,0.0,0.055248618784530384,0.0,0.0,0.055248618784530384,0.0,0.0,0.0,0.0,0.0
CP2,0.0,0.03076923076923077,0.0,0.015384615384615385,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.046153846153846156,0.019230769230769232,0.05,0.05,0.03076923076923077,0.0,0.038461538461538464,0.046153846153846156,0.023076923076923078,0.0038461538461538464,0.0,0.046153846153846156,0.05,0.038461538461538464,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.03461538461538462,0.03076923076923077,0.0,0.03461538461538462,0.026923076923076925,0.0,0.0038461538461538464,0.026923076923076925,0.0038461538461538464,0.0,0.0,0.05,0.0,0.03461538461538462,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.043478260869565216,0.0,0.024844720496894408,0.0,0.0,0.012422360248447204,0.0,0.0,0.0,0.0,0.0,0.0,0.037267080745341616,0.0,0.037267080745341616,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.024844720496894408,0.043478260869565216,0.037267080745341616,0.006211180124223602,0.0,0.037267080745341616,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
C4,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.0,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FT10,0.0,0.025,0.0,0.008333333333333333,0.0,0.004166666666666667,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.05416666666666667,0.029166666666666667,0.05416666666666667,0.05416666666666667,0.025,0.0,0.041666666666666664,0.041666666666666664,0.016666666666666666,0.0,0.0,0.05,0.05416666666666667,0.03333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.029166666666666667,0.025,0.0,0.029166666666666667,0.020833333333333332,0.0,0.0125,0.020833333333333332,0.0125,0.0,0.0,0.04583333333333333,0.004166666666666667,0.029166666666666667,0.05416666666666667,0.0,0.0,0.0,0.05,0.0,0.0,0.05416666666666667,0.0,0.0,0.0,0.0,0.0
FC6,0.0,0.026578073089700997,0.0,0.013289036544850499,0.0,0.009966777408637873,0.03986710963455149,0.0,0.0,0.0,0.0,0.0,0.0,0.03322259136212625,0.0,0.053156146179401995,0.026578073089700997,0.05647840531561462,0.053156146179401995,0.026578073089700997,0.0,0.03322259136212625,0.03986710963455149,0.019933554817275746,0.0033222591362126247,0.0,0.04318936877076412,0.053156146179401995,0.03322259136212625,0.03986710963455149,0.0,0.0,0.0,0.0,0.0,0.0,0.029900332225913623,0.026578073089700997,0.0,0.029900332225913623,0.023255813953488372,0.0,0.016611295681063124,0.023255813953488372,0.016611295681063124,0.0,0.0,0.04318936877076412,0.009966777408637873,0.029900332225913623,0.04983388704318937,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.04983388704318937,0.0,0.0,0.0,0.0,0.0
FC2,0.0,0.034482758620689655,0.0,0.017241379310344827,0.0,0.0,0.02586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,0.04310344827586207,0.0,0.04310344827586207,0.01293103448275862,0.04741379310344827,0.04741379310344827,0.034482758620689655,0.0,0.034482758620689655,0.04741379310344827,0.02586206896551724,0.004310344827586207,0.0,0.04310344827586207,0.04741379310344827,0.04310344827586207,0.04741379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.03879310344827586,0.034482758620689655,0.0,0.03879310344827586,0.03017241379310345,0.0,0.0,0.03017241379310345,0.0,0.0,0.0,0.04741379310344827,0.0,0.03879310344827586,0.04741379310344827,0.0,0.0,0.0,0.04741379310344827,0.0,0.0,0.04741379310344827,0.0,0.0,0.0,0.0,0.0
F4,0.0,0.03076923076923077,0.0,0.015384615384615385,0.0,0.0,0.03076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.046153846153846156,0.019230769230769232,0.05,0.05,0.03076923076923077,0.0,0.038461538461538464,0.046153846153846156,0.023076923076923078,0.0038461538461538464,0.0,0.046153846153846156,0.05,0.038461538461538464,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.03461538461538462,0.03076923076923077,0.0,0.03461538461538462,0.026923076923076925,0.0,0.0038461538461538464,0.026923076923076925,0.0038461538461538464,0.0,0.0,0.05,0.0,0.03461538461538462,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
