,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P8,TP10,CP6,Cz,C4,T8,FT10,FC6,FC2,F4,F8,Fp2,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P2,CPz,CP4,TP8,C6,C2,FT8,F6,AF8,AF4,F2,FCz
CP1,0.082689556509299,0.0,0.0,0.03347639484978541,0.02832618025751073,0.055507868383404865,0.06151645207439199,0.01859799713876967,0.022889842632331903,0.041201716738197426,0.08240343347639485,0.0,0.0,0.0,0.03805436337625179,0.048927038626609444,0.0,0.0,0.0,0.0,0.0,0.0,0.046065808297567956,0.002861230329041488,0.04663805436337625,0.0,0.0,0.0,0.0,0.0,0.0,0.007725321888412017,0.0,0.015736766809728183,0.0,0.029756795422031475,0.0,0.0,0.0,0.0,0.082689556509299,0.0,0.0,0.0,0.026037195994277538,0.0,0.0,0.05836909871244635,0.0,0.0,0.0,0.0,0.0698140200286123,0.02861230329041488,0.020314735336194562,0.0,0.02374821173104435,0.02804005722460658,0.0
Pz,0.0,0.07216494845360824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.070446735395189,0.0,0.0,0.0,0.0,0.07216494845360824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07216494845360824,0.0,0.027491408934707903,0.0,0.0,0.07216494845360824,0.0,0.0,0.0,0.0,0.0,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.07216494845360824,0.0,0.0,0.0,0.07216494845360824,0.0,0.07216494845360824,0.07216494845360824,0.0,0.03608247422680412,0.0,0.0,0.07216494845360824,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O1,0.03719954215948111,0.0,0.04101487981686379,0.0,0.0,0.02861503243037009,0.04502098435711561,0.0,0.05131629149179703,0.05055322396032049,0.02575352918733308,0.0,0.0,0.0,0.10225104921785579,0.04177794734834033,0.0,0.0,0.0034338038916444107,0.0,0.0,0.0,0.0805036245707745,0.06314383822968332,0.07478061808470049,0.0,0.0,0.0,0.0,0.0,0.0,0.028805799313239223,0.0,0.05971003433803892,0.0,0.0545593285005723,0.0,0.0,0.0,0.0,0.027851964898893553,0.0,0.0,0.0,0.051697825257535295,0.0,0.0,0.018885921404044256,0.0,0.0,0.0,0.0,0.056657764212132776,0.0,0.005532239603204884,0.0,0.00038153376573826786,0.05055322396032049,0.0
Oz,0.05743153416644509,0.0,0.019409731454400427,0.0,0.0,0.0499867056633874,0.06806700345652753,0.008774262164318,0.043605424089337944,0.060622174953469825,0.04599840467960649,0.0,0.0,0.0,0.05769742089869716,0.06780111672427545,0.0,0.0,0.0,0.0,0.0,0.0,0.06514224940175485,0.0249933528316937,0.06567402286625898,0.0,0.0,0.0,0.0,0.0,0.0,0.02951342727997873,0.0,0.03695825578303643,0.0,0.0499867056633874,0.0,0.0,0.0,0.0,0.048923158734379156,0.0,0.0,0.0,0.04653017814411061,0.0,0.0,0.03642648231853231,0.0,0.0,0.0,0.0,0.06806700345652753,0.0,0.0,0.0,0.0,0.048391385269875034,0.0
O2,0.0,0.04953998584571833,0.0,0.03113941967445152,0.003538570417551309,0.0,0.0,0.0,0.0,0.0,0.0,0.009907997169143666,0.0,0.0,0.0,0.0,0.09129511677282377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025005897617362584,0.0,0.04435008256664308,0.03727294173154046,0.0,0.05732484076433121,0.0,0.0,0.0,0.01958008964378391,0.0,0.030903514979948102,0.04411417787213966,0.0686482661004954,0.06959188487850908,0.0,0.0,0.0,0.054258079735786745,0.0,0.08940787921679641,0.06912007548950225,0.0,0.008256664307619722,0.0,0.0,0.09105921207832036,0.0,0.013682472281198396,0.025713611700872847,0.03727294173154046,0.029016277423920735,0.0,0.0
P8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP10,0.05566801619433198,0.0,0.07034412955465587,0.06174089068825911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008097165991902834,0.0,0.0,0.0,0.10020242914979757,0.0,0.0,0.0,0.076417004048583,0.0005060728744939271,0.07540485829959515,0.0,0.0,0.0,0.0,0.0025303643724696357,0.0,0.0,0.0,0.0728744939271255,0.0,0.0,0.0,0.005566801619433198,0.0,0.0,0.07742914979757085,0.0,0.0,0.0,0.0,0.0,0.0,0.03896761133603239,0.0,0.0,0.0,0.0,0.08552631578947369,0.07894736842105263,0.09665991902834008,0.0,0.0931174089068826,0.0,0.0
CP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T8,0.04682868998221695,0.0,0.04979253112033195,0.01111440426793124,0.0,0.026378186129223474,0.03912270302311796,0.0034084173088322466,0.03556609365737996,0.04075281564908121,0.024155305275637227,0.0,0.0,0.0,0.06194427978660344,0.036603438055720215,0.0,0.0,0.022673384706579727,0.0,0.0,0.0,0.08609958506224066,0.03912270302311796,0.08165382335506817,0.0,0.0,0.0,0.0,0.0,0.0,0.022377000592768228,0.0,0.06253704801422644,0.0,0.03912270302311796,0.0,0.0,0.0,0.0,0.04149377593360996,0.0,0.0,0.0,0.03719620628334321,0.0,0.0,0.023266152934202727,0.0,0.0,0.0,0.0,0.06816834617664493,0.01778304682868998,0.024303497332542976,0.0,0.02030231179608773,0.038233550681683465,0.0
FT10,0.018805674694820192,0.0,0.06598482349059716,0.0,0.0,0.008907951171230617,0.0372814252721874,0.0,0.050808314087759814,0.04684922467832398,0.00395908940943583,0.0,0.0,0.0,0.1092048828769383,0.03167271527548664,0.0,0.0,0.0009897723523589574,0.0,0.0,0.0,0.08775981524249422,0.10854503464203233,0.08380072583305839,0.0,0.0,0.0,0.0,0.0,0.0,0.044539755856153086,0.0,0.08380072583305839,0.0,0.050808314087759814,0.0,0.0,0.0,0.0,0.007588254701418674,0.0,0.0,0.0,0.050808314087759814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05245793467502474,0.0,0.004618937644341801,0.0,0.0,0.050808314087759814,0.0
FC6,0.04851998779371376,0.0,0.05126640219713152,0.011138236191638694,0.0,0.0274641440341776,0.04058590173939579,0.0038144644491913335,0.0320415013732072,0.041806530363137015,0.0251754653646628,0.0,0.0,0.0,0.059200488251449496,0.03799206591394568,0.0,0.0,0.023039365273115654,0.0,0.0,0.0,0.08391821788220934,0.038144644491913335,0.084070796460177,0.0,0.0,0.0,0.0,0.0,0.0,0.023039365273115654,0.0,0.06438815990234971,0.0,0.03570338724443088,0.0,0.0,0.0,0.0,0.042722001830942935,0.0,0.0,0.0,0.03371986573085139,0.0,0.0,0.023954836740921574,0.0,0.0,0.0,0.0,0.07018614586512054,0.018004272200183094,0.02471772963075984,0.0,0.0205981080256332,0.03478791577662496,0.0
FC2,0.0,0.03939865215137377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02177293934681182,0.0,0.0,0.0,0.0,0.05287713841368585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10212545360290305,0.0,0.07257646448937273,0.04095386210471747,0.0,0.1026438569206843,0.0,0.0,0.0,0.05132192846034215,0.0,0.05132192846034215,0.05132192846034215,0.05132192846034215,0.07931570762052877,0.0,0.0,0.0,0.05132192846034215,0.0,0.05184033177812338,0.04665629860031104,0.0,0.023846552617936754,0.0,0.0,0.058061171591498185,0.0,0.0,0.0,0.05132192846034215,0.0,0.0,0.0
F4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0.0,0.022437411431270666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033065658951346244,0.0,0.0,0.0,0.0,0.043930089749645726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032829475673122346,0.0,0.15092111478507322,0.11006140765233821,0.010155880963627776,0.1079357581483231,0.0,0.0,0.0,0.07723193197921586,0.0,0.00944733112895607,0.023618327822390175,0.0403873405762872,0.06565895134624469,0.0,0.0,0.0,0.03802550779404818,0.0,0.04180444024563061,0.02550779404818139,0.0,0.00944733112895607,0.0,0.0,0.05833726972130373,0.0,0.0,0.0,0.12895606991025035,0.0,0.0,0.0
Fp2,0.0,0.024420788979336257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049467752035065746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025360050093926112,0.0,0.1458985597996243,0.14527238572323106,0.003757044458359424,0.11208515967438948,0.0,0.0,0.0,0.07889793362554791,0.0,0.0,0.009079524107701941,0.03537883531621791,0.07451471509079524,0.0,0.0,0.0,0.028177833437695678,0.0,0.046336881653099564,0.024107701941139637,0.0,0.0,0.0,0.0,0.055103318722604884,0.0,0.0,0.0,0.14214151534126487,0.0,0.0,0.0
AF7,0.0,0.0,0.0,0.10445859872611465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003821656050955414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05732484076433121,0.017834394904458598,0.2394904458598726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24076433121019108,0.03949044585987261,0.0,0.05477707006369427,0.0,0.0,0.05859872611464968,0.0,0.0,0.0,0.08025477707006369,0.0,0.0,0.0,0.09554140127388536,0.0,0.0,0.0,0.0012738853503184713,0.006369426751592357,0.0,0.0
AF3,0.0,0.03911372371693421,0.0,0.0018087271082975356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009495817318562062,0.0,0.0,0.0,0.0,0.05403572236038888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449920868189012,0.0,0.10309744517295953,0.08003617454216595,0.0,0.12276735247569523,0.0,0.0,0.0,0.073027356997513,0.0,0.02667872484738865,0.02667872484738865,0.0420529052679177,0.08048835631924034,0.0,0.0,0.0,0.03685281483156229,0.0,0.05358354058331449,0.0420529052679177,0.0,0.01040018087271083,0.0,0.0,0.05629663124576079,0.0,0.0,0.0,0.09654080940538096,0.0,0.0,0.0
AFz,0.03169014084507042,0.0,0.03873239436619718,0.0,0.0,0.01936619718309859,0.05721830985915493,0.0,0.0664612676056338,0.0664612676056338,0.012764084507042254,0.0,0.0,0.0,0.0664612676056338,0.04973591549295775,0.0,0.0,0.0,0.0,0.0,0.0,0.0664612676056338,0.058538732394366196,0.0664612676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.06602112676056338,0.0,0.0625,0.0,0.0664612676056338,0.0,0.0,0.0,0.0,0.017605633802816902,0.0,0.0,0.0,0.0664612676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05413732394366197,0.0,0.0,0.0,0.0,0.0664612676056338,0.0
F1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F5,0.04217714400482025,0.0,0.06768427395059248,0.013657360915846555,0.0,0.01446073508736694,0.03173327977505523,0.0,0.033942558746736295,0.033942558746736295,0.011448081944165495,0.0,0.0,0.0,0.062462341835709985,0.028318939546093592,0.0,0.0,0.029323157260494077,0.0,0.0,0.0,0.08515766218116087,0.0502108857200241,0.08515766218116087,0.0,0.0,0.0,0.0,0.0,0.0,0.028118096003213498,0.0,0.08796947178148222,0.0,0.033942558746736295,0.0,0.0,0.0,0.0,0.0335408716609761,0.0,0.0,0.0,0.033942558746736295,0.0,0.0,0.008837115886724242,0.0,0.0,0.0,0.0,0.06969270937939345,0.022695320345450895,0.03153243623217514,0.0,0.02610966057441253,0.033942558746736295,0.0
FT7,0.0,0.02100656455142232,0.0,0.0,0.0,0.0,0.0,0.0,0.002188183807439825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035448577680525166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043326039387308536,0.0,0.1413566739606127,0.10853391684901531,0.0,0.13960612691466084,0.0,0.0,0.0,0.17592997811816194,0.0,0.0,0.0,0.00700218818380744,0.06433260393873086,0.0,0.0,0.0,0.0,0.0,0.03413566739606127,0.02188183807439825,0.0,0.0,0.0,0.0,0.03457330415754924,0.0,0.0,0.0,0.17067833698030635,0.0,0.0,0.0
FC3,0.038923719958202714,0.0,0.022988505747126436,0.0,0.0,0.031609195402298854,0.054075235109717866,0.0,0.06818181818181818,0.06165099268547544,0.027690700104493208,0.0,0.0,0.0,0.07471264367816093,0.04963427377220481,0.0,0.0,0.0,0.0,0.0,0.0,0.06948798328108673,0.040229885057471264,0.06165099268547544,0.0,0.0,0.0,0.0,0.0,0.0,0.03944618599791014,0.0,0.044148380355276906,0.0,0.07445141065830721,0.0,0.0,0.0,0.0,0.030564263322884012,0.0,0.0,0.0,0.07079414838035528,0.0,0.0,0.018286311389759665,0.0,0.0,0.0,0.0,0.0522466039707419,0.0,0.0,0.0,0.0,0.06922675026123302,0.0
C1,0.0,0.06689342403628118,0.0,0.017573696145124718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.07312925170068027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05668934240362812,0.0,0.023242630385487528,0.0,0.0,0.06746031746031746,0.0,0.0,0.0,0.0,0.0,0.07993197278911565,0.07993197278911565,0.07993197278911565,0.07993197278911565,0.0,0.0,0.0,0.07993197278911565,0.0,0.07369614512471655,0.07482993197278912,0.0,0.026077097505668934,0.0,0.0,0.07993197278911565,0.0,0.0,0.0045351473922902496,0.0,0.012471655328798186,0.0,0.0
