,Fp1,Fz,F3,F7,FT9,FC5,FC1,C3,T7,TP9,CP5,CP1,Pz,P3,P7,O1,Oz,O2,P4,P8,TP10,CP6,CP2,Cz,C4,T8,FT10,FC6,FC2,F4,F8,AF7,AF3,AFz,F1,F5,FT7,FC3,C1,C5,TP7,CP3,P1,P5,PO7,PO3,POz,PO4,PO8,P6,P2,CPz,CP4,TP8,C6,C2,FC4,FT8,F6,AF4,F2,FCz
O2,0.0,0.0,0.056827820186598814,0.0,0.04240882103477523,0.05089058524173028,0.0,0.0,0.04410517387616624,0.0,0.0,0.0,0.0,0.0,0.0,0.05597964376590331,0.0,0.090754877014419,0.0,0.0,0.058524173027989825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06191687871077184,0.0,0.05089058524173028,0.0,0.0,0.0,0.0,0.0,0.0,0.06276505513146735,0.031382527565733676,0.0,0.0,0.0,0.0,0.0,0.0,0.058524173027989825,0.058524173027989825,0.0899067005937235,0.0,0.0,0.058524173027989825,0.06276505513146735,0.0,0.0,0.026293469041560644,0.0,0.039016115351993216,0.0,0.0
P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P8,0.0,0.013934426229508197,0.0,0.029508196721311476,0.0,0.0,0.010655737704918032,0.0,0.0,0.0,0.001639344262295082,0.010655737704918032,0.027868852459016394,0.0,0.045081967213114756,0.0,0.0,0.0,0.0,0.34262295081967215,0.0,0.031967213114754096,0.04426229508196721,0.03278688524590164,0.031967213114754096,0.010655737704918032,0.009016393442622951,0.010655737704918032,0.007377049180327869,0.0,0.0,0.0,0.01639344262295082,0.0,0.006557377049180328,0.009836065573770493,0.0,0.10491803278688525,0.0,0.0,0.0,0.0,0.0,0.03934426229508197,0.03360655737704918,0.04344262295081967,0.009836065573770493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04918032786885246,0.0,0.02622950819672131,0.0,0.0,0.0
TP10,0.008,0.0,0.0268,0.0,0.02,0.024,0.0,0.0,0.0208,0.0,0.0,0.0,0.0,0.0,0.0,0.0264,0.0,0.0284,0.0,0.0,0.1636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0268,0.0,0.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0148,0.0,0.0,0.0068,0.0,0.0,0.0,0.1644,0.1648,0.0284,0.0,0.0,0.164,0.0276,0.0,0.0,0.0124,0.0,0.0184,0.0,0.0
CP6,0.0,0.012738853503184714,0.0,0.0,0.0,0.0,0.012738853503184714,0.0,0.0,0.0,0.0031847133757961785,0.012738853503184714,0.06528662420382166,0.0,0.08121019108280254,0.0,0.0,0.0,0.0,0.06050955414012739,0.0,0.07802547770700637,0.012738853503184714,0.07484076433121019,0.07961783439490445,0.012738853503184714,0.012738853503184714,0.012738853503184714,0.012738853503184714,0.0,0.0,0.0,0.041401273885350316,0.0,0.012738853503184714,0.012738853503184714,0.0,0.08121019108280254,0.0,0.0,0.0,0.0,0.0,0.08121019108280254,0.06847133757961783,0.08121019108280254,0.012738853503184714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06369426751592357,0.0,0.0,0.0
CP2,0.0,0.036093418259023353,0.0,0.07006369426751592,0.0,0.0,0.025477707006369428,0.0,0.0,0.0,0.004246284501061571,0.025477707006369428,0.025477707006369428,0.0,0.025477707006369428,0.0,0.0,0.0,0.0,0.10828025477707007,0.0,0.014861995753715499,0.1464968152866242,0.025477707006369428,0.01910828025477707,0.025477707006369428,0.02335456475583864,0.025477707006369428,0.01910828025477707,0.0,0.0,0.0,0.025477707006369428,0.0,0.016985138004246284,0.025477707006369428,0.0,0.06369426751592357,0.0,0.0,0.021231422505307854,0.0,0.0,0.025477707006369428,0.0,0.025477707006369428,0.025477707006369428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12526539278131635,0.0,0.025477707006369428,0.0,0.0,0.0
Cz,0.0,0.01272264631043257,0.0,0.0,0.0,0.0,0.01653944020356234,0.0,0.0,0.0,0.002544529262086514,0.01653944020356234,0.07888040712468193,0.0,0.08524173027989822,0.0,0.0,0.0,0.0,0.047073791348600506,0.0,0.05597964376590331,0.013994910941475827,0.08269720101781171,0.07506361323155217,0.01653944020356234,0.013994910941475827,0.017811704834605598,0.011450381679389313,0.0,0.0,0.0,0.039440203562340966,0.0,0.010178117048346057,0.015267175572519083,0.0,0.08524173027989822,0.0,0.0,0.0,0.0,0.0,0.08524173027989822,0.05216284987277354,0.08142493638676845,0.015267175572519083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06870229007633588,0.0,0.0,0.0
C4,0.0,0.013262599469496022,0.0,0.0,0.0,0.0,0.013262599469496022,0.0,0.0,0.0,0.002652519893899204,0.013262599469496022,0.07427055702917772,0.0,0.08488063660477453,0.0,0.0,0.0,0.0,0.050397877984084884,0.0,0.0623342175066313,0.013262599469496022,0.08222811671087533,0.08222811671087533,0.013262599469496022,0.013262599469496022,0.013262599469496022,0.011936339522546418,0.0,0.0,0.0,0.03713527851458886,0.0,0.010610079575596816,0.013262599469496022,0.0,0.08488063660477453,0.0,0.0,0.0,0.0,0.0,0.08488063660477453,0.058355437665782495,0.08488063660477453,0.013262599469496022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.0
T8,0.0,0.03802281368821293,0.0,0.0,0.0,0.0,0.049429657794676805,0.0,0.0,0.0,0.0076045627376425855,0.049429657794676805,0.053231939163498096,0.0,0.053231939163498096,0.0,0.0,0.0,0.0,0.045627376425855515,0.0,0.026615969581749048,0.04182509505703422,0.053231939163498096,0.034220532319391636,0.049429657794676805,0.04182509505703422,0.053231939163498096,0.034220532319391636,0.0,0.0,0.0,0.049429657794676805,0.0,0.030418250950570342,0.045627376425855515,0.0,0.053231939163498096,0.0,0.0,0.0,0.0,0.0,0.053231939163498096,0.0,0.045627376425855515,0.045627376425855515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045627376425855515,0.0,0.0,0.0
FT10,0.0,0.04048582995951417,0.0,0.0,0.0,0.0,0.048582995951417005,0.0,0.0,0.0,0.008097165991902834,0.048582995951417005,0.048582995951417005,0.0,0.048582995951417005,0.0,0.0,0.0,0.0,0.048582995951417005,0.0,0.02834008097165992,0.044534412955465584,0.048582995951417005,0.03643724696356275,0.048582995951417005,0.044534412955465584,0.048582995951417005,0.03643724696356275,0.0,0.0,0.0,0.048582995951417005,0.0,0.032388663967611336,0.048582995951417005,0.0,0.048582995951417005,0.0,0.0,0.0,0.0,0.0,0.048582995951417005,0.0,0.048582995951417005,0.048582995951417005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048582995951417005,0.0,0.0,0.0
FC6,0.0,0.03745318352059925,0.0,0.0,0.0,0.0,0.04868913857677903,0.0,0.0,0.0,0.00749063670411985,0.04868913857677903,0.056179775280898875,0.0,0.056179775280898875,0.0,0.0,0.0,0.0,0.0449438202247191,0.0,0.026217228464419477,0.04119850187265917,0.052434456928838954,0.033707865168539325,0.04868913857677903,0.04119850187265917,0.052434456928838954,0.033707865168539325,0.0,0.0,0.0,0.04868913857677903,0.0,0.0299625468164794,0.0449438202247191,0.0,0.056179775280898875,0.0,0.0,0.0,0.0,0.0,0.056179775280898875,0.0,0.0449438202247191,0.0449438202247191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449438202247191,0.0,0.0,0.0
